,条件1（ID）,data group name,data group,i,j,ip,jp,PMID (i),PMID (j),PID (i),PID (j),odds,odds(*_1),p_value,a_count,b_count,c_count,d_count,total,,iname,jname,sample sorce (i),sample sorce (j),plat from,plat form,Check,list,filter,a,b,c,d
1,102_124,[PID017-1]-[PID024-1],u,102,124,PID017,PID024,PMID26766592,PMID30538212,PID017-1,PID024-1,9.237807474,9.237807474,6.19E-38,105,8,2,92,207,"[Tumor vs Normal], [tumor normal_tissue]",Tumor vs Normal,tumor normal_tissue,ccRCC,ccRCC,"GC-MS, LC-MS/MS","GC-MS, LC-MS/MS",1,o,2,"L-2-Aminoadipate|Deoxyguanosine|Deoxyinosine|2-hydroxyglutarate|3-aminoisobutyrate|3-Ureidopropionate|5,6-Dihydrouracil|acetylcarnitine|alanylalanine|alanylleucine|alanylphenylalanine|alpha-glutamyltyrosine|alpha-Tocopherol|arginylleucine|arginylphenylalanine|aspartylleucine|aspartylphenylalanine|beta-Alanine|beta-Tocopherol|butyrylcarnitine|choline phosphate|Citrate|Creatine|cysteinylglycine|L-Cystine|CDP-choline|CMP|3-Dehydroxycarnitine|ergothioneine|Fructose|D-Fructose 1-phosphate|D-Fructose 6-phosphate|gamma-glutamylglutamate|gamma-Tocopherol|D-glucose|glucose 6-phosphate|L-Glutamate|L-Glutamine|GSSG|glycerophosphorylcholine|glycylphenylalanine|glycylproline|glycyltyrosine|GMP|heme|hexanoylcarnitine|histidylleucine|histidylphenylalanine|isoleucylalanine|isoleucylglutamate|isoleucylserine|isoleucyltryptophan|isoleucyltyrosine|kynurenine|Lactate|leucylalanine|leucylasparagine|Leucyl-Glycine|leucylphenylalanine|maltopentaose|Lactose|maltotetraose|maltotriose|D-Mannose 6-phosphate|N-Acetyllysine|N-acetylarginine|N-acetylglucosamine 6-phosphate|N-acetyl-glutamine|N-acetylmethionine|N-acetylneuraminate|oleoylcarnitine|phenylalanylalanine|Phe-Asp|Phe-Glu|phenylalanylglycine|phenylalanylleucine|phenylalanylproline|phenylalanylserine|phenylalanylvaline|Putrescine|Pyroglutamine|D-Ribulose|Sedoheptulose 7-phosphate|serylleucine|serylvaline|D-Sorbitol|Sorbitol 6-phosphate|Spermidine|sphinganine|Succinate|threonylleucine|threonylphenylalanine|threonylvaline|tryptophan betaine|tyrosylglutamine|tyrosylglycine|tyrosylhistidine|tyrosylleucine|valylalanine|valylleucine|valyllysine|valylphenylalanine|valylserine|valyltyrosine|valylvaline",2-hydroxypalmitate|4-Guanidinobutanoate|7alpha-Hydroxycholesterol|L-Citrulline|dihydrocholesterol|Mannose|N-acetylasparagine|N-acetylthreonine,glycylvaline|isoleucylglycine,"16-Hydroxypalmitate|1-arachidonoylglycerophosphoinositol|1-heptadecanoylglycerophosphocholine|1-linoleoylglycerophosphocholine|1-oleoylglycerophosphocholine|1-oleoylglycerophosphoethanolamine|1-oleoylglycerophosphoinositol|1-palmitoylglycerophosphocholine|1-palmitoylglycerophosphoinositol|1-stearoylglycerophosphocholine|1-stearoylglycerophosphoethanolamine|1-stearoylglycerophosphoinositol|2-hydroxyisobutyrate|2-phosphoglycerate|3-hydroxydecanoate|3-hydroxyhippurate|3-phosphoglycerate|4-hydroxyhippurate|4-hydroxyphenylacetic acid|5-HETE|5-methyltetrahydrofolate|5-oxoETE|Adenosine|3'-AMP|L-alanine|D-Arabitol|L-Asparagine|L-aspartate|catechol sulfate|myo-Inositol|Choline|Citramalate|Cortisone|Creatinine|Cytidine|ethanolamine|flavin adenine dinucleotide|Fumarate|4-Aminobutanoate|gamma-glutamylisoleucine|D-Glucuronate|glutamate, gamma-methyl ester|glutarylcarnitine|Guanidinoacetate|hippurate|His|Hypoxanthine|myo-Inositol 1-phosphate|isobutyrylcarnitine|isoleucine|isovalerylcarnitine|leucine|lysine|Malic acid|L-Methionine|methylphosphate|1-methyladenosine|N1-methylguanosine|N2,N2-dimethylguanosine|N2-methylguanosine|N6-acetyllysine|N6-carbamoylthreonyladenosine|N-acetylalanine|N-acetylserine|NAD+|p-acetamidophenylglucuronide|Pantothenic acid|phenol sulfate|phenylacetylglutamine|phenylalanine|Orthophosphate|Phosphoenolpyruvate|pregnanediol-3-glucuronide|L-Proline|prostaglandin E2|Pseudouridine|4-Pyridoxic acid|ranitidine|riboflavin|L-Serine|Squalene|Threitol|L-Threonine|L-Tryptophan|L-Tyrosine|Uracil|Urea|valerylcarnitine|Val|Xanthine|Xanthosine|Xylitol"
2,39_774,[PID010-4]-[PID080-1],u,39,774,PID010,PID080,PMID26023239,PMID24928511,PID010-4,PID080-1,9.198854259,9.198854259,9.77E-09,21,0,1,20,42,"[HCC827 PKI587 vs HCC827 DMSO], [HCC827_ERLO vs HCC827_DMSO]",HCC827 PKI587 vs HCC827 DMSO,HCC827_ERLO vs HCC827_DMSO,Lung cancer (Non-small cell lung cancer),Lung cancer (Non-small cell lung cancer),CE-TOFMS,"CE-TOFMS (HMT, C-Scope)",1,o,2,GDP|Glycine|L-alanine|Choline|L-Serine|L-Proline|Val|L-Threonine|isoleucine|leucine|L-Ornithine|L-aspartate|L-Glutamine|lysine|L-Methionine|His|phenylalanine|L-Citrulline|L-Tyrosine|L-Tryptophan|L-Cystathionine,,5-Phospho-alpha-D-ribose 1-diphosphate,"NADH|D-Fructose 6-phosphate|Ribose 5-phosphate|CoA|Ribulose-5-phosphate|D-Glyceraldehyde 3-phosphate|6-Phospho-D-gluconate|Carbamoylaspartate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|3-phosphoglycerate|Phosphoenolpyruvate|Lactate|Pyruvate|2-hydroxyglutarate|Succinate|Malic acid|2-Oxoglutarate|Fumarate|Putrescine"
3,877_914,[PID096-A-5]-[PID103-5],u,877,914,PID096,PID103,PMID28847964,PMID32828300,PID096-A-5,PID103-5,6.797661526,6.797661526,6.87E-09,89,1,4,5,99,"[Tumour  stage II  vs Normal tissue  stage II ], [Tpar vs Npar]",Tumour  stage II  vs Normal tissue  stage II ,Tpar vs Npar,colorectal cancer,lung cancer,"CE-TOFMS, LC-MS/MS",CE-TOFMS,1,o,2,"S-Adenosyl-L-methionine|GSH|beta-Alanine|2-Deoxyglucose 6-phosphate|hypotaurine|N-acetylglucosamine 6-phosphate|Uracil|N6-(1,2-dicarboxyethyl)-AMP|N-acetylmethionine|Hypoxanthine|UDP-N-acetylglucosamine|1-methylnicotinamide|L-Proline|kynurenine|5'-Methylthioadenosine|3-Hydroxy-3-methylglutarate|Glycyl-glycine|Taurine|1-methyladenosine|N-Acetylglucosamine 1-phosphate|UDP-glucuronate|5-Hydroxylysine|Adenine|GDP|ADP-glucose|isoleucine|leucine|L-Tyrosine|L-Asparagine|GMP|L-Threonine|S-Adenosyl-L-homocysteine|Hydroxyproline|phenylalanine|Pyroglutamate|3-Dehydroxycarnitine|Succinate|L-Glutamate|L-aspartate|L-Methionine|carnitine|AMP|Val|N-Acetylglucosamine|Glycine|2-hydroxyglutarate|phosphoethanolamine|L-Tryptophan|Lactate|N-Acetyl-L-glutamate|L-Arginine|nicotinamide|choline phosphate|His|Sedoheptulose 7-phosphate|lysine|UDP|L-alanine|alanylalanine|acetylcarnitine|N,N-Dimethylglycine|4-Aminobutanoate|GDP-mannose|Choline|L-Serine|Malic acid|beta-D-Fructose 1,6-bisphosphate|GSSG|(S)-2-Aminobutanoate|ADP|Fumarate|Sarcosine|NAD+|Pipecolic acid|L-Citrulline|Trimethylamine N-oxide|UDP-glucose|1-Methyl Histidine|GTP|Cytidine|1-methylhistamine|D-Glucose 1-phosphate|Guanidinoacetate|UMP|Inosine|CMP|N-acetylneuraminate|glucose 6-phosphate|6-Phospho-D-gluconate",Sebacic acid,N-acetylaspartate|histamine|D-Galactarate|Acetylcholine,Phthalic acid|pelargonate|Octanoic acid|D-Gluconic acid|4-methyl-2-oxopentanoate
4,37_774,[PID010-2]-[PID080-1],u,37,774,PID010,PID080,PMID26023239,PMID24928511,PID010-2,PID080-1,5.851749041,5.851749041,5.19E-07,21,2,4,22,49,"[H1975 PKI587 vs H1975 DMSO], [HCC827_ERLO vs HCC827_DMSO]",H1975 PKI587 vs H1975 DMSO,HCC827_ERLO vs HCC827_DMSO,Lung cancer (Non-small cell lung cancer),Lung cancer (Non-small cell lung cancer),CE-TOFMS,"CE-TOFMS (HMT, C-Scope)",1,o,2,Glycine|Choline|L-Serine|L-Proline|Val|Betaine|L-Threonine|L-Cysteine|isoleucine|leucine|L-Ornithine|L-aspartate|L-Glutamine|lysine|L-Methionine|His|phenylalanine|L-Citrulline|L-Tyrosine|L-Tryptophan|L-Cystathionine,D-Fructose 6-phosphate|Argininosuccinic acid,adenosine 5'diphosphoribose|5-Phospho-alpha-D-ribose 1-diphosphate|AMP|ADP,"NADH|glucose 6-phosphate|Ribose 5-phosphate|CoA|Ribulose-5-phosphate|D-Glyceraldehyde 3-phosphate|Glycerone phosphate|beta-D-Fructose 1,6-bisphosphate|6-Phospho-D-gluconate|Carbamoylaspartate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|3-phosphoglycerate|Phosphoenolpyruvate|Lactate|Pyruvate|2-hydroxyglutarate|Succinate|Malic acid|2-Oxoglutarate|Fumarate|Putrescine"
5,850_876,[PID088-1]-[PID096-A-4],u,850,876,PID088,PID096,PMID23543897,PMID28847964,PID088-1,PID096-A-4,5.64385619,5.64385619,3.60E-06,60,2,3,5,70,"[Tumor  lung  vs Normal  lung  ], [Tumour  stage I  vs Normal tissume  stage I ]",Tumor  lung  vs Normal  lung  ,Tumour  stage I  vs Normal tissume  stage I ,Lung cancer,colorectal cancer,CE-TOFMS,"CE-TOFMS, LC-MS/MS",1,o,2,"1-methyladenosine|1-methylnicotinamide|1-Methyl Histidine|Pyroglutamate|ADP|L-alanine|alanylalanine|AMP|L-Arginine|L-Asparagine|ATP|beta-Alanine|CDP-choline|Choline|L-Citrulline|phosphoethanolamine|beta-D-Fructose 1,6-bisphosphate|Fumarate|4-Aminobutanoate|GDP|L-Glutamate|D-Glucose 1-phosphate|Glycine|Glycyl-glycine|GMP|GTP|Guanidinoacetate|His|hypotaurine|Hypoxanthine|isoleucine|kynurenine|Lactate|leucine|Malic acid|L-Methionine|N6-acetyllysine|N-acetylmethionine|NAD+|NADPH|phenylalanine|Pipecolic acid|L-Proline|Propionic acid|Putrescine|S-Adenosyl-L-homocysteine|S-Adenosyl-L-methionine|Sarcosine|L-Serine|Succinate|Taurine|L-Threonine|Trimethylamine N-oxide|L-Tryptophan|L-Tyrosine|UDP|UDP-glucose|UMP|Val|Xanthine",Adenosine|D-Gluconic acid,glucose 6-phosphate|L-Ornithine|Uridine,3-phosphoglycerate|Glycerone phosphate|Guanosine|histamine|Phosphoenolpyruvate
6,850_875,[PID088-1]-[PID096-A-3],u,850,875,PID088,PID096,PMID23543897,PMID28847964,PID088-1,PID096-A-3,5.409390936,5.409390936,9.49E-05,51,6,1,5,63,"[Tumor  lung  vs Normal  lung  ], [Tumour   stage 0  vs Normal tissue  stage  0 ]",Tumor  lung  vs Normal  lung  ,Tumour   stage 0  vs Normal tissue  stage  0 ,Lung cancer,colorectal cancer,CE-TOFMS,"CE-TOFMS, LC-MS/MS",1,o,2,"1-methyladenosine|1-methylnicotinamide|1-Methyl Histidine|Pyroglutamate|ADP|L-alanine|alanylalanine|AMP|L-Arginine|L-Asparagine|ATP|beta-Alanine|CDP-choline|Choline|Creatine|phosphoethanolamine|beta-D-Fructose 1,6-bisphosphate|Fumarate|GDP|L-Glutamate|D-Glucose 1-phosphate|Glycine|Glycyl-glycine|GMP|GTP|Guanidinoacetate|His|hypotaurine|Hypoxanthine|isoleucine|kynurenine|Lactate|leucine|Malic acid|L-Methionine|NAD+|NADPH|phenylalanine|Pipecolic acid|L-Proline|S-Adenosyl-L-methionine|Sarcosine|Succinate|Taurine|L-Threonine|L-Tyrosine|UDP|UDP-glucose|UMP|Val|Xanthine",Adenosine|4-Aminobutanoate|D-Gluconic acid|N-acetylneuraminate|Propionic acid|Putrescine,glucose 6-phosphate,Glycerone phosphate|Guanosine|histamine|Isocitrate|Uridine
7,273_836,[PID031-1]-[PID081-C-1],u,273,836,PID031,PID081,PMID31953253,PMID29490947,PID031-1,PID081-C-1,5.380197781,5.380197781,0.000561627,33,0,18,11,62,"[Gastrectomy vs Healthy], [Tumor vs Non tumor]",Gastrectomy vs Healthy,Tumor vs Non tumor,Gastric cancer,Small cell lung cancer,CE-TOFMS,CE-TOFMS,1,o,2,"S-Adenosyl-L-homocysteine|L-Glutamate|Glycine|L-alanine|Succinate|lysine|GSH|L-Serine|L-Methionine|L-Ornithine|L-Tryptophan|phenylalanine|L-Tyrosine|Malonyl CoA|Choline|Fumarate|leucine|GSSG|L-Proline|Val|Lactate|L-Threonine|Guanine|Hypoxanthine|L-Citrulline|beta-D-Fructose 1,6-bisphosphate|Urate|Xanthine|isoleucine|Carbamoylaspartate|N-Acetyl-L-glutamate|Malic acid|2-hydroxyglutarate",,"ADP|S-Adenosyl-L-methionine|AMP|UDP-glucose|L-Arginine|D-Glucose 1-phosphate|IMP|His|L-Asparagine|glycolate|Ribulose-5-phosphate|Adenosine|L-Homoserine|Creatine|carnosine|glycerol 3-phosphate|3',5'-Cyclic GMP|N,N-Dimethylglycine",ATP|Acetyl-CoA|Phosphoenolpyruvate|glucose 6-phosphate|3-phosphoglycerate|Sarcosine|adenosine 5'diphosphoribose|Isocitrate|2-phosphoglycerate|Betaine|Sedoheptulose 7-phosphate
8,37_833,[PID010-2]-[PID081-A-45],u,37,833,PID010,PID081,PMID26023239,PMID29490947,PID010-2,PID081-A-45,5.266786541,5.266786541,9.58E-05,14,1,8,22,45,"[H1975 PKI587 vs H1975 DMSO], [H446 Gedatolisib vs H446 DMSO]",H1975 PKI587 vs H1975 DMSO,H446 Gedatolisib vs H446 DMSO,Lung cancer,Small cell lung cancer,CE-TOFMS,CE-TOFMS,1,o,2,Choline|L-Proline|Val|L-Threonine|L-Cysteine|isoleucine|leucine|L-Asparagine|L-Ornithine|L-Glutamine|phenylalanine|L-Arginine|L-Citrulline|Spermine,Glycine,"Xanthosine 5'-phosphate|N6-(1,2-dicarboxyethyl)-AMP|ATP|Isocitrate|Urea|Putrescine|Creatinine|Adenosine","Urate|glucose 6-phosphate|D-Glucose 1-phosphate|folate|Ribose 5-phosphate|D-Glyceraldehyde 3-phosphate|Glycerone phosphate|beta-D-Fructose 1,6-bisphosphate|6-Phospho-D-gluconate|Carbamoylaspartate|5-Phospho-alpha-D-ribose 1-diphosphate|2-phosphoglycerate|2,3-Bisphospho-D-glycerate|AMP|Lactate|glycerol 3-phosphate|Pyruvate|Succinate|Malic acid|2-Oxoglutarate|Fumarate|Citrate"
9,836_850,[PID081-C-1]-[PID088-1],u,836,850,PID081,PID088,PMID29490947,PMID23543897,PID081-C-1,PID088-1,5.209453366,5.209453366,7.21E-05,37,2,3,6,48,"[Tumor vs Non tumor], [Tumor  lung  vs Normal  lung  ]",Tumor vs Non tumor,Tumor  lung  vs Normal  lung  ,Small cell lung cancer,Lung cancer,CE-TOFMS,CE-TOFMS,1,o,2,"D-Glucose 1-phosphate|Putrescine|L-Proline|S-Adenosyl-L-methionine|S-Adenosyl-L-homocysteine|L-alanine|Creatine|Hypoxanthine|Succinate|Fumarate|GMP|L-Threonine|L-Asparagine|Malic acid|isoleucine|His|leucine|Val|AMP|UDP-glucose|L-Citrulline|GDP|phenylalanine|Lactate|L-Tyrosine|L-Glutamate|L-Tryptophan|L-Glutamine|L-Methionine|Glycine|L-Serine|Xanthine|ADP|Adenosine|Choline|beta-D-Fructose 1,6-bisphosphate|L-Arginine",L-Ornithine|Guanosine,ATP|Sarcosine|Phosphocreatine,glucose 6-phosphate|Spermine|Glycerone phosphate|3-phosphoglycerate|Isocitrate|Phosphoenolpyruvate
10,109_993,[PID021-1]-[PID110-1],u,109,993,PID021,PID110,PMID29084919,ST000231 (PMID26538415 ?),PID021-1,PID110-1,5.008988783,5.008988783,3.05E-05,14,5,2,23,44,"[Carcinoma   Normal], [ICC（胆管癌） vs ICC NT（非腫瘍組織）]",Carcinoma   Normal,ICC（胆管癌） vs ICC NT（非腫瘍組織）,Hepatocellular Carcinoma　（肝細胞癌）,胆管癌,CE-TOFMS,LC-MS,1,s,2,1-methylnicotinamide|L-Arginine|hypotaurine|Hypoxanthine|kynurenine|L-Methionine|N6-acetyllysine|N8-Acetylspermidine|acetylcarnitine|phenylalanine|L-Proline|Taurine|Hydroxyproline|phosphoethanolamine,L-Asparagine|L-Cystathionine|D-Glucarate|D-Gluconic acid|UDP-N-acetylglucosamine,2-phosphoglycerate|Threonate,Betaine|carnitine|Choline|glycerophosphorylcholine|nicotinamide|Pipecolic acid|Pyridoxamine 5'-phosphate|thiamin|Uridine|3-phosphoglycerate|AMP|ATP|flavin adenine dinucleotide|Fumarate|glycerol 3-phosphate|Malic acid|N-acetylneuraminate|NAD+|NADP+|Ribulose-5-phosphate|Sedoheptulose 7-phosphate|Succinate|Urate
