,HCvsNC,NTvsNC,HTvsNC,HCvsNT,HCvsHT,HTvsNT
Metabolite ,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
unknown,1.144625592,5.024377384,2.519858921,0.227814415,0.454241935,0.501526603
unknown,0.912762125,2.748244123,1.36381037,0.332125562,0.66927349,0.496247898
NAD,0.679512496,1.073019844,0.301431725,0.633271137,2.254283273,0.280919059
NADP,0.856449095,1.602028458,0.825101235,0.534602922,1.037992744,0.515035317
NAD,0.714412115,1.013351312,0.301132874,0.704999447,2.372414892,0.297165327
NADP,0.922288435,1.537486445,0.917786751,0.599867685,1.004904934,0.596939735
unknown,0.926752585,1.709209884,1.245471201,0.542211108,0.744097964,0.728682424
Niacinamide,0.619412489,2.302811449,1.772483779,0.268980984,0.349460173,0.769704258
NAD,0.904083519,1.149357077,0.462841715,0.786599341,1.953331971,0.402696189
NADP,0.89504363,1.328237833,0.785060518,0.673857955,1.140095075,0.591054176
Niacinamide,0.655706992,2.412747542,1.917985289,0.271767759,0.341872795,0.794938242
unknown,0.313046914,5.747643156,2.477802879,0.054465266,0.126340524,0.431098941
unknown,0.855328282,19.36373809,2.913213348,0.044171651,0.293603035,0.150446847
Adenosine triphosphate,0.503176377,2.443072611,0.634349641,0.205960467,0.793216144,0.25965239
Formic acid,1.123542114,2.116367901,0.636191464,0.530882232,1.766043994,0.300605327
NAD,0.74916563,1.036424305,0.318735447,0.722836802,2.350430857,0.307533744
NADP,0.779091354,1.4250905,0.594243838,0.546696055,1.311063411,0.416986738
Saccharopine,1.208305127,3.11538861,1.317351156,0.387850531,0.917223264,0.422852915
Inosine,0.278138156,2.500634255,2.268051061,0.111227044,0.12263311,0.906990319
unknown,0.655077174,1.484822226,0.853136022,0.441182225,0.767846107,0.574571155
unknown,0.655922734,1.715132305,0.7682788,0.382432732,0.853756129,0.44794142
Adenosine triphosphate,0.450545694,1.462553069,0.51070849,0.308054253,0.882197383,0.349189716
ADP,0.350954006,1.934242164,1.216802458,0.181442641,0.288423156,0.629084858
Niacinamide,0.469813255,1.921192402,1.282089353,0.244542532,0.366443457,0.667340424
Inosine,0.372483054,3.588296442,3.203395327,0.103804984,0.116277579,0.892734304
unknown,0.643285931,10.03885594,3.250088936,0.064079606,0.197928716,0.323750929
Hypoxanthine,0.307369746,5.748537261,1.883259974,0.05346921,0.163211532,0.327606813
NAD,0.670495563,1.733648591,0.781495693,0.386754021,0.857964502,0.450780912
Hypoxanthine,0.474317415,3.106691317,0.992492674,0.152676068,0.477905206,0.319469356
NADP,0.558148323,1.426677752,0.695470756,0.39122242,0.80254751,0.487475714
unknown,0.729525478,1.446742969,0.755443024,0.504253688,0.965692255,0.522168098
NAD,0.675027195,1.165893498,0.477927629,0.578978437,1.412404629,0.409923916
Guanosine triphosphate,0.708600988,4.360187848,0.680524213,0.16251616,1.041257568,0.156076811
unknown,0.491441118,3.67007684,0.818408111,0.133904858,0.600484173,0.222994816
Uridine 5'-monophosphate,0.561953524,4.069912487,1.640971779,0.138075088,0.342451669,0.403195839
Uridine 5'-monophosphate,0.485930496,3.466360773,1.513120479,0.140184628,0.321144617,0.436515579
unknown,0.828960166,3.066736634,1.948892616,0.27030693,0.425349329,0.635493963
unknown,0.853761981,2.259585609,1.641516471,0.377840068,0.520105644,0.726467926
unknown,1.046215958,2.548455297,1.301454407,0.410529452,0.803882143,0.510683632
Guanosine,0.316930828,6.056364778,3.351382695,0.052330208,0.094567185,0.553365396
unknown,0.37806458,3.663868301,0.905264278,0.103187273,0.417628961,0.247078826
unknown,0.620375817,1.151956738,0.582010308,0.538540898,1.065918951,0.505236254
unknown,0.553508788,0.947220474,0.385723082,0.584350532,1.434990057,0.407215736
Uridine diphosphate-N-acetylglucosamine,0.349789569,2.000370763,0.90464083,0.174862368,0.386661266,0.452236579
unknown,0.697134779,1.742430954,1.074106927,0.400093202,0.649036666,0.616441601
unknown,0.956251664,7.716721388,2.202403151,0.123919423,0.434185568,0.285406592
Uridine,0.374887493,4.959753821,2.832908262,0.075585907,0.132333086,0.571179209
Xanthine,0.709019258,5.008737679,2.218802279,0.141556477,0.319550446,0.442986321
Uridine,0.329926911,4.561635099,2.920485332,0.072326458,0.112969892,0.64022774
Cytidine,0.453762254,11.05833865,1.231549473,0.041033492,0.368448254,0.111368399
L-Histidine,0.408927969,2.431735291,0.428213566,0.168163028,0.954962668,0.176093824
Cytidine,0.577777391,12.92499395,3.581686866,0.044702334,0.161314323,0.277113233
unknown,0.897980538,7.471326688,2.247157094,0.120190239,0.399607371,0.300770825
unknown,0.841611165,4.804941643,2.029528203,0.175155335,0.414683158,0.422383528
unknown,1.018059607,0.91438396,1.090212152,1.113383056,0.933817886,1.192291423
unknown,1.266301288,2.718982809,1.743762025,0.465726111,0.726189279,0.641328816
unknown,1.357700878,2.971100115,2.013262288,0.456969077,0.674378538,0.677615096
L-Tryptophan,0.749681717,4.302473584,1.588068671,0.174244351,0.472071347,0.369105967
unknown,1.000675671,4.210448155,1.531264143,0.237664884,0.653496443,0.363681985
1-Methylhistidine,0.935745523,3.78979844,1.791508876,0.246911686,0.522322572,0.472718775
unknown,1.080295766,8.535747249,1.812405589,0.126561358,0.596056298,0.212331216
Niacinamide,0.83649452,5.704797159,1.864255385,0.14663002,0.448701678,0.326787322
Niacinamide,0.790966417,2.282317251,1.772873779,0.34656287,0.446149312,0.776786741
