,Tumor vs Control
compound name,ratio
Gly-Leu,4.700
"N,N-Dimethylglycine",3.659
Hexanoate,5.273
Octanoate,0.180
4-Methylbenzoate,5.932
3PG,2.834
3-Phenylpropionate,6.762
Isopropanolamine,3.362
SAM,5.000
3-Phenyllactate,2.427
Urea,0.340
Pipecolate,2.690
3-(4-Hydroxyphenyl)propionate,4.506
Spermidine,2.146
Butanoate,3.376
Met,3.162
2-Hydroxy-4-methylpentanoate,2.583
2-Hydroxypentanoate,1.971
N-Acetylornithine,3.417
2AB,3.526
N8-Acetylspermidine,1.797
Guanosine,1.764
Val,2.374
Trimethylamine N-oxide,2.537
Trp,2.242
7-Methylguanine,3.261
Gly-Gly,2.144
g-Butyrobetaine,2.085
Ala-Ala,1.986
Hypoxanthine,1.988
Ru5P,1.494
"1,3-Diaminopropane",1.845
Guanine,1.802
b-Ala,1.795
Taurine,1.658
Choline,1.535
3-Hydroxybutyrate,1.548
Cadaverine,3.069
O-Phosphoserine,3.084
F6P,0.575
cis-Aconitate,0.529
N-epsilon-Acetyllysine,2.185
Thr,1.817
