,Tumor tissue vs Control tissue
compound name,ratio
1-Methylnicotinamide,5.618221258
Betaine,2.517006803
Asn,2.796610169
Choline,2.515151515
Asp,5.564516129
Pro,2.945054945
Thr,2.355704698
Glu,4.221311475
Ethanolamine phosphate,2.457286432
UDP-N-acetylglucosamine,6.91588785
Hydroxyproline,2.653465347
Ile,2.76635514
Tyr,2.253521127
Val,2.37804878
Hypoxanthine,2.153034301
Gly,2.940594059
2AB,2.260869565
Putrescine,7.764705882
Nicotinamide,2.524509804
Phe,2.237410072
Arg,2
Leu,2.520912548
Ser,1.874429224
SAM,4.900990099
His,1.61928934
Ala,1.6875
Guanine,2.803448276
Lys,1.784518828
Glutathione (oxidized form),2.417808219
Glutathione (reduced form),4.801444043
Fumarate,1.670454545
Met,2.17877095
Kynurenine,38.15104167
3-Methylhistidine,2.192262603
Phosphorylcholine,3.699186992
SAH,2.619047619
GABA,3.453608247
N-Acetylglucosamine 6-phosphate,6.769230769
N-Acetylglucosamine 1-phosphate,6.047904192
Gly-Gly,5.238636364
GMP,5.36643026
6-Phosphogluconate,4.245689655
Malate,1.671270718
Trimethylamine N-oxide,1.59642401
N-Acetylaspartate,2.006479482
UMP,2.939226519
AMP,3.552511416
Citrulline,2.324561404
Lactate,1.637795276
3-Hydroxy-3-methylglutarate,11.04194858
S7P,2.158139535
Guanosine,1.653658537
Argininosuccinate,8.055555556
"F1,6P",1.640419948
3PG,0.756363636
UDP-glucuronate,3.02955665
Spermidine,2.834101382
Succinate,1.764044944
Carnosine,0.127050998
2-Hydroxyglutarate,2.694444444
Taurine,1.386861314
Cadaverine,7.569060773
PEP,0.535315985
5-Oxoproline,1.873831776
N-Acetylputrescine,4.154929577
Cysteine-glutathione disulphide,5.348101266
1-Methylhistamine,2.004728132
CMP,4.009259259
UDP-glucose,2.763466042
N1-Acetylspermidine,6.487252125
UDP,2.857740586
a-Aminoadipate,2.358333333
N-Acetylneuraminate,3.39011925
cis-Aconitate,2.181603774
ADP,1.914027149
5-Aminovalerate,2.67032967
Hypotaurine,1.894060995
Citrate,1.549488055
Sarcosine,2.216666667
Gln,1.386266094
Trp,1.515235457
Histamine,1.619156214
Pipecolate,1.657142857
Ornithine,1.445269017
DHAP,0.473498233
