,Malignant disease vs Healthy control,Benign diseases vs Healthy control,Malignant disease vs benign diseases
compound name,ratio,ratio,ratio
Glu,3.35443038,2.800632911,1.197740113
His,0.7088243,0.816967793,0.867628205
Cystine,0.739930383,0.800348086,0.924510718
4-Methyl-2-oxopentanoate,0.648365207,0.843512235,0.768649439
2-Oxoisopentanoate,0.734477124,0.860294118,0.853751187
Thr,0.783917187,0.88208679,0.888707546
Gln,0.779025921,0.87153812,0.893851803
2AB,0.805462386,0.797795879,1.00960961
Citrulline,0.736016573,0.862385321,0.853466026
Creatine,0.565322303,0.895553257,0.631254811
Ornithine,1.271193772,1.227652826,1.035466823
Arg,1.065955655,1.160071101,0.918870968
Choline,1.172158709,1.166778749,1.004610951
Trimethylamine N-oxide,1.151887621,1,1.151887621
Isocitrate,1.405204461,1.156133829,1.215434084
Hippurate,0.654040404,0.555555556,1.177272727
Asn,0.881417625,0.9,0.979352916
Phe,1.260523651,1.181975987,1.066454534
Trp,0.840554593,0.936915078,0.897151313
Ser,0.942487767,0.919047907,1.025504503
Leu,0.909097426,1.074629006,0.845963976
Citrate,1.069638695,0.901078089,1.187065481
Guanidinoacetate,0.830188679,1.041509434,0.797101449
Val,0.903314572,1.063539712,0.849347289
