,HS vs Healthy,MP vs Healthy,Stage_0 vs Healthy,Stage_I_II vs Healthy,Stage_III_IV vs Healthy,MP vs HS,Stage_0 vs HS,Stage_I_II vs HS,Stage_III_IV vs HS,Stage_0 vs MP,Stage_I_II vs MP,Stage_III_IV vs MP,Stage_I_II vs Stage_0,Stage_III_IV vs Stage_0,Stage_III_IV vs Stage_I_II
compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Acetyl CoA,0.297267309,0.870310834,0.652544852,0.791262596,0.665552791,2.92770449,2.19514502,2.661788139,2.23890341,0.749783671,0.909172407,0.764729985,1.212579631,1.019934168,0.841127578
Acetylcholine,0.392783906,0.814000505,2.138335648,0.432893917,0.529961066,2.072387622,5.444051081,1.102117247,1.349243331,2.626946341,0.531810379,0.651057417,0.202444325,0.24783811,1.224228488
Adenine,0.959665677,1.107974161,0.855486262,1.109936397,0.967679756,1.154541823,0.89144197,1.156586532,1.008350907,0.772117521,1.001771013,0.873377548,1.297433339,1.131145875,0.87183352
Adenosine,0.795017942,0.996549572,0.827080286,0.784673308,0.848639039,1.253493185,1.040329082,0.986988175,1.067446398,0.829943948,0.787390141,0.851577345,0.94872689,1.026066094,1.081518933
"Adenosine 3',5'-diphosphate",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenosine 5'-phosphosulfate,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adipate,1.126765457,1.134341574,0.936306749,0.884010398,1.184029855,1.006723775,0.830968631,0.784555821,1.050821933,0.825418701,0.779315876,1.043803632,0.944146135,1.264574731,1.339384534
ADMA,0.600931266,0.843686112,2.4320318,0.887709412,0.961871291,1.403964412,4.047104778,1.477222873,1.600634456,2.882626327,1.052179713,1.14008193,0.365007321,0.395501116,1.083542968
ADP,0.466493434,0.991673462,0.841231045,0.741251313,0.919845315,2.125803688,1.803307364,1.588985523,1.971829072,0.8482944,0.747475193,0.927568751,0.881150687,1.093451461,1.240935832
ADP-glucose,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADP-ribose,0.180889943,0.948607603,0,0.449083141,0.46557179,5.244114665,0,2.48263189,2.573784823,0,0.473412968,0.490794917,NA,NA,1.03671625
Agmatine,0.623836352,0.894028032,0.869895302,0.86141822,0.908797214,1.433113074,1.394428682,1.38084005,1.456787844,0.973006742,0.963524844,1.01651982,0.990255054,1.044720223,1.055001152
AICAR,0.221198864,0.938514457,0.146677426,1.351524409,0.572343438,4.242853872,0.663102074,6.109997056,2.587461015,0.156286805,1.440067756,0.609839767,9.214263221,3.902055377,0.423479912
Ala,0.538453083,1.295099721,1.356159406,1.013355232,0.99745636,2.405222964,2.518621304,1.881974984,1.852448043,1.047146706,0.782453441,0.770177265,0.747224278,0.735500824,0.984310662
Ala-Ala,0.866381739,0.860736539,0.62842273,0.822470441,0.835946483,0.993484166,0.725341615,0.949316455,0.964870848,0.730098818,0.955542613,0.97119902,1.308785316,1.330229546,1.016384834
Allantoate,0,0.817633942,0,0,1.141507971,NA,NA,NA,NA,0,0,1.396111283,NA,NA,NA
Allantoin,1.734197817,1.043120613,0.636266695,0.740957286,0.786093182,0.601500361,0.366893955,0.427262264,0.453289224,0.609964646,0.710327528,0.753597592,1.164538851,1.235477494,1.060915651
Alliin,1.234888935,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
alpha-Aminoadipate,0.933805446,0.916198769,1.051771508,0.936327963,0.891345369,0.98114524,1.126328308,1.00270133,0.95453006,1.147973065,1.021970335,0.972873354,0.89023895,0.847470541,0.951958507
alpha-Methylbenzylamine,0,1.238655504,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA
Alpha-Methylserine,3.718996353,0.591263906,1.647216823,1.377766008,0.601290207,0.158984804,0.44291972,0.370467158,0.161680773,2.785924877,2.33020483,1.016957405,0.836420554,0.365034037,0.436424039
Amantadine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
AMP,0.755760801,1.101161384,0.904696299,1.004941523,1.320197351,1.45702368,1.197066979,1.329708449,1.746845495,0.82158375,0.912619656,1.198913593,1.110805387,1.459271307,1.313705644
Anserine,0.686458984,1.028183322,1.188755397,1.060283776,1.636065149,1.497807364,1.731720939,1.544569742,2.38333999,1.156170667,1.031220556,1.591219303,0.891927624,1.376284098,1.543044594
Anthranilate,1.335557396,0.218223413,0.901526485,0.445844081,0.11452402,0.163395009,0.6750189,0.333826223,0.08574998,4.13120881,2.043062547,0.524801708,0.49454352,0.12703345,0.256870114
Arg,0.948851749,1.184640079,0.955798212,1.266098966,1.051134206,1.248498599,1.007320915,1.33434856,1.107796036,0.806825827,1.068762561,0.887302586,1.324650904,1.099744897,0.830214884
Arginine ethyl ester,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Argininosuccinate,0.441979312,0.864340942,1.247657657,0.839161011,0.775942394,1.955614028,2.822887009,1.898643193,1.755607952,1.443478605,0.970868057,0.897727224,0.672589157,0.621919314,0.924664497
Asn,0.707035655,0.634807674,0.795469935,0.832124922,0.676711087,0.897843933,1.125077539,1.176920733,0.95711027,1.25308809,1.310829966,1.06600962,1.046079663,0.85070605,0.813232568
Asp,0.730142541,1.033172666,0.835932576,0.899785802,0.884926612,1.415028721,1.144889565,1.232342661,1.21199158,0.80909281,0.870895864,0.856513767,1.076385617,1.058610033,0.983485859
ATP,0,1.11275862,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA
Azelate,1.777316732,1.530084819,0.747541768,1.055443349,1.303798382,0.860895974,0.420601322,0.593840889,0.733576834,0.488562306,0.689794014,0.852108567,1.411885455,1.744114427,1.235308729
Benzamide,1.379212738,0.95315481,0.96985171,0.624124732,0.741228969,0.691086142,0.703192251,0.452522453,0.537429033,1.017517511,0.654798911,0.77765853,0.643525938,0.764270415,1.187629541
Benzoylformate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Benzylsuccinate,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
beta-Ala,0.571505402,0.95482621,1.038807344,0.629058359,0.782478658,1.670721234,1.817668461,1.100704135,1.369153564,1.087954366,0.658819743,0.819498511,0.605558251,0.753247137,1.243888817
beta-Ala-Lys,0.98788915,2.46477736,1.429686393,1.842531757,1.479504682,2.494993857,1.447213378,1.865119945,1.497642404,0.58004687,0.747544905,0.600258955,1.288766379,1.034845606,0.802973776
beta-Imidazolelactate,0.761499632,0.756964646,2.226875094,0.688506361,0.693774524,0.994044664,2.924328525,0.904145364,0.911063506,2.941848219,0.909562111,0.916521701,0.309180503,0.311546223,1.007651582
Betaine,0.452679557,0.777227194,1.911075341,1.28738974,0.947173541,1.716947853,4.221695701,2.843931694,2.092370919,2.458837462,1.656387927,1.218657232,0.673646775,0.495623339,0.735731777
Betaine aldehyde,1.281718386,0.783115903,0.429804185,1.472062299,1.057775076,0.610989054,0.335334337,1.148506814,0.825278851,0.548838534,1.87975023,1.350726082,3.42496037,2.461062767,0.718566787
Betonicine,3.009628042,0.037882495,0.047154691,0.212616299,0.07203875,0.012587102,0.015667947,0.070645374,0.023936097,1.24476204,5.612521055,1.901636908,4.508910838,1.527711198,0.33882045
Biotin,1.150063972,0.716941095,0.272137166,1.224341223,0.999663504,0.623392361,0.236627851,1.064585322,0.869224259,0.379580928,1.707729173,1.394345381,4.498985721,3.673381034,0.81649093
Bis(3-aminopropyl)amine,4.003283635,1.029962832,0.303269487,0.791975574,0.400417019,0.257279505,0.075755184,0.197831492,0.100022146,0.29444702,0.768936072,0.388768417,2.611458157,1.320334017,0.505592637
Butyrate,0.8140199,1.127746475,0.764605401,0.935226553,0.919456451,1.385404061,0.939295711,1.148898881,1.129525766,0.677994051,0.829287941,0.815304212,1.223149289,1.202524139,0.983137667
