,TCC-MESO2_PMX vs TCC-MESO2_PBS,TCC-MESO2_PMX+HT vs TCC-MESO2_PBS,TCC-MESO2_PMX vs TCC-MESO2_PMX+HT,MSTO-211H_PMX vs MSTO-211H_PBS,MSTO-211H_PMX+HT vs MSTO-211H_PBS,MSTO-211H_PMX vs MSTO-211H_PMX+HT,NCI-H2452_PMX vs NCI-H2452_PBS,NCI-H2452_PMX+HT vs NCI-H2452_PBS,NCI-H2452_PMX vs NCI-H2452_PMX+HT
Compound name,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio,Ratio
NAD+,0.93,0.96,0.97,1.04,1.01,1.03,1.05,1,1.05
cAMP,1.2,1.4,0.85,0.55,0.76,0.73,1.35,1.04,1.3
cGMP,NA,NA,NA,NA,NA,NA,NA,NA,NA
NADH,0.97,0.95,1.01,1.01,0.91,1.11,1.04,0.91,1.14
Xanthine,0.69,0.61,1.13,1.33,1.44,0.93,0.41,1.03,0.4
ADP-ribose,0.89,0.77,1.15,0.93,1.15,0.81,1,0.93,1.08
Mevalonic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA
UDP-glucose,1,0.9,1.11,1.09,0.76,1.44,0.99,0.9,1.1
Uric acid,NA,NA,NA,1.34,0.66,2.04,NA,0.16,NA
NADP+,0.92,1.02,0.91,0.89,0.88,1.01,0.95,0.92,1.04
IMP,0.97,2.4,0.41,1.37,2.65,0.52,0.89,1.2,0.74
Sedoheptulose 7-phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glucose 6-phosphate,1.03,1.2,0.86,1.24,1.17,1.06,0.87,0.9,0.97
Fructose 6-phosphate,1.2,1.24,0.97,1.02,1.11,0.92,0.95,0.83,1.14
Fructose 1-phosphate,NA,NA,NA,1.26,0.92,1.37,NA,NA,NA
Galactose 1-phosphate,0.87,0.92,0.94,1.05,0.76,1.39,1.03,0.87,1.19
Glucose 1-phosphate,1.33,1.26,1.05,0.94,1.12,0.84,0.84,1,0.84
Acetoacetyl CoA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetyl CoA,0.79,1.21,0.65,1.55,0.62,2.5,1.12,0.92,1.22
Folic acid,0.64,0.64,0.99,1.35,1.06,1.27,0.76,1.1,0.69
Ribose 5-phosphate,0.86,0.43,2,1.78,0.66,2.69,0.32,0.84,0.39
CoA,1.04,1.22,0.85,1.6,1.56,1.03,1.1,0.83,1.31
Ribose 1-phosphate,1,1.21,0.82,1.6,0.83,1.94,1.19,1.12,1.07
Ribulose 5-phosphate,0.67,0.5,1.33,1.54,0.99,1.57,1.52,0.99,1.53
Xylulose 5-phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrose 4-phosphate,1.14,0.86,1.32,1.71,0.82,2.08,NA,1,NA
HMG CoA,0.95,1.06,0.89,1.17,1.09,1.08,1.04,0.93,1.12
