,A2780 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_Untreated vs A2780 cell_Untreated,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_Untreated vs A2780 cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_Untreated,A2780 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_Untreated vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.015 ?M DiRu-1_2,A2780cisR cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_Untreated vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780 cell_0.03 ?M DiRu-1,A2780cisR cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_Untreated vs A2780cisR cell_Untreated,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_Untreated,A2780cisR cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.015 ?M DiRu-1,HEK-293 cell_Untreated vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.03 ?M DiRu-1 vs A2780cisR cell_0.03 ?M DiRu-1,HEK-293 cell_0.015 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_Untreated,HEK-293 cell_0.03 ?M DiRu-1 vs HEK-293 cell_0.015 ?M DiRu-1
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
lipid omega-CH3,0.984425483,0.950425732,1.048935216,0.881206989,0.790005295,0.574838636,0.638411901,0.550585352,0.965462342,1.065530336,0.895148494,0.802503905,0.583933112,0.648512165,0.559296119,1.103647744,0.927170803,0.831212022,0.604822256,0.671711507,0.57930392,0.840096677,0.753149749,0.548021105,0.608628533,0.524899292,0.896503664,0.652330999,0.724474396,0.6248082,0.727638966,0.808110914,0.696938813,1.110593237,0.957808536,0.86242965
Leu,0.984425483,0.950425732,1.048935216,0.881206989,0.790005295,0.574838636,0.638411901,0.550585352,0.965462342,1.065530336,0.895148494,0.802503905,0.583933112,0.648512165,0.559296119,1.103647744,0.927170803,0.831212022,0.604822256,0.671711507,0.57930392,0.840096677,0.753149749,0.548021105,0.608628533,0.524899292,0.896503664,0.652330999,0.724474396,0.6248082,0.727638966,0.808110914,0.696938813,1.110593237,0.957808536,0.86242965
unknown,1.001016803,0.856595325,0.783683904,0.741045546,0.729257936,0.793094015,0.752030605,0.716416328,0.855725222,0.782887862,0.740292814,0.728517178,0.792288414,0.751266715,0.715688614,0.914882303,0.865105756,0.851344754,0.925867783,0.877929849,0.836353301,0.945592403,0.930551122,1.012007533,0.959609609,0.914164913,0.984093272,1.070236532,1.014823729,0.966764232,1.087535665,1.031227179,0.982390855,0.94822378,0.903318288,0.952642517
Val,1.002014351,0.828641512,0.762756921,0.7881615,0.765726818,0.857584468,0.746337568,0.782045312,0.826975693,0.76122355,0.786577058,0.764187476,0.855860465,0.744837204,0.780473165,0.92049084,0.951148945,0.924074894,1.034928199,0.900676054,0.943767963,1.033306258,1.003893634,1.124322106,0.978473675,1.025287729,0.971535425,1.088082161,0.94693482,0.992239931,1.119961386,0.974678633,1.021311117,0.870278784,0.911916366,1.047843959
lipid (-CH2)n,0.967193621,0.986111243,1.830359394,1.494690574,1.334906969,0.295289635,0.348317254,0.320018867,1.019559292,1.892443616,1.545389197,1.380185869,0.305305607,0.360131877,0.330873632,1.856138855,1.515742351,1.353708294,0.299448604,0.353223084,0.324526131,0.816610431,0.72931413,0.161328773,0.190299924,0.174839361,0.893099209,0.19755904,0.233036362,0.214103756,0.221206153,0.260929984,0.239731213,1.179578328,1.083745681,0.91875686
lipid (-CH2)n,1.00323959,0.959430536,1.445315742,1.158942745,1.12302132,0.391087609,0.328945627,0.337773704,0.956332411,1.44064863,1.155200369,1.119394939,0.389824737,0.327883419,0.336682989,1.506430833,1.207948571,1.17050821,0.407624726,0.342855074,0.352056446,0.80186129,0.777007603,0.270589739,0.227594302,0.233702363,0.969005005,0.337452053,0.283832509,0.291449863,0.348245934,0.292911293,0.300772299,0.841104703,0.863677847,1.026837496
lactate,1.00323959,0.959430536,1.445315742,1.158942745,1.12302132,0.391087609,0.328945627,0.337773704,0.956332411,1.44064863,1.155200369,1.119394939,0.389824737,0.327883419,0.336682989,1.506430833,1.207948571,1.17050821,0.407624726,0.342855074,0.352056446,0.80186129,0.777007603,0.270589739,0.227594302,0.233702363,0.969005005,0.337452053,0.283832509,0.291449863,0.348245934,0.292911293,0.300772299,0.841104703,0.863677847,1.026837496
unknown,0.945422529,0.883133172,0.9724147,0.820601853,0.771381311,0.7154453,0.783886591,0.698619971,0.934114796,1.028550379,0.86797366,0.815911709,0.756746617,0.829138896,0.738949993,1.101096336,0.929193783,0.873459786,0.810121647,0.887619915,0.791069787,0.843880551,0.79326373,0.735740935,0.806123757,0.718438307,0.940018974,0.871854356,0.95525813,0.851350711,0.927485914,1.016211541,0.905673965,1.095662507,0.976482717,0.891225821
Ala,0.988351699,0.89415359,0.850506613,0.859326448,0.943391328,1.532564851,1.488040719,1.330087659,0.904691712,0.86053033,0.869454111,0.954509745,1.550627021,1.505578147,1.345763518,0.951186264,0.961050157,1.055066309,1.713983892,1.664189167,1.487538241,1.010370096,1.109211044,1.801943485,1.749593355,1.563876916,1.097826478,1.783448949,1.731636123,1.547825814,1.624527176,1.577331351,1.409900239,0.970947962,0.867883443,0.893851655
