,RCC stage1_woman vs normal colon tissue_woman,RCC stage2_woman vs normal colon tissue_woman,RCC stage3_woman vs normal colon tissue_woman,RCC stage2_woman vs RCC stage1_woman,RCC stage3_woman vs RCC stage1_woman,RCC stage3_woman vs RCC stage2_woman,RCC stage1_men vs normal colon tissue_men,RCC stage2_men vs normal colon tissue_men,RCC stage3_men vs normal colon tissue_men,RCC stage2_men vs RCC stage1_men,RCC stage3_men vs RCC stage1_men,RCC stage3_men vs RCC stage2_men
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Creatinine,0.902242224,0.887664127,0.972845657,0.983842369,1.078253302,1.095961442,1.024067722,1.016934641,0.99639592,0.993034561,0.972978543,0.979803303
Creatine,0.353025828,0.386673506,0.326986724,1.095312226,0.92624023,0.845640364,0.461816603,0.960898303,0.511701732,2.080692416,1.108019349,0.532524337
Carnitine,1.232968402,1.244519939,1.227152593,1.009368883,0.995283084,0.986044944,1.187683545,1.095998836,1.145419883,0.922803756,0.964415047,1.045092244
O-Phosphoethanolamine,3.001038591,2.789278433,2.331299178,0.929437709,0.776830789,0.835807265,2.17102098,1.760211837,1.841589743,0.81077606,0.848259763,1.046231882
Tyrosine,0.907721496,0.804843292,1.085816274,0.88666325,1.196199803,1.349102721,1.337960493,1.267421392,1.309839699,0.947278637,0.978982343,1.033468195
"NG,NG-dimethyl-L-arginine (ADMA)",2.860284839,2.647060214,3.131626535,0.92545336,1.094865271,1.183058291,4.691847618,2.974350055,3.966751886,0.633940038,0.845456249,1.33365334
Thymidine,1.429496133,1.800135062,1.352672482,1.25927942,0.946258231,0.75142833,3.379083337,3.23822753,2.23014238,0.958315379,0.659984427,0.688692304
Adenosine,1.430368383,0.962087332,1.366998645,0.672615072,0.955696911,1.420867523,0.924200939,0.993691145,0.76157947,1.075189499,0.824041005,0.76641467
Dimethylsphingosine,1.401384747,1.570983033,1.495795876,1.12102193,1.067369885,0.952140057,1.036870786,1.189261415,1.207144679,1.146971668,1.164219009,1.015037286
ADP-ribose,3.031019899,2.505395126,2.677109837,0.826584849,0.883237302,1.068537976,1.625224385,1.073907828,1.36073875,0.660775114,0.83726208,1.267090819
Dimethylglycine,2.087645699,2.046115461,2.341705372,0.980106663,1.121696738,1.144463945,1.553860259,1.48103807,1.108050557,0.953134661,0.713095371,0.748158052
Serine,1.524838,1.430336168,1.69555455,0.938025002,1.111957172,1.18542381,2.024394984,1.520795123,1.808964491,0.751234386,0.893582776,1.189485989
Aspartate,3.715763858,4.13839689,3.783343978,1.113740552,1.01818741,0.914205205,2.131869143,1.840510294,2.322747506,0.863331739,1.089535685,1.262012777
succinate,0.989019479,1.052205242,1.561536394,1.063887278,1.578873244,1.48406065,1.076648218,2.044162522,0.930226132,1.898635495,0.864001925,0.455064665
Threonine,1.135432032,1.239960862,1.464360227,1.092060843,1.289694306,1.180972942,1.77567508,1.374191474,1.759115278,0.773898046,0.990674081,1.280109295
Hypoxanthine,1.602228002,1.575304858,1.661294267,0.983196435,1.036865081,1.054585884,1.491809334,1.270163245,1.434750256,0.851424653,0.961751763,1.129579416
Taurine,3.363095663,3.565454435,3.294338092,1.060170388,0.979555274,0.923960228,2.637281568,2.254365653,2.264562382,0.854806586,0.858672964,1.004523104
Ornithine,1.207767434,1.160638176,1.52114204,0.960978201,1.259466017,1.310608311,2.081527445,1.307558832,1.722131425,0.628172756,0.827340244,1.317058462
Adenine,2.030440693,1.847471129,1.733729748,0.909886773,0.853868697,0.938434014,1.880713188,1.440583734,1.369955129,0.765977366,0.728423205,0.950972232
Lysine,0.872915845,0.871641503,1.282161792,0.998540131,1.468826347,1.470973775,2.273856626,1.621817222,1.703409687,0.713245155,0.749128009,1.050309285
Glutamate,2.068703399,2.117730516,2.210230627,1.023699442,1.068413494,1.043678887,2.538780184,2.157165216,2.182654706,0.849685699,0.859725753,1.011816198
Methionine,1.216063375,1.081198931,1.267822011,0.88909752,1.04256245,1.172607533,2.119971147,1.663388753,1.73719154,0.784628015,0.819441124,1.044368935
Phosphoenolpyruvate,1.896324186,3.025340918,2.63962151,1.595371161,1.391967433,0.872503821,2.06572849,1.941793426,2.439496111,0.940004185,1.180937438,1.25631083
Citrulline,0.948490099,1.123139235,1.311305481,1.184133852,1.382518893,1.167535993,2.737105249,4.375008886,2.357148772,1.598407255,0.861183096,0.538775768
N-Formylmethionine,2.244654673,2.127345793,2.213545729,0.947738562,0.986140878,1.040519946,2.184878947,2.538084128,2.083723311,1.161658924,0.953701949,0.820982759
Acetyl-ysine,3.212554396,2.404521752,3.79797977,0.748476588,1.182230494,1.579515663,2.978637954,2.012947954,2.473837168,0.675794771,0.830526303,1.22896231
D-Glucuronate,1.221165244,0.917214731,0.858359948,0.751097965,0.702902373,0.935833148,1.138233516,0.711011288,0.773004333,0.624662055,0.679126314,1.087189958
Ribulose 5-phosphate,4.507631967,3.875396696,4.074464263,0.859741151,0.903903489,1.051367017,2.085911954,1.385483484,1.555316086,0.664209955,0.745628828,1.122580026
DHAP|Glycerol-3-phosphate,1.771057731,1.815220354,2.066353205,1.024935733,1.166733963,1.138348411,1.435110298,1.344779828,1.278827767,0.937056775,0.891100683,0.950956983
Fructose 6-phosphate,6.326470967,5.878913732,5.462875368,0.929256415,0.863494893,0.929232103,4.392659181,3.664248432,3.678334179,0.834175446,0.837382102,1.003844103
L-Fucose-1-phosphate,5.550225163,11.64203739,5.077558912,2.097579296,0.914838365,0.436140062,4.069563275,3.292503099,2.857633285,0.809055635,0.702196548,0.867921213
Deoxyinosine,4.827850091,3.794091386,5.106596605,0.785875973,1.057737193,1.345934002,2.41992712,1.749298495,2.380375735,0.722872388,0.98365596,1.36076018
Glucosamine 6-phosphate,0.81287371,1.127889834,1.984238271,1.387533906,2.441016662,1.759248298,3.778896529,1.407113016,1.558999573,0.372360821,0.412554184,1.107941975
