,CTD_MYC vs CTD_WT,HFD_WT vs CTD_WT,HFD_MYC vs CTD_WT,HFD_WT vs CTD_MYC,HFD_MYC vs CTD_MYC,HFD_MYC vs HFD_WT
Compound name,ratio,ratio,ratio,ratio,ratio,ratio
"1,2-dipalmitoyl-GPC (16:0/16:0)",0.586669361,0.74725602,0.705022122,1.273726002,1.201736734,0.943481355
"1,5-anhydroglucitol (1,5-AG)",1.118435867,0.425156615,0.135103452,0.380134997,0.655653498,1.7247912
1-(1-enyl-oleoyl)-GPE (P-18:1),3.329071742,2.203883495,0.636451339,0.662011415,1.306534356,1.973582821
1-(1-enyl-palmitoyl)-GPE (P-16:0),4.279448677,2.295785812,0.77136566,0.536467659,0.991428454,1.848067517
1-(1-enyl-stearoyl)-GPE (P-18:0),2.016613513,2.803307869,1.130778502,1.390106657,1.727859507,1.242969019
1-(3-aminopropyl)-2-pyrrolidone,0.939146018,0.431454396,0.308018925,0.459411409,0.777387965,1.692139006
1-arachidonoyl-GPC (20:4),1.930913759,2.953942506,1.155323009,1.529815867,1.78536605,1.167046367
1-arachidonoyl-GPE (20:4),1.589367211,2.067272249,0.72571329,1.300688874,1.512017339,1.162474262
1-arachidonoyl-GPI (20:4),2.832123963,2.191350351,0.683152527,0.773748035,2.358655044,3.048350286
1-arachidonylglycerol (20:4),2.533097717,1.883322189,0.491551392,0.743485803,1.599928353,2.151928588
1-dihomo-linolenylglycerol (20:3),3.41399585,1.738471294,0.751015831,0.509218924,2.020227603,3.967306608
1-dihomo-linoleoylglycerol (20:2),6.421190893,4.174547577,2.161672294,0.65012046,2.985923603,4.592877453
1-docosahexaenoyl-GPE (22:6),0.631569031,0.986599941,0.096206947,1.562141099,1.300451189,0.832479979
1-docosahexaenoylglycerol (22:6),3.796773471,1.940510867,0.558811019,0.511094718,1.628533491,3.186363374
1-linoleoyl-GPC (18:2),3.683359926,3.441504967,1.116351468,0.934338494,1.675563132,1.793314888
1-linoleoyl-GPE (18:2),10.09923945,2.960453155,0.763634494,0.293136248,1.709931131,5.833229923
1-linoleoyl-GPI (18:2),2.172366621,2.11461689,0.774038311,0.973416213,2.761517835,2.836934292
1-linoleoylglycerol (18:2),5.069623715,2.111026034,0.359196368,0.416406848,1.639142114,3.936395668
1-methylhistamine,1.845507238,0.946651291,0.390312669,0.512949108,0.884666612,1.724667415
1-methylimidazoleacetate,1.960195692,0.638605836,0.296644065,0.325786777,0.716981968,2.200770626
1-methylnicotinamide,2.038292913,3.872623342,1.377885964,1.899934655,1.562858491,0.822585391
1-oleoyl-2-linoleoyl-GPI (18:1/18:2),0.682383698,0.717510615,0.140892387,1.051476782,1.40390729,1.335176691
1-oleoyl-GPC (18:1),4.05815305,3.463687151,4.689149101,0.853513189,1.965510232,2.302846937
1-oleoyl-GPE (18:1),8.380920588,2.130233289,0.441453081,0.254176527,1.320012184,5.193289086
1-oleoyl-GPG (18:1),4.752069523,2.441748293,0.975812535,0.513828403,2.194924959,4.271708116
1-oleoyl-GPI (18:1),3.62821617,2.297394768,1.079180054,0.633202285,2.50089756,3.949602868
1-oleoyl-GPS (18:1),5.32164869,3.18412943,1.03246241,0.598335143,2.196819882,3.671554158
1-oleoylglycerol (18:1),3.945567971,1.790258449,0.506939777,0.453739097,1.442445356,3.179019319
1-palmitoleoyl-GPC (16:1),7.294146318,1.002705074,0.434326389,0.137467091,1.120110388,8.148207559
1-palmitoleoylglycerol (16:1),4.215346887,1.49505971,0.546000354,0.354670624,1.289259125,3.635088553
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),0.643985267,0.929556045,0.06984731,1.443443031,1.182984163,0.819557223
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4),0.400237866,0.947244719,0.130280536,2.366704401,1.321329183,0.558299204
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4),0.622216153,0.69768835,0.142011851,1.121295785,1.211301307,1.080269206
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6),0.672447791,0.860734095,0.166962587,1.280001372,1.383595706,1.080932987
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),0.819491439,0.940169327,0.078957934,1.147259485,1.248001985,1.087811433
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),0.481132826,0.83588503,0.169905684,1.73732696,1.478408283,0.850967214
