,HCC vs CRR
metabolite_identification,ratio
Fragment of GDCA/GCDCA,0.653453926
Fragment of GCA,0.439958997
glycodeoxycholic acid (GDCA),0.609922098
taurocholic acid (TCA),0.298865065
taurochenodeoxycholic acid (TCDCA),0.264878463
sphingosine 1-phosphate,1.076027484
LPC (16:0),1.030243891
LPC (18:0),1.075933193
LPC (17:0),1.127259696
glycochenodeoxycholic acid (GCDCA),0.832479339
glycochenodeoxycholate-3-sulfate,0.437500635
glycocholic acid (GCA),0.878516221
taurochenodeoxycholic acid (TCDCA),0.791331355
sphingosine 1-phosphate,1.343437312
