,Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h vs cisplatin_24h,control_24h vs cisplatin_24h,control_48h vs cisplatin_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs cisplatin_24h,methyl methanesulfonate_1+23 (recovery)h vs cisplatin_24h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs cisplatin_24h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs cisplatin_24h,Zeocin_24h vs cisplatin_24h,control_24h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,control_48h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,methyl methanesulfonate_1+23 (recovery)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,Zeocin_24h vs Cisplatin+PARP inhibitor_24(Cisp)+48(PI)h,control_48h vs control_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h/control_24h,methyl methanesulfonate_1+23 (recovery)h vs control_24h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs control_24h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs control_24h,Zeocin_24h vs control_24h,EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h vs control_48h,methyl methanesulfonate_1+23 (recovery)h vs control_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs control_48h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs control_48h,Zeocin_24h vs control_48h,methyl methanesulfonate_1+23 (recovery)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Zeocin_24h vs EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor_48h,Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h vs methyl methanesulfonate_1+23 (recovery)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs methyl methanesulfonate_1+23 (recovery)h,Zeocin_24h vs methyl methanesulfonate_1+23 (recovery)h,Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h vs Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h,Zeocin_24h vs Methyl methanesulfonate+PARP inhibitor_48PI+1+23(MMS)h,Zeocin_24h_9 vs Radiation Ionizing Radiotherapy_8 Gy (sample extraction after 48 hours)h
compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
4-Methyl-2-oxovaleric acid,0.894855185,0.942457227,0.895122052,1.072001001,0.940313212,1.179897379,0.739057905,0.943835968,1.053195246,1.000298223,1.197960317,1.050799311,1.318534438,0.825896656,1.054735989,0.949774723,1.137453213,0.99772508,1.251937324,0.784181906,1.001462922,1.197603164,1.050486032,1.318141338,0.825650428,1.054421536,0.877157028,1.100649512,0.689419044,0.880443178,1.254791875,0.785969925,1.003746365,0.626374732,0.799930558,1.277079864
3-Methyl-2-oxovaleric acid,1.058803453,0.906757335,0.894036015,0.983150316,0.813428328,0.849353236,0.6462378,0.919722409,0.856398166,0.844383358,0.928548461,0.768252433,0.802182156,0.610347273,0.868643191,0.985970535,1.084248539,0.897073888,0.936692986,0.712691009,1.014298284,1.09967641,0.909838434,0.950021276,0.722831954,1.028730827,0.827369238,0.863909844,0.657313322,0.935485037,1.04416481,0.794461882,1.130674182,0.760858701,1.082850303,1.423195005
L-alanine,1.108088254,0.929784217,0.751859764,0.682100018,0.606058337,0.184857358,0.679548216,0.872122465,0.839088595,0.678519749,0.615564704,0.546940494,0.166825483,0.613261817,0.787051448,0.808638983,0.733611095,0.651826871,0.198817484,0.730866586,0.937983727,0.907217078,0.806078961,0.245866806,0.903823092,1.159953633,0.888518284,0.2710121,0.996258904,1.278584433,0.305015783,1.121258755,1.439007454,3.676067983,4.717813089,1.283385702
adenosine 5'-monophosphate,3.73183142,1.873253773,0.848561144,2.180999393,1.423854726,1.033220751,1.60696421,2.39929256,0.501966344,0.22738464,0.584431382,0.381543153,0.276866941,0.430610076,0.642926298,0.45298782,1.164283998,0.760097082,0.551564751,0.857846509,1.280815549,2.570232456,1.677963617,1.217614969,1.89375182,2.827483414,0.652845081,0.473737294,0.736801769,1.100088596,0.7256504,1.128601241,1.685068369,1.555296105,2.322149025,1.493059114
L-asparagine,0.635249365,1.314492788,0.534144267,0.553347066,1.145910226,0.685377825,0.513627954,1.393904096,2.069254785,0.840841876,0.871070632,1.803874651,1.078911468,0.808545403,2.194262872,0.406350094,0.420958617,0.871750866,0.521400978,0.390742314,1.060412129,1.035950584,2.145319712,1.283132417,0.961590314,2.609602275,2.070870701,1.238603884,0.928220253,2.51904127,0.598107783,0.448227044,1.21641649,0.74940848,2.033774722,2.713840018
L-aspartic acid,0.631317074,1.359073013,0.78394451,0.639713998,1.235054771,0.662509972,1.065297876,1.352963066,2.152758209,1.241760349,1.013300644,1.95631454,1.049409243,1.687421297,2.143080112,0.576822954,0.470698771,0.908747918,0.48747195,0.783841534,0.995504327,0.816019488,1.575436469,0.845098044,1.358894491,1.725840347,1.93063584,1.035634635,1.665272106,2.114949916,0.536421532,0.86255112,1.095468069,1.607972589,2.042177661,1.270032632
Adenosine triphosphate,0.655409147,1.128016046,0.803059849,0.737828104,0.764270806,0.675085906,0.98542453,1.0815534,1.721086821,1.225280197,1.125751917,1.166097253,1.030022099,1.50352575,1.650195766,0.711922363,0.654093624,0.677535403,0.5984719,0.87359088,0.958810297,0.918771004,0.951698441,0.840642085,1.227087285,1.346790531,1.035838568,0.914963665,1.335574675,1.465860943,0.8833072,1.289365657,1.415144202,1.459702419,1.602097438,1.097550718
choline,0.666857906,1.463167481,1.078675623,1.303465951,1.476198655,1.583794751,1.060992518,1.473451467,2.194121819,1.617549426,1.954638221,2.213662973,2.375010833,1.591032376,2.209543374,0.737219516,0.890852187,1.008906139,1.082442558,0.72513402,1.007028578,1.208394742,1.368528799,1.468277133,0.983606652,1.365981984,1.132518002,1.215064152,0.813977931,1.1304104,1.072887274,0.718732885,0.998139012,0.669905313,0.930329809,1.388748216
creatine,0.88545737,1.045618849,0.798279642,0.922897186,1.45572093,1.195317788,0.650914735,1.024292283,1.180879943,0.901544974,1.042283026,1.644032767,1.349943914,0.735116966,1.156794576,0.763451847,0.882632508,1.392209916,1.143167789,0.62251626,0.979603881,1.156107632,1.82357266,1.497367245,0.815396887,1.283124646,1.577338138,1.295179794,0.705294961,1.10986608,0.821117402,0.447142527,0.703632311,0.544553709,0.856920472,1.57361975
phosphocreatine,0.809971915,1.061042869,0.946242914,0.93499867,1.141236511,1.355759193,0.772504089,1.200060396,1.309974888,1.168241634,1.154359371,1.408982817,1.673834818,0.95374182,1.481607415,0.891804602,0.881207251,1.075580021,1.277760996,0.728061147,1.131019708,0.988116958,1.206071395,1.432781343,0.816390883,1.268237128,1.220575545,1.450011895,0.826208756,1.28348888,1.187973904,0.676900959,1.051543991,0.569794468,0.885157483,1.553468018
fumaric acid,0.481415491,1.216556105,0.655920326,0.603442797,1.352134585,0.692569169,0.61823201,1.380535334,2.527039798,1.3624828,1.253476067,2.808664471,1.438610062,1.284196338,2.867658727,0.539161592,0.496025456,1.111444494,0.569286666,0.508182079,1.134789697,0.919994049,2.06143114,1.055873925,0.942541321,2.104730223,2.240700516,1.147696473,1.024508063,2.287765041,0.512204315,0.457226682,1.02100438,0.892664643,1.993353726,2.233037615
L-glutamic acid,1.147350232,0.775230735,1.012244521,1.018201207,0.822700843,0.827735346,0.988896259,0.651338584,0.675670527,0.88224545,0.887437139,0.717044213,0.721432152,0.861895724,0.567689417,1.305733216,1.313416975,1.061233521,1.067727721,1.275615392,0.84018674,1.005884632,0.81274912,0.817722723,0.976934168,0.643459728,0.80799437,0.812938877,0.971218902,0.639695356,1.006119482,1.202011967,0.79170769,1.194701015,0.786892317,0.658652087
L-glutamine,0.705407362,1.309443839,0.842627915,0.875583149,1.009733302,0.8689302,0.910648156,1.477130721,1.856294546,1.194526681,1.2412447,1.431418719,1.231813342,1.290953576,2.094010924,0.643500615,0.668667966,0.771116158,0.663587222,0.695446517,1.128059622,1.039110067,1.198314564,1.03121459,1.080723935,1.753004731,1.153212352,0.992401693,1.040047604,1.687025068,0.860554166,0.901869983,1.462891952,1.048010711,1.699941747,1.622065241
glutathione,0.730874648,1.199393373,0.807500476,0.859172159,1.635023603,1.676533553,0.765391836,1.137015121,1.641038415,1.104841273,1.175539693,2.237078011,2.293872907,1.047227235,1.555691013,0.67325741,0.716338925,1.363208802,1.397817922,0.638149129,0.947991832,1.063989663,2.024795838,2.076201319,0.947853109,1.408067432,1.903022096,1.951335987,0.890848043,1.323384504,1.025387982,0.468122806,0.695412053,0.45653237,0.678194075,1.48553338
glycine,1.308211708,0.99512776,1.2333008,1.128050093,0.915036345,0.973994312,1.522352213,1.073174976,0.760677919,0.942737932,0.862284052,0.69945586,0.744523464,1.163689488,0.820337388,1.239339158,1.133573133,0.91951645,0.978763081,1.529805794,1.078429342,0.914659338,0.741940932,0.78974595,1.234372193,0.870164826,0.811166411,0.863431791,1.349543095,0.951354007,1.064432378,1.663706826,1.17282224,1.562999079,1.101828791,0.70494526
l-isoleucine,0.557635999,1.434799244,1.008331528,0.809488658,1.287064667,1.011792866,1.361285888,1.374204942,2.573003262,1.808225311,1.451643473,2.308073133,1.814432476,2.4411729,2.464340439,0.702768371,0.564182523,0.89703467,0.705180791,0.948764013,0.957768097,0.802800107,1.276430055,1.003432738,1.350038009,1.362850317,1.589972452,1.24991605,1.681661472,1.697620996,0.786124343,1.057667049,1.06770466,1.345419536,1.358188013,1.009490331
L-Lactic acid,0.993652063,0.983911972,0.799538317,0.768515456,0.693122982,0.46862641,0.600627911,1.030670962,0.990197685,0.804646161,0.77342511,0.697550992,0.471620226,0.604465017,1.037255394,0.812611636,0.781081517,0.704456295,0.47628896,0.610448829,1.04752355,0.961199031,0.866904021,0.586121265,0.75121842,1.289082637,0.901898559,0.609781374,0.781543047,1.341119368,0.676108602,0.866553161,1.486995798,1.281677469,2.199344595,1.715989122
L-leucine,0.50329396,1.484926321,0.906935528,0.776409632,1.341384099,1.044330603,1.172679497,1.406659519,2.950415538,1.801999624,1.542656365,2.665210006,2.074991328,2.330009078,2.794906416,0.610761298,0.522860711,0.903333775,0.703287825,0.789722345,0.947292468,0.856080292,1.479029168,1.151493763,1.293013076,1.551002774,1.727675759,1.345076827,1.510387621,1.811749188,0.778547028,0.874230951,1.048662736,1.122900634,1.346948481,1.199525977
L-lysine,0.737174967,1.105924728,0.74731049,0.68925512,0.869450672,0.55335806,0.766565848,1.070581998,1.500220133,1.013749142,0.934995287,1.179435969,0.750646841,1.039869612,1.452276658,0.675733593,0.623238728,0.786175271,0.500357797,0.693144685,0.968042373,0.922314258,1.163439673,0.740466068,1.025766208,1.432579914,1.261435202,0.802834892,1.112165619,1.553244897,0.636445606,0.881666864,1.231331497,1.385298061,1.934700288,1.396594958
L-methionine,0.916072541,1.087564869,1.015926194,0.875982891,0.979007743,0.824698717,1.2845501,0.996408096,1.187203873,1.109001907,0.956237473,1.068701112,0.900254816,1.402236223,1.087695627,0.934129286,0.805453465,0.90018331,0.758298416,1.181125041,0.91618268,0.862250522,0.963660302,0.811770305,1.264412816,0.980787878,1.117610575,0.941455278,1.466410032,1.13747438,0.842382221,1.312093913,1.017773458,1.557599247,1.208208617,0.775686442
