,Negative Control_no dose_24h vs Negative Control_no dose_0h,Negative Control_no dose_48h vs Negative Control_no dose_0h,Negative Control_medium dose_72h vs Negative Control_no dose_0h,docetaxel anhydrous_medium dose_24h vs Negative Control_no dose_0h,docetaxel anhydrous_medium dose_48h vs Negative Control_no dose_0h,doxorubicin_medium dose_24h vs Negative Control_no dose_0h,doxorubicin_medium dose_48 vs Negative Control_no dose_0h,menaquinone_medium dose_24h vs Negative Control_no dose_0h,menaquinone_medium dose_48h vs Negative Control_no dose_0h,menaquinone_medium dose_72h vs Negative Control_no dose_0h,Negative Control_no dose_48h vs Negative Control_no dose_24h,Negative Control_medium dose_72h vs Negative Control_no dose_24h,docetaxel anhydrous_medium dose_24h vs Negative Control_no dose_24h,docetaxel anhydrous_medium dose_48h vs Negative Control_no dose_24h,doxorubicin_medium dose_24h vs Negative Control_no dose_24h,doxorubicin_medium dose_48 vs Negative Control_no dose_24h,menaquinone_medium dose_24h vs Negative Control_no dose_24h,menaquinone_medium dose_48h vs Negative Control_no dose_24h,menaquinone_medium dose_72h vs Negative Control_no dose_24h,Negative Control_medium dose_72h vs Negative Control_no dose_48h,docetaxel anhydrous_medium dose_24h vs Negative Control_no dose_48h,docetaxel anhydrous_medium dose_48h vs Negative Control_no dose_48h,doxorubicin_medium dose_24h vs Negative Control_no dose_48h,doxorubicin_medium dose_48 vs Negative Control_no dose_48h,menaquinone_medium dose_24h vs Negative Control_no dose_48h,menaquinone_medium dose_48h vs Negative Control_no dose_48h,menaquinone_medium dose_72h vs Negative Control_no dose_48h,docetaxel anhydrous_medium dose_24h vs Negative Control_medium dose_72h,docetaxel anhydrous_medium dose_48h vs Negative Control_medium dose_72h,doxorubicin_medium dose_24h vs Negative Control_medium dose_72h,doxorubicin_medium dose_48 vs Negative Control_medium dose_72h,menaquinone_medium dose_24h vs Negative Control_medium dose_72h,menaquinone_medium dose_48h vs Negative Control_medium dose_72h,menaquinone_medium dose_72h vs Negative Control_medium dose_72h,docetaxel anhydrous_medium dose_48h vs docetaxel anhydrous_medium dose_24h,doxorubicin_medium dose_24h vs docetaxel anhydrous_medium dose_24h,doxorubicin_medium dose_48 vs docetaxel anhydrous_medium dose_24h,menaquinone_medium dose_24h vs docetaxel anhydrous_medium dose_24h,menaquinone_medium dose_48h vs docetaxel anhydrous_medium dose_24h,menaquinone_medium dose_72h vs docetaxel anhydrous_medium dose_24h,doxorubicin_medium dose_24h vs docetaxel anhydrous_medium dose_48h,doxorubicin_medium dose_48 vs docetaxel anhydrous_medium dose_48h,menaquinone_medium dose_24h vs docetaxel anhydrous_medium dose_48h,menaquinone_medium dose_48h vs docetaxel anhydrous_medium dose_48h,menaquinone_medium dose_72h vs docetaxel anhydrous_medium dose_48h,doxorubicin_medium dose_48 vs doxorubicin_medium dose_24h,menaquinone_medium dose_24h vs doxorubicin_medium dose_24h,menaquinone_medium dose_48h vs doxorubicin_medium dose_24h,menaquinone_medium dose_72h vs doxorubicin_medium dose_24h,menaquinone_medium dose_24h vs doxorubicin_medium dose_48,menaquinone_medium dose_48h vs doxorubicin_medium dose_48,menaquinone_medium dose_72h vs doxorubicin_medium dose_48,menaquinone_medium dose_48h vs menaquinone_medium dose_24h,menaquinone_medium dose_72h vs menaquinone_medium dose_24h,menaquinone_medium dose_72h vs menaquinone_medium dose_48h
compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
1-(4-Bromobutyl)-2-piperidinone,0.759526816,0.795343327,0.808501293,0.975334255,0.865036005,1.715139863,0.593445193,0.715756288,1.377614822,0.952312362,1.047156349,1.064480248,1.284134062,1.13891437,2.258168939,0.781335406,0.94237132,1.813780361,1.253823225,1.016543757,1.226305951,1.087625903,2.156477341,0.74614971,0.899933731,1.732100811,1.197360095,1.206348417,1.06992532,2.121381718,0.734006486,0.885287746,1.70391171,1.17787364,0.886912359,1.758514944,0.608453143,0.733857428,1.412454053,0.976395894,1.982738122,0.686035252,0.827429476,1.592552003,1.100893323,0.346003965,0.417316572,0.803208445,0.555238895,1.206103438,2.321385087,1.6047183,1.924698176,1.330498073,0.691276216
"1,2,4-Butanetriol",0.435796478,0.596418524,0.49410929,0.732111087,1.650955185,0.637945066,1.430755199,0.758763549,1.018454274,0.666114769,1.368571236,1.133807444,1.679938054,3.788362848,1.463860079,3.283081147,1.741096104,2.336995194,1.528499662,0.828460671,1.227512321,2.768115205,1.069626513,2.398911405,1.272199837,1.70761677,1.116857948,1.481678448,3.341275335,1.291101136,2.89562497,1.535618868,2.061192318,1.348112213,2.255061035,0.871377415,1.954287027,1.036404943,1.391119862,0.909854776,0.386409681,0.866622675,0.459590639,0.616887898,0.40347235,2.242756117,1.18938697,1.596460773,1.044156941,0.53032381,0.71182986,0.465568651,1.34225514,0.877895056,0.654044846
1-Butylamine,1.641804848,0.912472024,1.112527647,2.362428591,1.920613224,2.115784064,1.822472836,1.981343148,1.906112893,0.899385631,0.555773742,0.677624779,1.438921681,1.169818219,1.288694005,1.110042304,1.206807953,1.160986274,0.547803006,1.219245761,2.589042217,2.104846147,2.318738557,1.99729174,2.171401529,2.088954886,0.985658308,2.123478547,1.726351007,1.901781111,1.638137121,1.780938347,1.713317326,0.808416432,0.812982551,0.895597045,0.771440391,0.838689117,0.80684466,0.380703838,1.101619024,0.948901535,1.03162007,0.992450156,0.468280453,0.861369961,0.936458111,0.900901432,0.425083848,1.087172938,1.045893719,0.493497414,0.962030678,0.453927242,0.471842793
1-Iodo-2-methylundecane,1.364927794,2.487810939,1.248117785,1.072930277,1.170579598,1.575220649,1.296229188,1.204365731,1.373040363,1.483379265,1.822668533,0.914420375,0.786071089,0.857612837,1.15406885,0.949668688,0.882365892,1.005943589,1.086782225,0.501693182,0.431274845,0.470525947,0.633175385,0.521032032,0.484106614,0.551907037,0.59625884,0.859638641,0.937875905,1.262076919,1.038547165,0.964945573,1.100088773,1.188493011,1.091011805,1.468148195,1.208120617,1.122501393,1.279710707,1.382549544,1.345675811,1.107339638,1.028862739,1.172957709,1.267217768,0.822887377,0.764569542,0.871649546,0.941696178,0.929130236,1.059257403,1.144380391,1.140052667,1.231668443,1.080361004
"1-Nonene, 4,6,8-trimethyl-",1.510387179,0.000310863,0.786395008,2.660613544,2.179265939,1.401448217,2.23043027,1.749786624,1.301592259,1.686839188,0.000205817,0.520657894,1.761544047,1.442852514,0.927873486,1.476727491,1.158502037,0.861760664,1.11682568,2529.714286,8558.793003,7010.370262,4508.247813,7174.95821,5628.8,4187.026239,5426.30758,3.383304214,2.771210291,1.782117387,2.836272163,2.225073413,1.655137998,2.145027844,0.819083983,0.526738737,0.838314259,0.657662827,0.48920756,0.634003834,0.643082697,1.023477782,0.80292478,0.597261783,0.774040083,1.591518148,1.248556032,0.928748022,1.20364004,0.784506311,0.583561063,0.756284207,0.743857703,0.96402565,1.295981269
"2,2'-[Oxybis(2,1-ethanediyloxy)]diethanol",0.776133248,0.495023903,0.320893813,1.021415696,1.143099491,0.884712212,1.089898041,0.795998679,0.610222125,0.828694015,0.637807882,0.41345196,1.316031362,1.472813455,1.139897323,1.404266656,1.025595387,0.786233712,1.067721319,0.648239026,2.063366413,2.309180391,1.787211095,2.201707905,1.60800049,1.232712443,1.674048485,3.18303331,3.562235995,2.757024837,3.396444547,2.480567238,1.901632567,2.582455572,1.11913249,0.866162735,1.067046498,0.77930923,0.597427793,0.811319053,0.773959064,0.953458601,0.69635118,0.533831158,0.724953534,1.231923812,0.899726112,0.689740818,0.936682012,0.730342334,0.559889184,0.760340861,0.766611982,1.041074611,1.35802027
"2,4,4-Trimethyl-1,3-pentanediyl bis(2-methylpropanoate)",1.615400323,0.38495052,1.103615536,1.32090781,0.925792598,1.280108427,0.89443936,1.563257491,1.078607786,0.965410996,0.238300386,0.683183927,0.817696884,0.573104131,0.792440369,0.553695172,0.967721418,0.667703089,0.597629568,2.866902312,3.431370374,2.404965184,3.32538433,2.323517734,4.060930975,2.801938768,2.507883341,1.196891279,0.838872386,1.159922442,0.81046282,1.416487391,0.977340161,0.874771118,0.700876012,0.969112619,0.677139883,1.183472063,0.81656553,0.730869323,1.382716204,0.966133626,1.688561233,1.165064171,1.042794032,0.698721562,1.221191469,0.842590958,0.754163457,1.747751229,1.205903758,1.079347622,0.689974487,0.617563647,0.895052872
"2,6,10,15-tetramethylheptadecane",1.14630488,1.282707701,1.151391689,1.117017231,0.930437282,1.511637804,1.017782116,1.051178478,1.071301754,0.979313819,1.118993492,1.004437571,0.974450384,0.811683958,1.318704849,0.887880819,0.917014746,0.934569653,0.854322297,0.897625927,0.87082757,0.725369686,1.1784741,0.793463792,0.819499623,0.835187747,0.763473875,0.970145296,0.808097966,1.312878856,0.883958192,0.912963406,0.930440756,0.850547931,0.832965917,1.35328065,0.911160623,0.941058427,0.959073616,0.876722213,1.624653089,1.093875037,1.129768227,1.151395989,1.052530716,0.673297607,0.69539044,0.708702674,0.647849515,1.032812879,1.052584573,0.962203799,1.019143539,0.931634198,0.91413443
2-[2-[2-(2-Methoxyethoxy)ethoxy]ethoxy]ethoxy-trimethylsilane,0.575256374,0.471461641,1.707797373,0.912325098,1.527262617,NA,0.622239342,0.649510409,1.356002035,0.734776866,0.819567869,2.968758712,1.585945222,2.654925151,NA,1.081673093,1.1290799,2.357213402,1.277303302,3.62234639,1.935099315,3.239420738,NA,1.319809053,1.377652715,2.876166198,1.55850827,0.53421156,0.894287953,NA,0.364351973,0.380320534,0.794006395,0.430248271,1.674033324,NA,0.682036856,0.711928687,1.486314515,0.805389293,NA,0.407421314,0.425277488,0.887864353,0.481107085,NA,NA,NA,NA,1.043827296,2.179229027,1.180858902,2.087729489,1.131278045,0.541870032
