,Stage II Colorectal Cancer_female vs Healthy Control_female,Stage III Colorectal Cancer_female vs Healthy Control_female,Stage IV Colorectal Cancer_chemotherapy_female vs Healthy Control_female,Stage IV Colorectal Cancer_female vs Healthy Control_female,Stage III Colorectal Cancer_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_chemotherapy_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage II Colorectal Cancer_female,Stage IV Colorectal Cancer_chemotherapy_female vs Stage III Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage III Colorectal Cancer_female,Stage IV Colorectal Cancer_female vs Stage IV Colorectal Cancer_chemotherapy_female,Stage II Colorectal Cancer_male vs Healthy Control_male,Stage III Colorectal Cancer_male vs Healthy Control_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Healthy Control_male,Stage IV Colorectal Cancer_male vs Healthy Control_male,Stage III Colorectal Cancer_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage II Colorectal Cancer_male,Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male vs Stage III Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage III Colorectal Cancer_male,Stage IV Colorectal Cancer_male vs Stage IV Colorectal Cancer_chemotherapy and radiation therapy_male
metabolite_identification,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
caprylic acid,0.839478368,0.50721172,0.422680722,0.140893172,0.604198678,0.503504007,0.16783419,0.833341788,0.277779803,0.333332382,0,0.862452646,0.184811428,1.476823759,NA,NA,NA,0.214285884,1.712353444,7.990976405
decanoic acid,0.083071347,0.034687215,0.026682473,0.00667062,0.417559314,0.321199473,0.080299893,0.769230769,0.192307753,0.250000078,0,0.189888719,0.284833079,1.063376935,NA,NA,NA,1.5,5.600000565,3.73333371
undecanoic acid,0.081128543,0.093388665,0.266824754,0.295724818,1.151119708,3.288913408,3.645138998,2.857142819,3.166602892,1.108311027,0,1.172398917,0.671462852,1.716650635,NA,NA,NA,0.572725582,1.464220591,2.556583183
dodecanoic acid,0.648974393,0.329528539,0.580343818,0.042247247,0.507768169,0.894247637,0.06509848,1.761133705,0.128205122,0.072796927,0,0.848556442,1.260543864,1.222245456,NA,NA,NA,1.485515639,1.440382037,0.969617552
d25-tridecanoic acid,490.299537,497.2158858,556.0101427,175.7006548,1.014106374,1.13402135,0.358353703,1.11824694,0.353368949,0.316002607,0.793246828,0.93163597,1.235309392,1.241311661,1.174459118,1.557282486,1.564849196,1.325957168,1.332399887,1.004858919
tridecanoic acid,1.47444895,1.188514834,2.101593204,0.323225778,0.806073912,1.42534145,0.219218019,1.768251556,0.271957715,0.153800354,0,0.886676181,1.644027152,1.884172482,NA,NA,NA,1.854146065,2.124983757,1.146071389
myristic acid,15.5494526,10.9319315,22.28675673,8.424953201,0.703042852,1.433282399,0.541816707,2.038684264,0.770673801,0.378025089,1.058678162,1.022771096,0.898714982,1.654106124,0.966083115,0.848902919,1.562425848,0.878705886,1.617278911,1.840523589
myristoleic acid,3.136226905,1.205088395,1.280758751,0.602579245,0.384247834,0.408375666,0.192135092,1.062792369,0.500029083,0.470486143,0.337891699,0.744549505,1.648089157,1.214864977,2.203515229,4.877566274,3.595427112,2.213538718,1.631677905,0.737135471
pentadecanoic acid,4.162669046,3.915605515,7.049852541,2.359490012,0.940647808,1.693589489,0.566821428,1.800450151,0.602586242,0.334686435,0.234540089,1.019391075,1.258464229,1.702797246,4.346340438,5.365667899,7.260154332,1.234525453,1.670406273,1.353075604
cis-10-pentadecenoic acid,5.949540417,1.080575838,1.534242055,0.597700818,0.181623413,0.257875726,0.100461679,1.419837462,0.553131763,0.389574002,0.384899941,0.762021832,1.582414697,1.284640872,1.979792023,4.111236529,3.337596958,2.07660021,1.685832108,0.811823142
palmitic acid,1062.406881,1048.946453,1232.335732,489.508763,0.987330251,1.159947055,0.460754511,1.174831879,0.466667065,0.397220295,1.149203491,0.986890679,1.057553088,1.325629321,0.8587606,0.92024876,1.153520096,1.07160105,1.343238263,1.253487259
palmitoleic acid,25.05606248,25.85590953,14.58383228,9.456914374,1.031922296,0.582048049,0.377430188,0.564042517,0.365754466,0.648451943,1.67739273,0.770312989,0.680111344,1.222966767,0.45923234,0.405457429,0.729087915,0.882902603,1.587623193,1.798186104
heptadecanoic acid,0.084494502,0.053698052,0.033353097,0.020011857,0.635521255,0.394736897,0.236842118,0.621123045,0.372673796,0.59999995,1.394366179,0.800469497,1.772007046,1.580281669,0.574074091,1.270833353,1.133333333,2.213709644,1.974193489,0.891803265
cis-10-heptadecenoic acid,2.339332019,1.882351803,2.101244988,0.945004285,0.804653545,0.898224353,0.403963301,1.116287075,0.50203383,0.449735414,1.284210596,0.923277597,1.054047595,1.436642938,0.718945631,0.820774723,1.11869731,1.141636707,1.556024909,1.362977293
stearic acid,451.6534186,663.7596086,675.1553034,590.5838487,1.469621575,1.494852636,1.307604071,1.017168407,0.88975563,0.874737776,0.70018281,1.345164217,0.85987655,1.034439975,1.921161442,1.22807435,1.477385562,0.639235373,0.769006462,1.203009868
elaidic acid,162.9056594,158.7453857,179.589447,90.90181585,0.974462068,1.1024138,0.558002811,1.13130499,0.572626508,0.506164574,1.316447382,0.993305287,1.031461975,1.500321174,0.754534743,0.783519333,1.139674243,1.038413857,1.51043309,1.45455791
oleic acid,445.0728219,428.5123023,479.4547134,247.6085816,0.962791438,1.077250036,0.556332738,1.118882027,0.577833076,0.516437892,1.384873337,0.98252523,1.018106757,1.439933594,0.709469382,0.735162364,1.039758334,1.036214364,1.465543631,1.41432476
linolelaidic acid,0.680337318,0.244144644,0.853839147,0.317966159,0.358858227,1.255023243,0.467365453,3.497267578,1.302367949,0.372395855,0.263022309,0.251236781,0.323846186,0.359433611,0.95519191,1.231249878,1.366551804,1.289007859,1.430656804,1.1098899
linoleic acid,87.1411041,71.94704666,99.73381319,48.36864613,0.825638456,1.144509405,0.555061204,1.386211357,0.67228119,0.484977407,1.072430019,1.210443509,1.216507672,1.570934856,1.128692305,1.134346904,1.464836706,1.005009868,1.297817572,1.291348088
gamma-linolenic acid,0.741069393,0.655460921,1.324537635,0.610284817,0.884479817,1.787332804,0.823519124,2.020772853,0.93107735,0.460753097,1.236953873,0.699856119,0.89455847,1.108079221,0.56578999,0.723194688,0.895812887,1.278203399,1.583295753,1.238688423
linolenic acid,5.188961005,3.63706958,6.189982879,2.448728525,0.700924439,1.19291374,0.471911144,1.701914891,0.67326964,0.395595363,1.715621894,1.101581743,1.109390348,1.313591616,0.642088882,0.646640354,0.765664987,1.007088539,1.192459501,1.184066202
eicosanoic acid,17.52890326,17.01149254,20.46714338,9.040834329,0.970482425,1.167622587,0.515767256,1.203136252,0.531454504,0.441724288,1.043658404,1.042387662,1.160357949,1.366236221,0.998782416,1.11181776,1.309083715,1.113173142,1.310679577,1.177426519
cis-11-eicosenoic acid,1.738146565,1.365571309,1.726574306,0.591461576,0.785647964,0.993342185,0.340282913,1.264360414,0.433123903,0.342563638,1.789587592,1.151726452,1.193618294,1.503220856,0.643570875,0.666979532,0.839981715,1.036373083,1.305189138,1.259381548
"cis, 11,14-eicosadienoic acid",2.561733858,1.515055105,1.925337734,0.903943495,0.59141784,0.751576018,0.352863937,1.270803766,0.596640671,0.469498665,1.125298968,1.141897081,1.097942308,1.503824512,1.014749958,0.97568943,1.336377758,0.961507238,1.31695276,1.369675347
