,a1 vs a0,b0 vs a0,b1 vs a0,c0 vs a0,c1 vs a0,d0 vs a0,d1 vs a0,e vs a0,b0 vs a1,b1 vs a1,c0 vs a1,c1 vs a1,d0 vs a1,d1 vs a1,e vs a1,b1 vs b0,c0 vs b0,c1 vs b0,d0 vs b0,d1 vs b0,e vs b0,c0 vs b1,c1 vs b1,d0 vs b1,d1 vs b1,e vs b1,c1 vs c0,d0 vs c0,d1 vs c0,e vs c0,d0 vs c1,d1 vs c1,e vs c1,d1 vs d0,e vs d0,e vs d1
L-leucine,0.899430444,0.822355927,0.94942071,0.853201623,0.973545457,0.784488509,0.859975783,1.396724204,0.914307418,1.055579914,0.948602116,1.082402162,0.872205866,0.956133728,1.552898519,1.154513124,1.037508936,1.183849262,0.95395252,1.04574644,1.698442436,0.898654951,1.025409965,0.826281227,0.905789998,1.471133069,1.141049702,0.91946439,1.007939695,1.637038851,0.805805731,0.883344251,1.434677953,1.096224831,1.780426593,1.624143646
L-isoleucine,0.902624473,0.883113717,1.052214661,0.887556364,1.007837121,0.889159834,0.917075432,1.122247677,0.978384415,1.165728043,0.983306336,1.116563035,0.98508279,1.016009935,1.243316252,1.191482637,1.005030661,1.141231419,1.006846363,1.038456786,1.270785013,0.843512638,0.957824633,0.845036538,0.871566864,1.066557727,1.135519008,1.001806613,1.03325881,1.264424123,0.882245569,0.90994409,1.113520879,1.031395478,1.262143918,1.223724502
L-valine,0.91667203,0.91247796,1.038456781,0.930381149,0.985745163,0.930793594,0.927428409,1.068131052,0.995424678,1.132855315,1.014955316,1.075352068,1.015405253,1.011734164,1.165227058,1.138062316,1.019620407,1.080294764,1.020072413,1.016384449,1.170582851,0.895926693,0.949240431,0.896323864,0.8930833,1.028575355,1.059506809,1.000443308,0.996826311,1.148057495,0.944253778,0.940839929,1.08357727,0.996384606,1.147548778,1.151712673
L-alanine,0.960297413,0.930919235,0.89448881,0.92710842,0.971918469,0.899591641,0.981187195,1.2151295,0.969407209,0.931470603,0.96543884,1.012101518,0.936784405,1.02175345,1.265367879,0.96086618,0.995906396,1.044041666,0.966347677,1.053998196,1.305300669,1.036467321,1.086563028,1.005704745,1.096925064,1.358462495,1.048333127,0.970319782,1.058330583,1.310666017,0.925583441,1.009536526,1.2502381,1.090702882,1.350756771,1.238427801
acetate,1.195236301,1.128080266,1.13797278,1.308244146,1.358634482,0.933294759,1.199253647,2.481365527,0.943813591,0.952090209,1.094548537,1.136707846,0.780845392,1.003361131,2.076045987,1.008769335,1.159708387,1.204377492,0.827330099,1.06309248,2.199635613,1.149626923,1.193907715,0.820138034,1.053850908,2.180513955,1.038517532,0.713394944,0.916689481,1.896714413,0.686935869,0.882690424,1.826367254,1.28496773,2.658715807,2.0690915
citric acid,0.476822728,0.489177533,0.514948694,0.520445459,0.504473781,0.581001692,0.528619126,0.548676081,1.025910688,1.079958365,1.091486267,1.057990216,1.218485734,1.108628206,1.150691964,1.052682634,1.063919383,1.031269319,1.187711317,1.080628381,1.121629765,1.010674394,0.979658337,1.128271028,1.026547172,1.065496598,0.969311524,1.116354618,1.015705135,1.05424319,1.15169849,1.047862437,1.087620609,0.90984094,0.944362278,1.037942168
L-methionine,0.681442794,0.701829717,0.640501696,0.82343502,0.718250926,0.880107641,0.698139562,0.822371825,1.029917292,0.939919978,1.208369987,1.054014999,1.29153562,1.024502083,1.206809776,0.91261695,1.173268958,1.023397711,1.254018774,0.994742093,1.171754067,1.285609431,1.121388016,1.37409104,1.089988624,1.28394949,0.872261816,1.068824643,0.847838074,0.998708829,1.225348426,0.971999529,1.144964518,0.793243382,0.934399142,1.177947606
glycine,0.861172545,0.835199983,0.817246945,0.893514501,0.923116148,0.866671919,0.956654891,1.305012345,0.969840467,0.948993265,1.037555721,1.071929375,1.006385914,1.110874815,1.515390095,0.978504504,1.069821024,1.10526361,1.037681916,1.145420152,1.562514813,1.093322534,1.129543712,1.060477404,1.170582401,1.596839673,1.033129454,0.969958426,1.070665211,1.460538518,0.938854683,1.036332095,1.4137033,1.103825878,1.50577435,1.364141193
creatine,1.1745126,0.99599623,1.096898238,1.023988069,0.968190975,0.888040635,0.963153507,1.159760375,0.848008127,0.933917813,0.871840855,0.82433426,0.756092898,0.820045274,0.987439705,1.101307621,1.028104363,0.972082972,0.891610439,0.967025254,1.164422455,0.933530599,0.882662531,0.809592544,0.878070065,1.057308996,0.945510016,0.867237287,0.940590556,1.132591688,0.917216394,0.99479703,1.197863236,1.084582697,1.305976696,1.204128279
creatinine,0.881249768,1.00088775,1.07901368,1.021229349,0.900558423,1.050308456,1.033474528,1.116896999,1.135759449,1.224413009,1.158842119,1.021910536,1.191839696,1.172737362,1.267401183,1.078056635,1.020323556,0.899759661,1.049376871,1.032557874,1.115906352,0.946447082,0.834612609,0.973396793,0.957795575,1.035109211,0.881837585,1.02847461,1.011990626,1.093678908,1.16628575,1.147592984,1.240227142,0.983972396,1.063399035,1.080720394
