,MDA-MB-231 cell(231-Par) vs MDA-MB-231 cell(231-CSC),MDA-MB-231 cell(231-Rcyclo) vs MDA-MB-231 cell(231-CSC),MDA-MB-231 cell(231-Par) vs MDA-MB-231 cell(231-Rcyclo)
metabolite_identification,ratio,ratio,ratio
Fumaric acid,2.458046097,5.514453748,0.445746072
Tyrosine,0.767862528,2.815652087,0.272712148
Phenylalanine,NA,NA,NA
UDPGs,1.83487744,3.688979724,0.497394287
Formate,0.546315955,1.729639483,0.315855391
NAD+,1.274053052,2.310216451,0.551486443
Adenosine,0.402794642,1.141172759,0.352965525
Glucose,1.058473254,1.43702696,0.736571605
Lactate,1.269647858,2.656412305,0.477955871
Alanine,0.634162287,1.390138271,0.456186482
Valine,1.0049661,1.723753859,0.58301021
Acetate,0.612150251,1.78324465,0.343278894
Myo-inositol,1.986659474,4.904030513,0.405107486
AMP,0.398208537,1.643979589,0.242222312
Glutamine,2.208137337,2.676783583,0.824921877
Glutamate,1.999589535,5.462522038,0.366056104
Histidine,1.441239202,2.965216554,0.486048548
Threonine,NA,NA,NA
Pyroglutamate,1.274053052,2.310216451,0.551486443
Pyruvate,0.402794642,1.141172759,0.352965525
Isoleucine,1.058473254,1.43702696,0.736571605
Leucine,1.269647858,2.656412305,0.477955871
Glycine,0.634162287,1.390138271,0.456186482
Choline,1.0049661,1.723753859,0.58301021
Lysine,0.612150251,1.78324465,0.343278894
O-phosphocholine,1.986659474,4.904030513,0.405107486
Glycerophosphocholine,0.398208537,1.643979589,0.242222312
2-hydroxyisobutyrate,2.208137337,2.676783583,0.824921877
unknown,1.999589535,5.462522038,0.366056104
unknown,1.441239202,2.965216554,0.486048548
unknown,NA,NA,NA
unknown,NA,NA,NA
unknown,NA,NA,NA
unknown,NA,NA,NA
unknown,0.968549712,2.651428254,0.365293577
unknown,0.927031252,2.372520834,0.390736823
unknown,0.986840893,3.088366204,0.319534935
unknown,0.990954368,3.95930882,0.250284687
unknown,NA,NA,NA
unknown,1.547611436,2.846794349,0.543633029
unknown,0.960157753,1.713003491,0.560511265
unknown,NA,NA,NA
