,MB231_Arg-24h vs MB231_Ctrl,MB231_Arg-48h vs MB231_Ctrl,MB231_Arg-48h vs MB231_Arg-24h
metabolite_identification,ratio,ratio,ratio
acetyl-CoA,0.043084265,0.281770238,6.539980128
2-oxoadipic acid,0.257937252,0.980876544,3.802771945
2-oxosuccinamic acid,NA,NA,NA
(R)-3-(4-hydroxyphenyl)lactic acid,1.028893874,1.53208133,1.489056714
5'-S-methyl-5'-thioadenosine,0.864778472,0.637217451,0.736856283
5-oxoproline,0.454608327,NA,NA
arginine,0.019089539,0.019338736,1.013054115
cystathionine,0.037052562,NA,NA
cysteine,NA,NA,NA
cysteic acid,NA,NA,NA
dihydroorotate,0.724866748,0.27747473,0.382794122
"N,N-dimethylglycine",0.380668264,0.563837336,1.48117768
gamma-aminobutyric acid,NA,NA,NA
homocysteine,36.83209388,4.068462674,0.110459717
4-hydroxyproline,0.114795583,0.109310373,0.952217591
methionine,NA,1.194008473,NA
orotate,NA,NA,NA
orotidine 5'-phosphate,NA,NA,NA
orotidine,1.153511291,2.440201315,2.115455075
L-pipecolic acid,1.278067108,1.136410349,0.889163286
5-oxoproline,NA,NA,NA
sarcosine,NA,NA,NA
succinic semialdehyde,NA,NA,NA
3-hydroxy-2-methylpropanoyl-CoA,NA,NA,NA
acetoacetyl-CoA,NA,NA,NA
coenzyme A,NA,NA,NA
(3S)-3-hydroxy-3-methylglutaryl-CoA,NA,NA,NA
acetoacetyl-CoA,NA,NA,NA
propionyl-CoA,NA,NA,NA
succinyl-CoA,NA,NA,NA
ADP,1.113261881,0.818588563,0.735306379
3'-AMP,1.594935371,2.914381452,1.827272444
ATP,0.973396572,0.687173057,0.705953849
creatine,0.339881598,0.252326254,0.742394573
creatinine,0.135752799,0.119614876,0.881122722
glutathione,1.030336635,0.767754629,0.745149306
glutathione disulfide,0.87710699,0.751398829,0.856678647
N-phosphocreatine,0.1590597,0.137110769,0.862008219
5'-deoxyadenosine,1.98161312,0.918084269,0.463301469
2'-deoxyadenosine 5'-monophosphate,NA,NA,NA
dATP,NA,NA,NA
2'-deoxycytidine,1.180062635,0.532988698,0.451661363
dCDP,0.955732852,0.667633869,0.698556995
2'-deoxycytosine 5'-monophosphate,NA,NA,NA
dCTP,0.890635908,NA,NA
2'-deoxyguanosine,4.5833537,1.906490325,0.415959677
dGDP,NA,NA,NA
2'-deoxyguanosine 3'-monophosphate,NA,NA,NA
dGTP,NA,NA,NA
dTMP,NA,NA,NA
dTTP,NA,NA,NA
2'-deoxyuridine,2.413529466,0.833605953,0.345388761
dUTP,NA,NA,NA
L-2-aminobutyrate,0.06752552,0.063106435,0.934556809
2-oxobutanoic acid,NA,NA,NA
O-acetylcarnitine,0.229621386,0.132573439,0.577356671
acetylcholine,0.173148425,0.121692368,0.702821106
carnitine,0.31404095,0.170515283,0.542971492
CDP-choline,2.529820284,2.87584765,1.136779426
CDP-ethanolamine,NA,NA,1.01015409
choline,1.38819857,0.92542071,0.666634248
glycerol,0.247602043,0.306416112,1.237534669
glycerol 1-phosphate,NA,NA,NA
hexadecanoic acid,0.785376133,2.196401205,2.796623317
phosphocholine,1.010171505,1.177393507,1.165538229
O-phosphoethanolamine,5.562110965,14.69959105,2.642807945
3-phosphoglyceric acid,0.491714272,0.792619752,1.611951894
alanine,1.608781213,1.700164958,1.056803091
dihydroxyacetone phosphate,0.318153752,0.361659772,1.136745268
fructose,0.765826672,0.842123102,1.099626237
"keto-D-fructose 1,6-bisphosphate",0.679478209,0.34487226,0.507554556
D-glucose,0.6829254,0.810632753,1.187000444
glyceraldehyde 3-phosphate,0.295005168,0.332914222,1.128503014
glycine,1.706224162,1.690453012,0.990756695
D-hexose phosphate,NA,NA,NA
lactate,0.291708653,0.507605871,1.740112494
phosphoenolpyruvate,0.877644457,0.704602627,0.802833792
3-phosphonatooxypyruvate,NA,NA,NA
O-phospho-L-serine,1.017185788,1.353559939,1.330690966
pyruvate,0.619177026,0.751472855,1.213663981
serine,1.293898435,1.12414899,0.868807751
D-glucitol,0.090431255,NA,NA
UDP-D-glucose,NA,NA,NA
N-acetylhexosamine,0.827956972,0.876745356,1.058926231
N-acetyl-D-glucosamine 6-phosphate,1.6855379,1.593881155,0.945621665
glucosamine,1.037869025,1.05746357,1.018879593
D-glucosamine 6-phosphate,NA,NA,NA
D-glucuronic acid,NA,NA,NA
UDP-N-acetyl-alpha-D-glucosamine,NA,NA,NA
adenosine,3.791390282,1.629134533,0.429693176
adenine,NA,NA,0.86502577
cytidine,2.161677128,0.963810003,0.445862146
CDP,1.271555674,0.853503836,0.671228051
cytidine 5'-monophosphate,NA,NA,NA
CTP,1.011716995,0.63750422,0.630121094
cytosine,1.310559168,0.913254143,0.696843122
guanosine,1.723621303,0.696288641,0.403968459
GDP,0.938224653,0.623642288,0.664704648
guanosine 5'-monophosphate,1.312378271,1.421415632,1.08308379
GTP,NA,NA,0.879039284
inosine,7.548499469,1.47840269,0.195853851
thymidine,0.973873377,0.372867414,0.382870528
thymine,0.504505647,0.258323395,0.512032713
uridine,3.729178762,0.531730951,0.142586608
UDP,0.939809719,1.228123583,1.306778977
UTP,NA,NA,NA
"Glyceric acid 1,3-biphosphate",NA,NA,NA
6-phospho-D-gluconate,NA,NA,NA
L-gluconic acid,0.861289297,0.919572157,1.067669319
hypoxanthine,7.399534709,1.432793903,0.193632973
IMP,1.893243161,0.194344464,0.102651613
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,NA,NA,NA
D-ribose,NA,NA,NA
D-ribose 5-phosphate,1.380911298,0.981742273,0.710937969
sedoheptulose 7-phosphate,0.800990517,NA,NA
3'-UMP,1.044006021,NA,NA
uracil,0.458911114,0.411377922,0.896421791
uric acid,NA,NA,NA
xanthine,0.016431733,0.023136922,1.40806337
2-hydroxyglutaric acid,0.65794921,1.402617127,2.131801521
aconitic acid,0.813274328,0.602565436,0.740912895
3-Oxoglutaric acid,0.454004433,NA,NA
L-asparagine,12.43197832,11.26161012,0.90585825
aspartic acid,2.509938661,1.045970453,0.41673148
citric acid,0.852250144,0.658767128,0.772973912
fumaric acid,0.528194514,0.885464388,1.676398304
L-glutamic acid,0.961500293,1.431670179,1.488996093
L-glutamine,3.003353923,2.11434712,0.703995325
malate,0.500740145,0.842471951,1.682453384
proline,1.196318427,0.848973824,0.709655393
succinic acid,NA,NA,NA
(N(omega)-L-arginino)succinic acid,NA,NA,NA
citrulline,0.039473304,0.186739638,4.730783005
N-carbamoyl-L-aspartic acid,NA,NA,NA
L-ornithine,0.145454897,0.086430939,0.59421127
