,head and neck carcinoma vs control
metabolite_identification,ratio
"Hexane, 3-methyl-",3.983279963
"Pentane, 2,3,3-trimethyl-",9.201720665
Acetone,3.190597352
"2,4-Dimethyl-1-heptene",5.499259431
Ethyl Acetate,11.00468915
Ethanol,0.85775765
"Propanoic acid, ethyl ester",18.42630812
n-Propyl acetate,8.008959991
Acetic acid ethenyl ester,7.209939225
"Octane, 3,3-dimethyl-",3.814247927
"Decane, 4-methyl-",2.019032835
Toluene,2.250420638
1-Propanol,10.05138181
"Propanoic acid, propyl ester",3.262600905
"2,3-Pentanedione",3.258914388
"1-Dodecanol, 3,7,11-trimethyl-",1.542901166
Ethylbenzene,2.746829167
o-Xylene,7.936150575
p-Xylene,1.728455493
"3-Decen-2-ol, (E)-",0.258985117
1-Butanol,4.274176838
Styrene,6.077248024
p-Cymene,2.192831295
o-Cymene,2.202874453
"2-Propanol, 1-chloro-",4.551044366
"2-Butanol, 1-chloro-",3.384697994
"Propane, 1,2,3-trichloro-2-methyl-",1.262446494
"Benzene, 1,3-bis(1,1-dimethylethyl)-",1.661206982
"Benzene, 4-ethenyl-1,2-dimethyl-",1.494525335
"Benzene, 1,4-dichloro-",0.217614172
2-Decanone,17.62174777
Acetic acid,82.06778683
Furfural,1.40529101
3-Furaldehyde,1.434953698
Benzaldehyde,3.705327844
Propanoic acid,2.795950047
"Propane, 1,1,3,3-tetrachloro-2-methyl-",0.998382064
"Propanoic acid, 2-methyl-",45.57853545
"3-Pentenoic acid, 4-methyl-",1.880623953
2-Propenoic acid,1.230852883
"Benzaldehyde, 3-methyl-",2.144774085
"2-Propanol, 1,3-dichloro-",1.464754394
"Pentanoic acid, 4-methyl-",49.46271218
"Butane, 1,2,3,4-tetrachloro-",0.565323157
Phenol,8.795418152
"1,2-Decanediol",0.136837416
p-Cresol,25.74624184
"Phenol, 2,5-bis(1,1-dimethylethyl)-",0.199947116
