,MDA-MB-231 p38 gamma knockdown vs MDA-MB-231,MDA-MB-231 scrambled control vs MDA-MB-231,MDA-MB-231 p38 gamma knockdown vs MDA-MB-231 scrambled control
refmet_name,ratio,ratio,ratio
Arginine,0.721937395,1.027125149,0.70287189
Aspartic acid,1.238244384,1.052538376,1.17643633
Glutamic acid,0.659716428,0.711989663,0.926581468
Leucine,0.834302545,0.985847638,0.846279397
Lysine,0.852285624,0.942110003,0.904656167
Methionine,0.95912476,0.834311977,1.149599653
Phenylalanine,1.051762201,0.992383567,1.059834358
Proline,1.014499376,0.837277673,1.211664193
Threonine,0.950648146,0.990573995,0.959694228
Tyrosine,0.895646476,0.939213213,0.953613581
Valine,1.105689255,0.922378279,1.198737307
1-Methyladenosine,1.435608038,1.216200744,1.180403848
MG 18:1,1.251038214,0.603959209,2.071395213
PC 10:0/10:0,1.150131889,0.77665401,1.480880642
DG 16:0_16:0,1.112198203,3.92836564,0.283119828
"11beta-Hydroxyandrost-4-ene-3,17-dione",0.5427432,0.421265652,1.288363288
12-Hydroxy lauric acid,0.395158427,0.925915326,0.426775987
17alpha-Hydroxyprogesterone,0.322333726,0.476615125,0.676297727
2-Aminophenol,0.907152854,0.789771402,1.148627124
2-Deoxy-glucose,1.091558646,0.426760178,2.557779994
2-Hydroxy-4-(methylthio)butanoic acid,0.678164345,0.680944819,0.995916741
2-Hydroxyphenylacetic acid,0.38475921,0.295890247,1.300344346
2-Methylglutaric acid,0.982314325,0.809817754,1.213006655
Citraconic acid,0.785602124,0.881563488,0.891146394
Deoxyadenosine,0.613346701,0.356625959,1.719859939
dADP,1.28916522,1.182057802,1.090610981
Deoxycytidine,0.828558495,0.844460802,0.981168685
dCDP,0.905289708,1.334141386,0.678556049
Deoxyguanosine,1.103482079,1.235253517,0.893324377
Deoxyguanosine,0.574159369,0.53292432,1.077375056
Deoxyguanosine,5.839395365,2.356373235,2.47812837
dGDP,#DIV/0!,#DIV/0!,1.295413146
dGMP,0.145824598,0.04517695,3.227854022
3-Hydroxymethylglutaric acid,1.128269741,0.815043597,1.384306
3-Hydroxyanthranilic acid,1.830178312,1.121147202,1.632415715
3-Methyladenine,#DIV/0!,#DIV/0!,#DIV/0!
Ureidopropionic acid,1.198011917,0.685361028,1.748001227
"3,3'-Dithiodivaline",0.539502202,0.068964777,7.822865949
"3,5-Diiodothyronine",1.085931518,0.845389537,1.284533898
3'-CMP,1.703531274,1.323737953,1.286909747
4-Acetamidobutanoic acid,1.756654255,2.17805925,0.806522713
4-Acetamidobutanoic acid,1.055626324,0.900918172,1.171722757
P-Aminobenzoic acid,1.997078064,2.569911597,0.777099907
4-Aminobenzoylglutamic acid,0.891808712,0.941808712,0.946910663
4-Aminobenzoylglutamic acid,1.565820344,0.730511277,2.143458142
4-Guanidinobutanoic acid,0.701640198,0.660529585,1.062238867
