,Pancreas tumor vs Normal pancreas,Pancreas tumor vs Normal area of the pancreas with tumor,Normal area of the pancreas with tumor vs Normal pancreas
refmet_name,ratio,ratio,ratio
Ciliatine,NA,NA,NA
"4,5-Dihydroorotic acid",1.545221683,NA,NA
Lactic acid,0.549276709,2.636736263,0.208316894
Arginine,16.94644053,0.573373729,29.55566269
Aspartic acid,4.515309018,1.038678016,4.347169139
Aspartic acid,4.515309018,1.038678016,4.347169139
Glutamic acid,33.54225181,0.569316887,58.91666414
Histidine,NA,NA,NA
Isoleucine,8.245213581,0.970301278,8.497580871
Leucine,8.465254002,0.969447428,8.73204029
Lysine,3.732745567,0.614137243,6.078031592
Methionine,6.582572929,0.83425825,7.890330035
Methionine,NA,NA,NA
Phenylalanine,7.422724971,1.002518988,7.4040742
Proline,17.85237131,0.711049489,25.10707285
Threonine,20.85705841,0.572688068,36.4195791
Tyrosine,13.54654805,0.897227683,15.09822791
Valine,11.33636926,0.834511497,13.58443748
Methionine,3.128138068,0.933061786,3.352551904
Phenylalanine,4.987087244,1.034474362,4.820890133
Tyrosine,NA,0.932103598,NA
Valine,4.622965508,1.00137474,4.616618857
1-Aminocyclopropanecarboxylic acid,0.908029036,NA,NA
1-Hydroxy-2-naphthoate,NA,NA,NA
1-Methyladenosine,0.063360507,NA,NA
1-Methyladenosine,NA,NA,NA
1-Methyl nicotinamide,3.430206192,1.258743342,2.725103742
1-Naphthylamine,NA,NA,NA
MG 18:1,0.037125136,0.134644041,0.275728031
MG 18:1,0.000333117,0.039348838,0.008465748
PC 10:0/10:0,NA,NA,NA
PC 10:0/10:0,NA,NA,NA
DG 16:0_16:0,NA,NA,NA
10-Hydroxydecanoic acid,0.920370213,0.419281881,2.195110864
10-Hydroxydecanoic acid,0.538066725,NA,NA
10-Hydroxydecanoic acid,NA,NA,NA
10-Hydroxydecanoic acid,2.864574341,0.957272954,2.992432127
"11beta-Hydroxyandrost-4-ene-3,17-dione",NA,NA,NA
"11beta-Hydroxyandrost-4-ene-3,17-dione",NA,0.690945876,NA
"11beta-Hydroxyandrost-4-ene-3,17-dione",NA,NA,NA
"11beta-Hydroxyandrost-4-ene-3,17-dione",NA,NA,NA
"11beta-Hydroxyandrost-4-ene-3,17-dione",NA,0.8555839,NA
11-Dehydrocorticosterone,NA,NA,NA
12-Hydroxy lauric acid,1.080148069,0.979210704,1.103080333
12-Hydroxy lauric acid,1.371154096,0.967684198,1.41694377
13S-HpODE,NA,NA,0.241821002
15S-HETE,0.396314063,0.567463896,0.698395202
17alpha-Hydroxyprogesterone,NA,2.040944088,NA
5beta-Dihydrotestosterone,NA,NA,NA
"2,6-Dihydroxypyridine",1.858925681,1.471882356,1.262958057
"2,6-Dihydroxypyridine",NA,NA,NA
2-Aminophenol,NA,NA,NA
2-Aminophenol,NA,NA,NA
Leucodopachrome,NA,0.502152445,NA
2-Deoxy-glucose,4.173906028,3.150918026,1.324663477
2-Deoxy-glucose,NA,NA,NA
