,DCIS_pool.aliquot_no vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs Basal_pool.aliquot_yes,HER2_pool.aliquot_no vs Basal_pool.aliquot_yes,HER2_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumA_pool.aliquot_no vs Basal_pool.aliquot_yes,LumA_pool.aliquot_yes vs Basal_pool.aliquot_yes,LumB_pool.aliquot_no vs Basal_pool.aliquot_yes,LumB_pool.aliquot_yes vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_no vs Basal_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs Basal_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Basal_pool.aliquot_yes,DCIS_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_no,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumA_pool.aliquot_no vs DCIS_pool.aliquot_no,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_no,LumB_pool.aliquot_no vs DCIS_pool.aliquot_no,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_no,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_no,HER2_pool.aliquot_no vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumA_pool.aliquot_yes vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_no vs DCIS_pool.aliquot_yes,LumB_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_no vs DCIS_pool.aliquot_yes,Reduction_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs DCIS_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs DCIS_pool.aliquot_yes,HER2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_no,LumA_pool.aliquot_yes vs HER2_pool.aliquot_no,LumB_pool.aliquot_no vs HER2_pool.aliquot_no,LumB_pool.aliquot_yes vs HER2_pool.aliquot_no,Reduction_pool.aliquot_no vs HER2_pool.aliquot_no,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_no,LumA_pool.aliquot_no vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumB_pool.aliquot_no vs HER2_pool.aliquot_yes,LumB_pool.aliquot_yes vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_no vs HER2_pool.aliquot_yes,Reduction_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs HER2_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs HER2_pool.aliquot_yes,LumA_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_no,LumB_pool.aliquot_yes vs LumA_pool.aliquot_no,Reduction_pool.aliquot_no vs LumA_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_no,LumB_pool.aliquot_no vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_no vs LumA_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumA_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumA_pool.aliquot_yes,LumB_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_no,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_no,Reduction_pool.aliquot_no vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool1_pool.aliquot_yes vs LumB_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs LumB_pool.aliquot_yes,Reduction_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_no,Total.Pool1_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total.Pool2_pool.aliquot_yes vs Reduction_pool.aliquot_yes,Total Pool2_pool aliquot_yes vs Total.Pool1_pool.aliquot.ye
compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
MG 16:0/0:0/0:0,0.526177024,2.414783427,0.782250471,1.717984934,0.283468435,1.436283741,0.452919021,0.722222222,0.271751412,0.720794099,2.993072371,6.82980226,4.589298497,1.48666786,3.265032212,0.538732065,2.729658793,0.860773085,1.372584109,0.516463851,1.36986996,5.688337255,12.98004653,0.323942289,0.711444726,0.117388761,0.594787808,0.187560928,0.299083642,0.112536557,0.298492234,1.239478595,2.828329109,2.196208246,0.362375538,1.836091885,0.578994884,0.923262113,0.34739693,0.921436453,3.826232751,8.730965995,0.165000536,0.836028136,0.263633872,0.420389148,0.158180323,0.41955787,1.742199429,3.975472732,5.066820721,1.597775852,2.547804738,0.958665511,2.542766706,10.55875011,24.09369585,0.315340909,0.502840909,0.189204545,0.501846591,2.083900475,4.755190122,1.594594595,0.6,1.591441442,6.60840511,15.07952183,0.376271186,0.998022599,4.144254052,9.456649283,2.652402403,11.01400852,25.13253638,4.152465141,9.475385921,2.28187007
MG 18:0/0:0/0:0,0.399752832,0.96292482,0.556299348,1.065224854,0.18358483,0.547202197,0.280192242,0.475798146,0.209955372,0.378286989,1.256093375,11.6915551,2.408800495,1.391608272,2.664708711,0.459245851,1.368851333,0.700913713,1.190230833,0.525212971,0.946302212,3.142175048,29.24696002,0.57771836,1.106238859,0.190653336,0.568270945,0.290980392,0.494117647,0.218039216,0.39285205,1.304456328,12.14171123,1.914841098,0.330010866,0.983647023,0.503671706,0.855291577,0.377414378,0.680006171,2.257945079,21.01666152,0.172343735,0.513696423,0.263035772,0.446664518,0.197099581,0.355124073,1.179181437,10.97566871,2.980650406,1.526227642,2.591707317,1.143642276,2.06055691,6.842032519,63.68475609,0.512045169,0.869510665,0.383688833,0.691311167,2.295483061,21.36606023,1.698113208,0.749326146,1.350098015,4.48296986,41.72690517,0.441269841,0.79505772,2.63997114,24.57251082,1.801749509,5.982668411,55.68590582,3.320477336,30.90657471,9.307871003
2-Hydroxybutyric acid,0.62403744,0.981816123,1.166876761,1.099486715,0.779564867,0.764962426,0.671769827,0.604644726,0.619628623,0.665251401,0.858217952,0.855279413,1.573328876,1.869882618,1.761892228,1.249227719,1.225827775,1.076489621,0.968923798,0.992935013,1.066044052,1.375266767,1.370557853,1.188488082,1.119849928,0.794002919,0.779130031,0.684211443,0.615843142,0.631104551,0.677572292,0.87411271,0.871119747,0.942247503,0.668078149,0.655564025,0.575699036,0.518173595,0.531014623,0.57011282,0.735482941,0.732964647,0.709026182,0.695745038,0.610984942,0.549933635,0.563561719,0.605056334,0.780562366,0.77788972,0.981268472,0.861724091,0.775618235,0.794839082,0.85336247,1.100893573,1.097124113,0.878173625,0.790424086,0.810011841,0.869652388,1.121908636,1.11806722,0.900077232,0.922382337,0.990296637,1.277547633,1.273173309,1.024781324,1.100235182,1.419375568,1.414515626,1.073629228,1.385052142,1.380309723,1.290065607,1.285648422,0.996575999
Oxoglutaric acid,0.600784314,0.939869281,2.220751634,0.961437908,2.459335038,1.043137255,1.58130719,0.7,0.598300654,0.980686275,1.825676938,2.326797386,1.564403829,3.696420801,1.600304613,4.093540697,1.736292428,2.632071366,1.165143603,0.99586597,1.632343342,3.038822579,3.872932985,2.36283032,1.02294854,2.616677753,1.109874826,1.682475661,0.744784423,0.636578581,1.043428373,1.942479634,2.47566064,0.432933559,1.107433628,0.469722611,0.712059451,0.315208594,0.269413583,0.44160106,0.822098658,1.047752189,2.557975941,1.084976207,1.644731475,0.728076139,0.622297757,1.020020394,1.898902593,2.420122366,0.424154187,0.642981605,0.284629784,0.243277408,0.398760746,0.74234576,0.946108338,1.515914787,0.671052632,0.573558897,0.940131579,1.750179019,2.230576441,0.442671737,0.378358271,0.620174423,1.154536544,1.4714392,0.854715219,1.400980392,2.608109911,3.323996265,1.639119511,3.051437311,3.889010269,1.861631987,2.372621547,1.274484734
alpha-Tocopherol,0.863438942,1.008612735,0.895724392,0.705936635,0.703248499,1.336204245,1.558781913,0.376191941,0.732020917,1.000799754,1.421628509,3.044601661,1.168134405,1.037391701,0.817587209,0.814473919,1.54753762,1.805318057,0.435690264,0.847796968,1.159085727,1.646472542,3.526134291,0.888075633,0.699908509,0.697243327,1.324794145,1.54547118,0.372979567,0.725770052,0.992253736,1.409488955,3.018603233,0.788118132,0.785117057,1.491758242,1.740247253,0.419986264,0.817239011,1.117307692,1.587127158,3.399038462,0.9961921,1.892810458,2.208104575,0.532897603,1.036949891,1.417690632,2.01381886,4.312854031,1.900045641,2.216544957,0.534934581,1.040913586,1.423109691,2.021516593,4.329339723,1.166574586,0.281537753,0.547836096,0.748987109,1.063930544,2.27854512,0.241337122,0.469610861,0.642039624,0.912012448,1.953192833,1.945870809,2.660343418,3.778997779,8.09321341,1.367173712,1.942059956,4.15917304,1.420492465,3.042168675,2.141629575
Aminomalonic acid,1.233528602,2.580204443,0.559489876,0.12993906,1.104930727,0.115392176,0.674798506,0.539119324,0.977688225,0.576749558,1.480075262,0.535335168,2.091726481,0.453568628,0.105339317,0.895747958,0.093546413,0.547047312,0.437054579,0.792594694,0.467560749,1.199871052,0.43398683,0.216839359,0.050359986,0.42823379,0.044722106,0.261529085,0.208944421,0.378918898,0.223528627,0.573627127,0.20747781,0.232245597,1.974889581,0.206245334,1.206096008,0.963590847,1.747463657,1.030848961,2.645401329,0.956827265,8.503453265,0.888048411,5.193192133,4.149016641,7.524205749,4.438615734,11.39053382,4.1198941,0.104433856,0.610715667,0.487921379,0.884841195,0.521978024,1.339518601,0.484496589,5.847870528,4.672061329,8.47274276,4.998168654,12.82647846,4.639267462,0.798933784,1.448859498,0.854698925,2.193358831,0.793325953,1.81349134,1.069799453,2.745357469,0.992980857,0.589911531,1.513851987,0.547552026,2.566235626,0.928193461,0.361694558
Aminomalonic acid,0.746801088,0.889979684,0.906662847,1.002412217,0.911308445,0.651512177,0.979912086,0.813702352,0.827279685,0.818101575,0.834425433,0.891955138,1.191722533,1.214062032,1.342274713,1.220282696,0.872403893,1.312146034,1.089583779,1.107764434,1.095474535,1.117332909,1.194367753,1.018745554,1.126331571,1.023965447,0.732052864,1.101049949,0.914293175,0.929548954,0.919236235,0.937578068,1.002219661,1.105606368,1.005123844,0.718582634,1.080789943,0.89746961,0.912444673,0.902321715,0.920326046,0.983778194,0.909115462,0.64994437,0.977554014,0.811744249,0.825288909,0.816132886,0.832417462,0.889808726,0.714919498,1.075280374,0.892894558,0.907793282,0.897721928,0.915634478,0.978763164,1.504057977,1.248944196,1.269783919,1.255696523,1.280751861,1.369053672,0.830383014,0.844238679,0.83487242,0.851530912,0.910239959,1.016685872,1.005406428,1.025467643,1.096168809,0.988905675,1.008637645,1.078178461,1.019953339,1.090274319,1.068945292
Aspartic acid,0.922300922,1.297077288,1.374192725,0.944970112,0.282264563,0.503559521,0.81561383,0.795620438,0.258814695,0.593402121,0.857185769,0.453493437,1.406349335,1.489961347,1.024578952,0.306043891,0.545981803,0.884325072,0.862647341,0.280618493,0.643393177,0.929399232,0.491697911,1.059453232,0.728538014,0.217615839,0.388226303,0.628808967,0.61339478,0.199536833,0.457491721,0.660859439,0.349627151,0.687654719,0.205403913,0.366440246,0.593522157,0.578972966,0.188339445,0.431818703,0.623774055,0.330007159,0.298702106,0.532884071,0.863110716,0.841953018,0.273886646,0.627958613,0.907103577,0.479902413,1.783998372,2.889536756,2.818704657,0.916922379,2.102290541,3.036816807,1.606625472,1.61969697,1.579992842,0.513970413,1.178415056,1.702253127,0.900575638,0.975486694,0.317325044,0.727552794,1.050970125,0.556014894,0.325299203,0.745835693,1.077380278,0.569987164,2.292768274,3.311967158,1.752193542,1.444527646,0.764226181,0.52904919
Behenic acid,0.769556401,0.822982678,0.868385615,0.969634559,0.933542734,0.71785664,0.949524715,0.747412336,0.827070131,0.810465955,0.908677349,1.124933988,1.069424772,1.128423614,1.259991546,1.213092028,0.93281875,1.233859811,0.971224898,1.074736212,1.053159918,1.180780705,1.461795376,1.055168763,1.178195585,1.134340684,0.872262149,1.153760267,0.908175051,1.004966632,0.984791025,1.104126943,1.366898742,1.116594451,1.075032472,0.826656531,1.093436716,0.860691752,0.952422653,0.933301913,1.046398436,1.295431395,0.962777911,0.740337309,0.979260389,0.770818583,0.852970971,0.835846813,0.937133832,1.160162845,0.768959592,1.01711971,0.800619306,0.885947799,0.868161602,0.973364492,1.205016061,1.322721923,1.041172143,1.152138303,1.129008092,1.26582008,1.56707332,0.787143636,0.871035917,0.853549089,0.956981251,1.184733763,1.106578111,1.084362561,1.215764452,1.505104925,0.979924102,1.098670252,1.36014341,1.121178926,1.388008936,1.237990569
