, Subcutaenous Fat vs Visceral Fat
refmet_name,ratio
"2,3-Dihydroxypyridine",0.682702494
MG 18:1(9Z)/0:0/0:0,0.711413596
MG 16:0/0:0/0:0,0.97655699
MG 18:0/0:0/0:0,0.481549395
"1,5-Anhydrosorbitol",0.899431281
"2,3-Dihydroxypyridine",0.984033089
2-Hydroxybutyric acid,1.025717931
2-Hydroxyglutaric acid,0.865491507
Ketoleucine,1.098900267
"2,3-Dihydroxypyridine",0.827143436
3-Hydroxybutyric acid,1.207253633
3-Phosphoglyceric acid,0.830733414
5-Aminopentanoic acid,0.242699368
5-Aminopentanoic acid,0.879007335
Adenosine,0.607624575
AMP,1.016124834
Adipic acid,0.891405402
Alanine,0.495745367
Oxoglutaric acid,0.891342765
Aminomalonic acid,0.557061425
Arachidic acid,0.922735372
Arachidonic acid,0.178991987
Asparagine,0.592767361
Aspartic acid,0.32897161
Azelaic acid,0.71576867
Behenic acid,0.872039486
Benzoic acid,0.783371847
beta-Alanine,0.844539308
Capric acid,0.770893653
Caprylic acid,0.847008186
Cholesterol,0.734186903
cs-Gondoic acid,0.937633277
Citric acid,0.621154858
Citrulline,0.704822395
Conduritol epoxide,0.747821906
Creatinine,0.846842252
Cysteine,0.484177485
Cystine,0.735595273
Cystine,0.701572766
Dehydroabietic acid,0.791002671
Dodecanol,0.94321656
Epsilon-caprolactam,0.950959786
Erythritol,0.626409671
Ethanolamine,0.364115912
Fructose,1.136422171
Fucose,0.936323219
Fumaric acid,0.573404528
Gluconic acid,0.66108724
Glucose,1.236488697
Glucose 6-phosphate,0.712954316
Glutamic acid,0.352433805
Glutamine,0.850853352
Glutaric acid,0.870774772
Glyceric acid,0.436218529
Glycerol,0.645133937
sn-Glycero-3-phosphate,0.802156464
Glycine,0.581175843
Glycolic acid,0.931411868
Guanine,0.800301271
Guanosine,0.512806815
Margaric acid,0.963857088
Sorbitol,0.985003793
Hexuronic acid,0.734168912
Histidine,0.414064479
Histidine,0.789984453
Hydroxylamine,0.969774167
Hypoxanthine,0.469722679
Inosine,0.549306915
Inosine,0.894938767
Isoleucine,0.493137817
PGF2alpha,0.904693735
Lactamide,0.652650381
Lauric acid,0.732758175
Leucine,0.424348555
Linoleic acid,0.835730902
Lysine,0.391867898
L-Arabitol,0.634196029
Malic acid,0.494002556
Maltose,0.207045614
Maltotriose,0.53952273
Mannose,1.074647419
Methionine,0.285291498
Myo-inositol,0.978077952
Myristic acid,0.865440158
N-Methylalanine,0.721327379
Niacinamide,0.549008605
Nonadecylic acid,0.901811205
Stearyl alcohol,0.861241866
Oleic acid,1.176769805
Ornithine,0.496377434
Oxalic acid,0.908874518
Pyroglutamic acid,0.425586402
P-Cresol,0.964578125
Palmitic acid,0.962451025
Palmitoleic acid,1.130881889
Pelargonic acid,0.793059832
Pentadecylic acid,0.947429268
Phenylalanine,0.37874363
Phosphoethanolamine,0.651892546
Proline,0.462048712
Proline,0.930117645
Pseudouridine,0.491710218
Putrescine,0.595555353
Pyrophosphate,0.870021538
Pyruvic acid,0.721993979
Ribose,0.350322092
2-Hydroxybenzaldehyde,0.741259206
Serine,0.48014505
Sorbitol,0.604869107
Spermidine,0.610130273
Squalene,0.829878049
Stearic acid,0.949683187
Succinic acid,0.642269342
Sucrose,0.925291328
Trichilin A,1.230403661
Taurine,0.611432311
D-Threonic acid,0.841370197
Threonine,0.464871715
Retinal,0.687092726
Retinal,0.717599944
gamma-Tocopherol,0.635359914
trans-4-Hydroxyproline,0.921613369
Tryptophan,0.532225366
Tyrosine,0.456862296
UDP-glucuronic acid,0.969461126
UDP-N-acetylglucosamine,0.88962728
Uracil,0.380042801
Urea,1.012108426
Uric acid,0.897986986
Uridine,0.705667384
Valine,0.54400366
Xanthine,0.487057107
Xylitol,0.815986965
