,CRC vs Healthy,CRC vs Polyp,Polyp vs Healthy
compound name,ratio,ratio,ratio
1-Methyladenosine,1.036673881,1.033517881,1.003053647
1-Methylhistamine,0.995306215,0.945495129,1.052682541
Deoxyuridine,0.903696036,0.895988367,1.00860242
Aminoadipic acid,0.848298291,0.776497362,1.092467705
Nitrotyrosine,1.021507564,0.96429257,1.059333646
4-Pyridoxic acid,1.012993307,1.017427187,0.995642066
5-Hydroxy-tryptophan,1.009897903,1.012670232,0.997262358
Acetoacetic acid,1.131648579,1.358584296,0.832961622
Acetylcholine,0.918849358,0.905186057,1.015094467
trans-Aconitic acid,0.889600582,0.850181109,1.046365971
Adenosine,0.572078204,0.328912642,1.739301352
Adenylsuccinic acid,1.219689283,1.19840177,1.017763253
Adipic acid,0.760190735,0.736346088,1.03238239
Alanine,0.94933824,0.903084426,1.051217597
Allantoin,1.235414015,1.108040562,1.114953782
Oxoglutaric acid,0.92718151,0.926473054,1.00076468
Aminoisobutyric acid,1.011352135,1.022214587,0.98937361
AMP,1.009621414,1.000505897,1.009110907
2-Aminobenzoic acid,0.888565178,0.803696876,1.105597401
Arginine,1.075883073,1.049696453,1.02494685
Asparagine,0.965616315,0.955371047,1.010723864
Aspartic acid,1.348045572,1.393724716,0.967225132
Betaine,0.987071012,0.991716421,0.995315789
Biotin,0.980434232,0.898822335,1.090798697
Carnitine,0.979030528,0.936613067,1.045288137
Choline,1.014951803,0.994259236,1.020812044
Citraconic acid,0.875219904,0.826872024,1.058470813
Citrulline,0.982208898,0.92666785,1.059936306
Creatine,1.122131428,1.007721646,1.11353312
Creatinine,0.893245599,0.880503872,1.01447095
Cystamine,1.13700579,1.325180723,0.85800055
Cystathionine,1.443871604,1.430461559,1.009374628
Cystine,1.027945591,1.007399837,1.020394836
Cytidine,0.975057301,0.996907897,0.978081629
Cytosine,0.982663953,1.004889608,0.977882491
Cytosine,1.005330941,1.001309795,1.004015886
D-Leucic acid,1.416135304,1.463312574,0.96775995
Dimethylglycine,0.822337608,0.777261595,1.057993363
dTMP,0.986574028,0.984500342,1.002106334
Epinephrine,1.066963561,1.063328922,1.00341817
Erythrose,1.082180202,1.044651045,1.035925066
Erythrose,1.011710187,0.979588032,1.032791494
Fructose,1.357714853,1.251849193,1.084567423
Fructose,1.098307759,1.070880846,1.025611546
Fructose,1.057919427,1.002857097,1.05490546
Fructose,0.922346982,0.902411792,1.022091013
Fructose,0.795790988,0.945430994,0.841722975
Glucose,1.085458465,1.013620475,1.070872671
Glutamic acid,1.209439834,1.235733464,0.978722248
Glutamine,0.918922331,0.919536793,0.999331771
Glutaric acid,1.032077328,1.051784401,0.981263201
Glyceraldehyde,1.35164823,1.41140411,0.957662104
Glyceric acid,0.90926376,0.873087599,1.041434743
sn-Glycero-3-phosphate,0.982048665,0.917586746,1.070251581
Glycine,1.001817704,0.964699282,1.038476676
Glycochenodeoxycholic acid,1.424379949,2.327661168,0.611936122
Glycocholic acid,1.755059459,3.094616125,0.567133172
Guanidoacetic acid,0.989921363,0.96777624,1.022882483
Guanosine,0.918912365,0.935235361,0.982546643
Histidine,0.807962257,0.845841864,0.955216681
Homogentisic acid,0.923151222,0.931599921,0.990930979
Homogentisic acid,1.046072621,0.990314406,1.056303548
Homogentisic acid,1.3787544,1.33124563,1.035687456
Hypoxanthine,0.966608645,0.916816879,1.05430939
Hypoxanthine,2.663498555,3.260600333,0.816873668
IMP,0.679199555,1.018570377,0.66681652
Inosine,0.902154399,0.944385044,0.955282387
Inosine,1.159893442,1.104404823,1.050243007
Kynurenine,1.124731768,1.161841654,0.968059429
Lactic acid,1.103360444,1.030097854,1.071121971
Leucine/Isoleucine,0.980036081,0.925297225,1.059158133
Linoleic acid,0.874928503,0.826049169,1.059172427
alpha-Linolenic acid,0.77161007,0.758642191,1.017093538
Lysine,0.885607327,0.844671045,1.04846417
Malic acid,0.940579488,0.930917207,1.010379313
Maleic acid,1.139891005,1.109715348,1.027192249
Maleic acid,0.750435043,0.796044078,0.94270539
Margaric acid,0.915112369,0.906309846,1.009712487
Methionine,0.884367902,0.853557548,1.036096399
Methylsuccinic acid,0.947090308,0.939741457,1.007820078
N-Acetylglycine,0.744123924,0.676549862,1.099880386
"N2,N2-Dimethylguanosine",0.983712662,0.943290348,1.042852462
Niacinamide,0.959062784,0.821480008,1.167481588
Niacinamide,1.080722914,1.008403862,1.071716358
Ornithine,1.055149972,1.013724968,1.040864145
Orotic acid,1.708307163,2.193437187,0.778826571
Oxalic acid,1.133186443,1.032616425,1.097393394
Oxaloacetic acid,0.986805713,1.028315468,0.959633248
Oxaloacetic acid,1.098668161,1.099172314,0.999541334
Phosphoenolpyruvic acid,0.898046364,0.855485596,1.04975042
Phenylalanine,1.008245797,1.007876687,1.000366225
Proline,1.118336974,1.078629953,1.03681246
Propionic acid,0.959094154,0.962828075,0.996121923
Propionic acid,0.940063556,0.931862354,1.008800873
Pyroglutamic acid,1.009437903,1.0509092,0.960537697
Pyruvic acid,1.157038758,1.020819361,1.133441235
Pyruvic acid,0.96292344,0.994547253,0.968202805
Salicyluric acid,1.095210704,1.015930568,1.078036963
Serine,0.996139885,0.976996786,1.019593819
Shikimic acid,0.93607774,0.999798811,0.936266107
Sorbitol,0.977928587,0.951695751,1.027564309
Sorbitol,1.025906074,1.012196239,1.013544641
Taurine,0.996939313,0.943054512,1.057138586
Threonine,0.964486841,0.92815589,1.039143156
Trimethylamine N-oxide,1.325413583,1.164340952,1.138338028
Tryptophan,0.978879409,0.919516383,1.064558965
Tyrosine,0.95922292,0.94693884,1.012972411
Uric acid,0.930050183,0.934594224,0.995137953
