,Breast cancer stage1 vs Control,Breast cancer stage2 vs Control,Breast cancer stage3 vs Control,Breast cancer stage4 vs Control,Breast cancer stage2 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage1,Breast cancer stage4 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage3
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Xylitol,1.036415476,1.062261483,1.080338404,1.525858993,1.024937883,1.042379653,1.472246438,1.017017393,1.436425039,1.412389847
1-Pyrroline-2-carboxylic acid,1.031808776,0.975260044,0.991737802,1.016525354,0.945194562,0.961164341,0.985187738,1.016895758,1.042312109,1.024994057
"2,3-Diamino-propionic acid",0.982042494,1.121625426,1.083548056,1.115456425,1.142135328,1.10336168,1.135853521,0.966051616,0.994499946,1.029448043
2-Hydroxycinnamic acid,0.941272959,1.017815734,1.00156108,1.065495719,1.081318362,1.064049563,1.131973153,0.984029866,1.0468454,1.063834987
3-Hydroxy-dodecanedioic acid,1.102677409,0.967850323,0.574909562,0.801731988,0.877727534,0.521376023,0.727077549,0.594006685,0.82836361,1.394535837
3-Indolepropionic acid,2.126847415,3.294200792,4.932170461,1.577052405,1.548865597,2.319005315,0.741497671,1.497228242,0.478735968,0.319748155
3-Pyridylacetic acid,2.190866215,0.872929143,0.785780696,0.926394258,0.398440186,0.358662109,0.422843828,0.900165498,1.061247944,1.17894759
3-Succinoylpyridine,1.950176321,1.385879007,2.188511177,1.00614732,0.710642926,1.122211953,0.515926334,1.579150248,0.725999395,0.459740544
3-Succinoylpyridine,1.541353717,1.296545961,1.180882638,1.209800795,0.841173539,0.766133448,0.78489498,0.910791189,0.933095186,1.024488595
4-Aminohippuric acid,1.274641283,0.958848989,1.078065628,0.970928824,0.752250066,0.845779626,0.761727113,1.12433307,1.012598266,0.90062126
4-Hydroxy-2-oxoglutaric acid,1.043062802,0.914108707,0.911907197,0.827760297,0.876369769,0.874259148,0.793586249,0.997591632,0.905538139,0.907724273
cis-4-Hydroxyproline,0.993172809,0.989583353,0.97713703,0.97722787,0.99638587,0.983853989,0.983945454,0.987422663,0.987514459,1.000092966
5-Acetylamino-6-formylamino-3-methyluracil,0.87575119,0.785446743,0.864791151,0.710776231,0.896883444,0.987484985,0.811618916,1.101018189,0.904932431,0.82190507
5-Hydroxyindoleacetic acid,1.039240732,0.996204429,0.981575007,0.954844006,0.958588706,0.944511678,0.918790013,0.98531484,0.958481992,0.972767235
5-Hydroxylysine,1.035774644,1.072418436,1.075459254,1.026363072,1.035378152,1.038313943,0.990913495,1.002835477,0.95705467,0.954348636
5-Methoxytryptophol,0.982857926,1.088369108,0.762794371,0.891991457,1.107351408,0.776098305,0.907548725,0.700859998,0.819567048,1.169373413
5-Phosphoribosylamine,1.126329653,0.844880474,0.944839611,0.85548453,0.75011829,0.838865965,0.759532991,1.118311572,1.012550954,0.905428308
5-Phosphoribosylamine,2.586961017,1.011742072,0.842909564,0.711598343,0.391092895,0.325830022,0.27507115,0.833126927,0.703339678,0.844216715
6-Phosphogluconic acid,1.101310575,0.932326544,0.914366955,0.831676988,0.846560966,0.830253496,0.755170255,0.980736804,0.892044738,0.909565884
CAR(2:0),0.718643426,0.745843565,0.778164268,0.727178958,1.037849283,1.082823886,1.011877284,1.043334426,0.974975173,0.934480017
Aminoacetone,0.884252042,0.826607164,0.780557581,0.788513889,0.934809449,0.882732008,0.891729792,0.944290849,0.953916108,1.010193109
Androstenedione,1.477590776,0.957808075,0.945483211,1.61287342,0.64822283,0.639881641,1.091556232,0.98713222,1.683921302,1.705872089
Arginine,1.167532446,1.177193808,1.141128648,1.215310398,1.008275027,0.977384956,1.040922162,0.969363447,1.032379196,1.065007351
Benzaldehyde,0.9365721,1.051363465,1.044703208,0.979735992,1.122565432,1.115454119,1.046087099,0.993665124,0.931871826,0.937812754
Benzocaine,0.919293893,1.057601905,1.0417495,0.961341868,1.150450267,1.133206158,1.045739426,0.985010991,0.908982732,0.922814811
Glucuronic acid,0.861330917,0.911788374,0.878504192,0.999139555,1.058580803,1.019938069,1.159994997,0.963495716,1.095802034,1.137319051
Bilirubin,2.133989618,1.344073438,1.263107169,2.043966713,0.629840664,0.591899398,0.957814741,0.939760532,1.520725472,1.618205298
Bilirubin,1.346463309,1.291907502,1.195769244,1.735092624,0.959482143,0.888081566,1.288629711,0.925584256,1.343047101,1.451026302
CAR(4:0),1.5403088,1.564066089,2.063356161,1.810367749,1.015423718,1.339573053,1.175327797,1.319225688,1.157475226,0.877389848
25-Hydroxyvitamin D3,1.118249293,1.130457834,1.023407938,1.280708374,1.010917548,0.915187646,1.145279842,0.905303946,1.132911229,1.251415322
Carnitine,0.749550776,0.836839505,0.840021403,0.750255859,1.116454725,1.120699798,1.000940675,1.003802279,0.896534944,0.89313898
Carnosine,1.187591236,1.164913605,1.221723729,1.048551935,0.980904514,1.028740944,0.882923268,1.048767672,0.900111331,0.858256176
Choline,0.925376068,0.798073911,0.699291305,0.918394051,0.862431977,0.755683369,0.992454942,0.876223737,1.150763154,1.313321136
cis-2-Methylaconitate,0.983933421,0.959256378,0.972964771,0.909882507,0.974920007,0.988852243,0.924739914,1.014290646,0.948529015,0.935164905
Citrulline,0.996618748,1.004881306,1.001806846,1.006820111,1.008290591,1.0052057,1.010235973,0.996940475,1.001929387,1.005004223
Cystathionine,1.253758856,1.796509522,1.755947605,1.256073267,1.432898769,1.400546522,1.001845978,0.977421819,0.699174289,0.715325026
CAR(10:0),2.053958687,1.564718818,1.361434578,1.488333174,0.761806373,0.66283445,0.724616899,0.870082575,0.951182511,1.093209471
Dehydroascorbic acid,1.242585339,1.062338711,1.150370785,1.098794253,0.854942254,0.925788152,0.884280715,1.082866296,1.034316308,0.955165298
5-Hydroxylysine,0.921440175,0.792788566,0.692801006,0.916237355,0.860379857,0.751867593,0.9943536,0.873878655,1.155714644,1.322511583
