,breast cancer vs control,breast cancer_stage3 vs control,breast cancer_stage2 vs control,breast cancer_stage2 vs breast cancer,breast cancer_stage3 vs breast cancer,breast cancer_stage3 vs breast cancer_stage2
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio
Isovalerylsarcosine,4.816441192,6.19322284,5.543028018,1.150855538,1.285850401,1.117299573
Hydroxyphenyllactic acid,0.552939696,0.578075828,0.485628914,0.87826741,1.045459085,1.190365341
1-Methylxanthine,1.847680298,1.919513931,1.861404056,1.007427561,1.038877739,1.031218302
Indoleacetic acid,2.463440273,8.477500986,3.855872591,1.565238919,3.441325969,2.198594685
MG(16:0/0:0/0:0),0.826457205,0.9577065,0.829666433,1.003883114,1.158809548,1.154327164
MG(16:0/0:0/0:0),0.687168349,0.726649452,0.540529579,0.786604302,1.057454775,1.344328747
Tridecanedioic acid,0.014729644,0.026499858,0.015129935,1.027175826,1.799083353,1.751485293
Putrescine,0.867543512,0.614928241,0.646541341,0.745255231,0.708815446,0.951104288
"11Z,14Z-Eicosadienoic acid",0.556028826,0.526243887,0.443600679,0.797801586,0.946432743,1.186300905
Indoleacetic acid,0.960873325,0.753685761,0.710695022,0.739634459,0.784375777,1.060491121
2-Aminobutyric acid,0.066859723,0.112459415,0.115956809,1.734329791,1.682020369,0.969838826
2-Aminobutyric acid,1.022124326,1.028049561,1.16484578,1.139632185,1.00579698,0.882562807
"2,3-Dihydroxybutanoic acid",0.219937806,0.361698358,0.352562109,1.603008212,1.644548357,1.025913869
2-Deoxyribonic acid,1.583122225,1.693683851,1.670282103,1.055055685,1.069837707,1.014010656
2-Furoylglycine,0.419712697,0.433311958,0.442595126,1.054519268,1.032401357,0.979025598
2-Hydroxy-2-methyl-butyric acid,1.129429112,1.173962001,1.249168762,1.106017853,1.039429556,0.939794555
2-Hydroxy-3-methylbutyric acid,0.479609478,0.455580131,0.462503245,0.964332998,0.949898099,0.98503121
2-Hydroxybutyric acid,1.022945962,1.038682138,1.021408208,0.998496739,1.015383194,1.016911877
2-Hydroxyethanesulfonate,1.190786209,1.393481269,1.309223444,1.099461377,1.170219523,1.064357101
