,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 18:1(9Z)/0:0/0:0,1.867586491,1.069578512,0.753575826,1.489797606
MG 16:0/0:0/0:0,0.786311787,0.820208729,0.791044776,1.082519098
MG 18:0/0:0/0:0,0.931691819,0.770665305,0.683577087,0.983946871
"1,5-Anhydrosorbitol",1.375612145,1.167428079,0.894704431,0.587676184
2-Deoxyerythritol,1.091480996,1.053998416,0.4551622,0.806857225
2-Deoxyerythritol,1.169202743,0.950468065,0.909975948,1.33808558
2-Hydroxybutyric acid,1.108366558,0.771572029,0.85179497,1.274035363
2-Hydroxyglutaric acid,0.989241956,0.666767038,1.003070772,0.679924393
Salicyluric acid,0.61979481,0.878612451,2.682336182,0.909277528
2-Hydroxyvaleric acid,0.982817117,0.557712428,1.083617747,0.962793425
Ketoleucine,1.338099778,1.034738548,1.129428866,1.307579316
MG 18:0/0:0/0:0,1.236199095,0.834166667,1.061063218,0.919098143
MG 18:0/0:0/0:0,0.977142857,1.019844961,0.889957265,0.95458204
3-Amino-isobutanoic acid,0.876048622,0.986139271,1.48482422,1.146581589
3-Hydroxybutyric acid,1.349286439,0.384334043,1.165215438,2.050289407
3-Phosphoglyceric acid,1.159797542,0.992374867,1.172701149,1.365920156
cis-4-Hydroxyproline,0.7746675,0.810714111,1.052615421,0.875718719
cis-4-Hydroxyproline,0.598965071,0.974454515,1.005627962,0.991199584
5-Methoxytryptamine,1.335232252,0.951102941,1.385230179,1.133620896
5-Methoxytryptamine,0.943458718,0.877681494,0.910488097,0.966232551
cis-Aconitic acid,1.017041053,0.692988048,0.665959853,1.049764978
AMP,0.496062992,0.739689922,1.608238538,1.248023005
Adipic acid,0.909106211,0.734189234,0.985179228,0.603753791
Alanine,0.923951738,0.942643703,1.067908954,0.883918442
Oxoglutaric acid,1.08,1.381629927,1.164901664,1.887036921
Aminomalonic acid,0.699675212,0.9571248,0.943288757,0.806769549
Arabinose,0.887921242,1.56595501,1.084262701,1.146975895
Arabitol,1.281032771,1.108539604,0.774266366,0.980390594
Arachidic acid,1.266731707,1.145626833,1.185327061,1.307313376
Arachidonic acid,0.839517889,0.64025816,0.609507367,0.865199815
Asparagine,0.95736238,0.8704456,0.872933071,0.885901349
Aspartic acid,1.292226721,0.997493141,0.671882682,0.65407733
Azelaic acid,0.836865588,0.649712109,0.635055256,0.397636741
Behenic acid,0.809672387,0.86599143,1.191410392,1.171390013
Benzoic acid,1.006734993,1.236745957,0.866423162,1.184302227
Benzyl alcohol,1.019942197,0.912913417,1.079964903,1.037364454
sn-Glycero-2-phosphate,0.924838941,0.761604326,0.781390766,0.90843928
sn-Glycero-2-phosphate,1.353366035,1.282889895,0.837118051,0.582097732
beta-Alanine,1.495454545,0.757126277,0.930090925,1.067068879
Capric acid,0.816559927,0.860631684,1.174269577,1.062017357
Caprylic acid,0.934742076,0.846651487,0.77812014,0.766213589
Cholesterol,0.887107435,0.881736292,1.070629579,1.031578769
Citric acid,1.207909944,0.909416523,0.765892216,1.32113398
Citrulline,1.004186838,0.90948827,1.223776224,0.989968736
Conduritol epoxide,0.683604986,2.53412904,0.730362022,1.134062594
Creatinine,1.23683231,0.642461214,0.714589352,1.185340486
Cysteine,0.78790567,0.938311996,1.252383105,0.997568903
Cys-Gly,0.989839781,0.812251864,0.962082481,0.981061213
Cystine,1.243300542,0.741786415,0.963870783,1.049971123
3-(3-Hydroxyphenyl)propanoic acid,1.014316392,0.927350427,1.287084038,1.381213877
Erythritol,1.1447343,0.747019439,0.734887247,0.774901674
Erythrose,0.862150921,0.902335085,0.84103079,1.084008097
Ethanolamine,1.181317706,1.042267457,1.871415583,1.157002352
Fructose,0.593983961,0.549738343,0.938198941,0.980825203
Fucose,0.985742188,0.886129458,1.066229571,1.090595397
Fumaric acid,1.292717087,0.793330309,0.782286634,0.991229673
gamma-Tocopherol,1.247756323,0.851024133,0.700081075,0.940369629
Gluconic acid,1.029540481,0.977512077,0.934592043,1.019576551
Glucose,0.979832421,0.768732413,1.166943912,1.189443068
Glucuronic acid,1.903058666,0.606993868,2.05223637,1.004726181
Glutamic acid,1.545801623,0.918557976,0.835862404,0.844359709
Glutamine,0.961905316,0.806363629,0.864715103,1.083836978
Glutaric acid,0.962576687,0.650561313,0.692567568,0.726112683
Glyceric acid,0.816814053,0.919635601,1.046561856,1.06038508
Glycerol,0.783345216,1.009376498,0.683359653,1.279820696
Galactosylglycerol,0.647651007,0.961846758,0.72434849,0.971433066
sn-Glycero-3-phosphate,0.765181804,0.674053123,0.57478088,0.863986043
Glycine,0.863397147,0.894625135,0.962803765,0.820024386
Glycolic acid,1.059649958,0.825156293,1.05974478,0.927645704
Glycolic acid,1.209302326,0.79160105,0.891032207,0.917423144
Hippuric acid,0.736721335,1.156234782,0.956325153,0.94532917
Histidine,1.476165207,1.059115855,0.859757654,0.986236951
Hydroxylamine,1.194780395,0.737223473,0.99361691,1.059005793
Indoleacetic acid,1.150215983,0.829609714,0.674546197,1.178615459
Indolelactic acid,0.716863816,0.793641199,0.802536232,1.133489406
Inosine,0.660858479,0.582717557,2.121578796,0.902060506
Inulobiose,1.113814757,1.593297003,1.256487026,1.212545158
Isocitric acid,1.254426482,0.958320373,0.825610783,1.326535256
Isoleucine,1.262138859,0.942017362,0.97774135,1.066741714
D-Threonic acid,0.796966472,0.853086916,0.979454658,0.976755332
Kynurenine,1.261549925,0.723921569,0.830555556,0.720349884
Lactamide,1.032515687,0.902486559,1.313471503,1.277159055
