,Adenocarcinoma_Former_M vs Healthy_Former_M,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Current_F vs Healthy_Current_F
refmet_name,ratio,ratio,ratio,ratio
MG 18:1(9Z)/0:0/0:0,1.24288507,1.418300654,2.382591832,1.804794521
MG 16:0/0:0/0:0,1.096635542,0.970876586,0.876992908,0.887545345
MG 18:0/0:0/0:0,0.842946373,1.066437572,0.793942901,0.979434447
"1,5-Anhydrosorbitol",1.004483337,0.899464918,1.181601448,1.27771494
2-Deoxyerythritol,0.952207029,1.121566129,0.9397665,0.718001723
2-Deoxyerythritol,1.16260551,0.943600805,1.007072942,0.76442359
2-Hydroxybutyric acid,1.108384127,0.961193923,0.864235653,1.348258706
2-Hydroxyglutaric acid,0.775816548,0.701166667,1.060662252,0.993832073
Salicyluric acid,1.325135831,1.37032419,0.920961387,0.606359649
2-Hydroxyvaleric acid,0.878117585,0.829637245,0.861394236,0.64813328
Ketoleucine,0.848387396,0.878985655,1.064951819,1.184040209
MG 18:0/0:0/0:0,0.926274365,1.094650206,1.19847619,0.511789182
MG 18:0/0:0/0:0,0.804037591,0.848484848,1.131680441,1.154855643
3-Amino-isobutanoic acid,0.186607451,0.888934651,0.8669912,0.106553784
3-Hydroxybutyric acid,1.018573013,1.208009981,0.647250672,0.796066529
3-Phosphoglyceric acid,0.537019231,1.13896648,1.75133774,0.675917637
cis-4-Hydroxyproline,0.852992041,0.8691547,0.988959006,0.79500353
cis-4-Hydroxyproline,1.111128078,0.644165993,1.011904762,0.601425178
5-Methoxytryptamine,1.142236124,0.709187859,0.80872093,1.166666667
5-Methoxytryptamine,0.9747932,1.016419387,1.060826506,0.965310304
cis-Aconitic acid,0.889301399,0.880069525,0.927131783,0.725670498
AMP,1.051931191,1.629927007,2.081104034,0.929861849
Adipic acid,1.00346762,0.521965712,0.831058638,0.920716113
Alanine,1.072565162,0.965705368,1.163056704,1.199772878
Oxoglutaric acid,1.06643924,1.486714976,0.889912085,1.382159624
Aminomalonic acid,1.137015353,0.754197308,0.925547168,1.198536748
Arabinose,0.825408141,0.678817056,1.035140187,0.90328728
Arabitol,0.614018309,0.608063175,1.07606264,0.55134189
Arachidic acid,1.316775674,1.170514633,0.830631854,0.967116013
Arachidonic acid,0.702605672,0.70009153,0.95746011,0.99653662
Asparagine,1.057002779,0.589230674,1.00466817,0.9843556
Aspartic acid,2.631208959,0.811924119,0.826020801,1.906271302
Azelaic acid,2.613191633,0.576584022,0.797650928,1.11464497
Behenic acid,0.93118832,0.80952381,0.671628273,0.865331492
Benzoic acid,0.960542127,1.002125531,0.943778542,0.929401886
Benzyl alcohol,0.971678377,0.860208232,1.038641496,1.020924727
sn-Glycero-2-phosphate,0.832200358,0.606498195,1.102456779,0.932731747
sn-Glycero-2-phosphate,0.974256455,1.013508688,1.190228248,1.468187936
beta-Alanine,0.9569634,0.536211699,0.763574274,0.811831789
Capric acid,1.138268578,0.92514102,0.883836694,0.952920663
Caprylic acid,0.977192326,0.946949076,0.961452433,0.842887909
Cholesterol,0.947510695,1.019190436,1.001277704,1.002726742
Citric acid,0.984790139,0.865329824,0.84969223,0.919634454
Citrulline,0.744926415,0.569113071,0.944315109,0.627168051
Conduritol epoxide,1.003439753,1.49137618,0.716751724,0.617130897
Creatinine,0.612078535,0.698327984,0.993440212,0.406558185
Cysteine,0.843473233,0.877610693,1.125763441,0.933271177
Cys-Gly,1.16362054,1.025769231,1.023924731,0.927364865
Cystine,0.97221848,0.739744261,1.004012494,0.793573097
3-(3-Hydroxyphenyl)propanoic acid,0.804778169,0.847572989,1.035129394,0.922161795
Erythritol,0.91007584,0.983293556,1.434696497,0.918894698
Erythrose,0.913924221,0.606981982,0.946153846,1.035181237
Ethanolamine,1.46106219,0.990308186,0.817783884,0.893525566
Fructose,0.55325121,0.575548237,1.066618986,0.709271862
Fucose,0.958805045,0.718814611,1.133392461,0.855561277
Fumaric acid,1.046142425,1.424391847,1.049066447,0.890652557
gamma-Tocopherol,1.062823586,0.690780747,1.10113601,1.323538606
Gluconic acid,0.737281162,1.101416853,1.035172769,0.342098412
