,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 16:0/0:0/0:0,0.799528302,0.575296108,1.366019818,1.090136054
MG 18:0/0:0/0:0,0.666666667,1.154894672,1.227875112,0.8868
"1,5-Anhydrosorbitol",0.74240751,1.232198429,0.871286044,1.085315174
Aminoadipic acid,1.056047198,1.263362488,1.130053908,1.203947368
2-Deoxyerythritol,2.334356456,0.729103726,1.047967574,1.553571429
"3,4-Dihydroxybutyric acid",1.406162465,1.063691306,1.266851406,0.957843137
2-Hydroxybutyric acid,1.04473036,0.523880399,1.530991252,1.201284009
2-Hydroxyglutaric acid,1.034199134,1.383458647,1.394321767,1.584640523
Salicyluric acid,1.446393762,15.03951368,1.676385789,10.70662598
2-Hydroxyvaleric acid,4.752434733,1.118214615,0.740861589,1.17410875
Ketoleucine,0.996667875,0.847529648,1.180354086,0.901469937
Ketoleucine,0.757880617,0.947496947,1.047569028,0.89384801
MG 18:0/0:0/0:0,1.020408163,1.497716895,1.066216809,1.098694943
MG 18:0/0:0/0:0,1.129859388,0.960614793,1.226767133,1.102313167
MG 18:0/0:0/0:0,1.127806563,1.752759382,1.121920082,1.293277311
3-Amino-isobutanoic acid,1.206306306,0.732691945,1.031043956,1.044886364
3-Hydroxybutyric acid,1.605208714,0.833891186,2.287652805,1.672988307
3-Phosphoglyceric acid,2.381887616,1.708029197,1.577975391,1.536231884
p-Hydroxyphenylacetic acid,0.989473684,0.910746812,1.574634841,2.14862069
cis-4-Hydroxyproline,0.857374622,1.169366716,1.186915002,1.076295381
3-Phosphoglyceric acid,0.650737463,1.999646331,0.776300987,0.82262825
cis-4-Hydroxyproline,1.177578092,0.764619165,1.58418912,1.062620192
cis-4-Hydroxyproline,0.94017094,1.040564374,0.789080225,0.897957078
5-Methoxytryptamine,0.71335578,2.766595289,1.317302062,1.632135016
5-Methoxytryptamine,1.290391841,0.497753197,0.929564985,0.781757656
5-Methoxytryptamine,1.333915321,4.994053208,1.372464054,4.769381747
5-Methoxytryptamine,1.521376374,1.095284134,0.929240226,1.086964363
cis-Aconitic acid,0.675706215,1.107273679,1.00857014,1.1948876
AMP,2.39245283,3.257103257,1.739453196,2.140600924
Adipic acid,1.066962634,0.382499644,1.029481569,1.16587756
Alanine,0.938569665,1.873795668,0.957301062,0.957446083
Allantoic acid,0.84287812,1.44,1.318632856,0.691666667
Oxoglutaric acid,1.479154079,0.943761639,1.046078998,1.353558052
Aminomalonic acid,1.226425439,0.781379884,0.960033589,1.148295566
Arabinose,1.173690078,1.031171019,1.492365732,0.909199522
Arabitol,0.904006047,1.187529976,0.968674814,1.386986301
Arachidic acid,0.822860782,0.908011499,0.837256535,0.888768979
Arachidonic acid,1.201642921,1.415774871,1.157837233,0.984527192
Asparagine,0.636136958,1.649181106,0.895097173,0.839316205
Aspartic acid,0.823384536,1.209233936,1.26907558,1.059181331
Azelaic acid,0.922577654,1.003508772,1.189834548,1.178194607
Behenic acid,0.639957828,1.316718588,1.076594623,1.042471042
Benzoic acid,1.1488966,0.789133646,0.958285307,1.006279175
Benzyl alcohol,0.727001067,1.681770685,1.052342127,1.224084507
beta-Alanine,1.255575648,1.22177238,1.014727541,1.394253984
Sitosterol,0.577090765,0.772073922,1.010195201,1.171052632
"2,3-Butanediol",9.068467188,0.247619048,1.297053567,1.427860697
Capric acid,1.43900993,0.82983683,1.093971336,1.016282074
Caprylic acid,0.981950742,0.851267865,1.068109055,0.969506889
Cellobiotol,1.29279862,2.90070922,1.414324117,2.968370264
Cholesterol,0.679054309,1.236276698,1.272451807,2.035750929
Citric acid,1.027703906,0.99615841,1.105078718,0.95982918
Citrulline,0.816164029,0.655216731,0.723282573,0.749886724
Conduritol epoxide,1.526212504,0.806287564,0.886021258,2.413043478
Creatinine,0.618097305,1.291836246,0.868849799,1.634876847
Creatinine,1.115,1.17260274,0.940080142,0.62587007
Cysteine,0.486978366,2.120532003,0.712287612,1.161340206
Cys-Gly,0.489375402,1.757386166,0.917448731,1.310991957
Cystine,0.422956405,0.695172072,0.673529845,0.584621048
CDP,1.012919897,1.523333333,1.474409938,1.474431818
CDP,2.369876543,1.160423453,0.912117304,1.291553313
CDP,1.54930359,0.926350663,2.133741001,1.036808714
3-(3-Hydroxyphenyl)propanoic acid,0.49003508,2.036195286,1.372713844,1.084716623
Dodecanol,1.59929078,0.829977629,1.105493237,0.782046864
Erythritol,0.04192182,1.21020784,0.905571442,0.239208924
Ethanolamine,1.854082224,0.73567132,0.689886436,3.47829877
Fructose,0.205899718,2.823845508,0.436978761,0.898807704
Fucose,0.598650216,2.688591149,1.22321205,1.196942242
Fucose,0.998645598,1.198960208,1.1915903,1.353852327
Fumaric acid,1.580081754,0.802459646,1.07529435,0.798426347
Galactonic acid,0.818141197,1.395638629,1.042397533,1.247331787
Galactose 6-phosphate,0.76526858,0.715109573,1.140264339,0.921195652
gamma-Glutamylvaline,0.89439528,0.471111111,0.82278481,0.599336283
gamma-Tocopherol,0.418167457,2.129516019,0.952102478,1.067596154
Gluconic acid,0.921888412,1.193473193,1.156162465,1.136128121
Glucose,0.822399183,0.470907653,1.042309638,0.756382369
Glucuronic acid,1.060806431,7.951316443,0.647563777,1.985904921
Glutamic acid,1.075474422,1.346756919,1.325350776,1.116833221
Glutamine,0.723525368,1.377824982,0.811473589,0.70507084
Glutaric acid,0.887424492,1.116634799,1.096876447,1.709150327
Glyceric acid,1.35187638,1.249408768,1.016657716,0.97317314
Glycerol,1.484005226,1.204964185,1.398579995,0.818230411
Galactosylglycerol,0.719010074,1.11058264,1.156647993,1.588983051
sn-Glycero-3-phosphate,1.030957523,1.113010446,1.141776876,1.663668224
Glycine,0.928357407,1.162167041,1.033339497,0.989499232
Glycolic acid,1.12975044,1.374640523,1.093618143,1.171965066
Glycolic acid,2.113960114,0.736949846,1.200240624,1.384689922
Guanosine,0.762108262,1.670250896,0.939956212,0.774408284
Guanosine,1.477768091,2.380667066,0.652614699,0.835887612
Hippuric acid,1.321161269,0.568867341,1.180591703,2.044191971
Histidine,0.457442716,1.554838901,0.684637894,0.754817266
Hydroxylamine,0.883437764,1.197426618,1.109793116,1.384207871
Hypoxanthine,0.898815805,0.849442756,1.514782868,1.737492643
Indoleacetic acid,0.785103448,1.572013867,0.971969385,1.040773532
Indolelactic acid,0.727434679,0.917877997,1.003669568,0.912917576
Inosine,0.426795026,0.950191571,1.004118709,0.374779022
IMP,1.394415358,0.883071553,1.331221013,1.58683068
Myo-inositol,0.815117865,1.054052337,1.061203389,1.524973199
Inulobiose,1.927344134,1.741162723,1.147019041,1.635876623
Isocitric acid,0.881322477,1.228855721,1.276077813,1.154464838
Isoleucine,0.954541166,0.94773408,1.066134578,0.97073356
Isoleucine,0.688191882,1.218337218,1.385096748,1.313243458
D-Threonic acid,0.744194863,1.629878618,1.015551076,1.578974099
Kynurenine,0.638918534,1.546072975,0.838216819,3.308939096
Lactamide,1.15248227,0.778571429,1.254826255,1.241534989
Lactic acid,1.316460944,1.148182266,1.86552615,1.83748387
Lactic acid,0.862179487,1.150326797,1.202621723,1.086792453
Lauric acid,1.385975651,0.584112023,1.47837294,1.065175177
Leucine,0.903501949,1.307314423,1.003373139,0.993050186
Levanbiose,0.766709789,1.168075117,1.12406015,2.598447205
Glucosan,0.68487395,2.301851852,0.859503389,1.822573749
Lignoceric acid,1.03875969,1.913110342,1.097067415,1.580938178
Linoleic acid,1.991568142,0.76886691,1.710163378,1.352362205
alpha-Linolenic acid,1.807073955,1.119750195,1.75228345,0.955898852
Lysine,0.674392976,1.000399553,0.797342429,0.76786505
Lyxose,0.933938477,0.77294686,0.706930272,0.828205128
Maleimide,0.766334441,1.062859409,1.271671935,0.868623482
Malic acid,1.638733706,0.926178862,1.379659474,1.261780105
Malonic acid,4.204190027,1.301456444,0.831700436,0.966615067
Maltose,1.225663717,3.326553672,1.516062846,4.177001127
Maltotriose,1.853064652,3.113636364,1.359021942,3.474147122
Mannitol,0.618959691,0.659964556,0.485524918,1.060974032
Methanolphosphate,0.986754967,1.373113855,0.84940239,1.310085837
Methionine,0.962460808,1.508998578,0.843488349,0.906242134
Methionine sulfoxide,0.988731219,0.879934017,1.075668624,1.455177206
Methionine sulfoxide,1.175112251,1.144297417,1.113734991,1.037917069
Myristic acid,1.208003603,0.868506723,1.359547732,0.965588846
N-Acetylglutamic acid,1.207823129,1.75922565,1.090644652,1.158936009
N-Acetylglutamic acid,1.336774194,0.872305141,1.291117114,0.960613052
N-Acetyl-mannosamine,1.108063175,0.744691358,1.004172202,0.718676471
N-Methylalanine,1.051556203,0.911933109,1.093746135,1.151519764
Naproxen,17.35137615,253.0968661,0.18007125,0.141201402
Nicotinic acid,2.481186573,0.39220865,0.935914455,1.454856361
Stearyl alcohol,1.773234201,1.000445038,0.822908384,1.085487078
Oleic acid,1.784977989,0.751402244,1.732493382,1.388499299
Ornithine,0.852512013,1.116004438,1.211656732,0.767651085
Oxalic acid,2.627280505,0.357978564,1.02977928,1.777173845
Pyroglutamic acid,1.002779157,1.481515923,1.069160106,1.20099176
P-Cresol,0.693224932,1.834394904,0.94594341,0.861144308
Palmitic acid,1.108234008,1.091590567,1.157579792,1.209759148
Palmitoleic acid,1.961169463,0.893144389,1.964692117,1.309598885
Palmitoleic acid,2.076523031,0.375176305,0.96151924,1.678969359
Acetaminophen,29.47268409,33.08136483,1.271491352,0.195299838
Pelargonic acid,1.3107039,0.520084725,0.891789526,0.967588609
Phenylalanine,0.942388759,1.266124237,1.009167344,1.122960286
Phenylethylamine,0.721508141,1.35030303,1.319540875,1.065903354
Phosphoethanolamine,1.40999207,0.711046086,1.244821732,1.93272293
Pipecolic acid,0.864882401,2.062813407,1.272350143,0.521832192
Proline,0.523491249,2.045717946,0.985789944,0.562862275
Pseudouridine,0.844512454,1.813065632,1.085691374,1.346256475
Pyrophosphate,2.571428571,1.140172712,1.714616212,2.096096984
Pyruvic acid,1.089466314,1.002260939,1.160595946,1.175903054
Quinic acid,1.104960556,0.709404895,0.692086673,1.56923943
Ribitol,0.895273024,1.23487824,0.813882273,1.373875225
Glucaric acid,0.420189598,2.75257732,1.020774499,1.296428571
2-Hydroxybenzaldehyde,1.945551129,0.541889483,0.830229852,0.8036
Salicylic acid,1.239069158,67.72716763,2.499322435,3.266069929
Serine,0.88868467,0.953126467,0.998962239,1.152505084
Shikimic acid,1.285223368,1.521048999,0.614662722,0.52931975
Sorbitol,0.872086073,0.640822983,0.822232713,1.123311258
Stearic acid,1.022282538,1.211024433,1.101174245,1.034588009
Stigmasterol,1.018770227,1.738271605,1.204095732,1.164179104
Succinic acid,1.075506446,0.765432099,1.162777073,1.421033654
Sucrose,0.890170632,2.227074236,0.569888538,4.72530654
Fructose,0.753923415,1.406420765,0.867711473,1.466467377
Taurine,0.334689884,3.143995692,1.232589239,1.271084092
Threitol,0.785923754,1.310155535,0.842528768,1.431644967
D-Threonic acid,1.173328209,0.715547146,0.737404881,0.889157691
Threonine,0.846234715,1.115346288,0.93304527,0.923371833
Retinal,0.699469893,1.413318383,1.408217325,1.598660271
trans-4-Hydroxyproline,0.876439327,1.281244348,1.052982218,0.70966082
trans-4-Hydroxyproline,1.640726329,0.828897338,1.053754644,1.319609005
Tryptophan,0.421576511,0.911420271,0.792237004,0.76853132
Tyrosine,0.802444071,1.269230542,0.922936185,0.931355625
Urea,0.85288483,0.917005315,0.715743605,0.552888759
Uric acid,0.664445865,2.044507721,0.759970215,0.846628289
Uridine,0.776988156,0.954066582,1.0919696,1.014143426
Valine,0.885055982,0.970716556,0.980047641,0.903920706
Xanthine,1.287009063,0.979104478,1.257940612,1.029565868
Xylitol,0.551079381,0.76385503,2.307883899,1.027680653
Xylose,0.949308756,1.071368598,0.413268596,1.790683553
