,Adenocarcinoma_Current_F vs Healthy_Current_F,Adenocarcinoma_Current_M vs Healthy_Current_M,Adenocarcinoma_Former_F vs Healthy_Former_F,Adenocarcinoma_Former_M vs Healthy_Former_M
refmet_name,ratio,ratio,ratio,ratio
MG 16:0/0:0/0:0,0.905239327,1.537190083,1.321499014,0.777383367
MG 18:0/0:0/0:0,1.10207824,0.723183391,1.169997104,0.725454545
"1,5-Anhydrosorbitol",0.829721571,1.107687363,0.768191198,0.894361466
Aminoadipic acid,0.968678815,1.166101695,0.855582856,0.837809648
2-Deoxyerythritol,2.282756665,0.758344459,1.112452618,1.091157103
"3,4-Dihydroxybutyric acid",1.509538951,0.761154856,1.089942401,0.852251487
2-Hydroxybutyric acid,1.021026453,0.48971184,1.375584159,1.194315176
2-Hydroxyglutaric acid,1.807884856,0.492836676,1.102959476,1.593617021
Salicyluric acid,1.140756303,13.75543478,1.920619555,0.917016317
2-Hydroxyvaleric acid,0.739353312,0.803174603,1.180330816,0.771213263
Ketoleucine,0.894433066,0.82199341,1.06625136,0.867521601
Ketoleucine,0.459741993,1.288659794,0.791502409,0.657331137
MG 18:0/0:0/0:0,0.6496139,1.30958231,0.845400029,0.809680639
MG 18:0/0:0/0:0,0.980369515,1.617977528,0.966108007,0.977120823
MG 18:0/0:0/0:0,0.625277162,1.680203046,0.861454047,1.903921569
3-Amino-isobutanoic acid,0.802117599,0.637237762,1.120352321,1.051539912
3-Hydroxybutyric acid,1.374132418,0.679660039,2.233720997,1.688001398
3-Phosphoglyceric acid,1.858762887,3.653508772,1.742290749,0.996113602
p-Hydroxyphenylacetic acid,1.054740406,1.272727273,1.382646692,0.571621622
cis-4-Hydroxyproline,1.098239415,1.092180313,1.030310318,0.967144419
3-Phosphoglyceric acid,1.028392754,1.237399562,0.800973744,0.695619133
cis-4-Hydroxyproline,1.943370166,1.371134021,1.537028954,0.464348334
cis-4-Hydroxyproline,0.798977183,0.891133558,0.868660139,1.2294635
5-Methoxytryptamine,1.240610329,0.58896914,1.047278506,0.608170311
5-Methoxytryptamine,0.894900222,0.711640212,0.614267396,0.674662085
5-Methoxytryptamine,1.249136655,1.574934268,1.996383363,1.601590106
5-Methoxytryptamine,0.804523205,1.572264746,0.86269234,0.764575163
cis-Aconitic acid,1.166856492,1.158333333,0.82750243,0.611578947
AMP,2.272189349,1.126984127,1.165839537,0.772787611
Adipic acid,0.585791442,1.097424412,0.855017411,1.196112173
Alanine,1.029044043,1.542765209,0.861737065,0.983270008
Allantoic acid,0.759825328,0.80156658,1.010033445,0.609066306
Oxoglutaric acid,0.829154192,0.7359199,1.31551805,1.296048438
Aminomalonic acid,1.049771385,0.780638144,1.230051543,1.112712411
Arabinose,0.880007704,0.746320346,1.222954992,1.233433735
Arabitol,1.143493151,0.603550296,0.958609795,0.800429553
Arachidic acid,0.69875317,1.230323115,0.882308066,0.977493606
Arachidonic acid,1.043447955,1.112799263,1.484579871,1.337549702
Asparagine,1.199826322,1.068262952,1.03105898,1.086517884
Aspartic acid,1.387025046,1.016658202,1.804755496,1.507703879
Azelaic acid,3.102885525,1.011435832,2.107322404,3.93803681
Behenic acid,1.432377049,1.810747664,1.328700906,0.870245796
Benzoic acid,0.949757869,1.203726329,0.931475142,0.891687131
Benzyl alcohol,0.670240137,2.129920496,0.90194258,1.244463498
beta-Alanine,1.861895911,1.091509434,0.841694079,1.593666667
Sitosterol,1.151741294,1.229166667,1.184461153,0.552230686
"2,3-Butanediol",13.673,0.271661476,2.445085875,0.777327824
Capric acid,0.993040507,0.956888008,0.994623656,1.051721715
Caprylic acid,0.786178108,0.644813651,0.841609559,0.891648873
Cellobiotol,1.255941499,1.551307847,1.651922521,0.896825397
Cholesterol,0.905435159,0.826191523,1.142181474,0.826380362
Citric acid,0.922741263,0.72837298,1.047289487,0.839551161
Citrulline,1.27994012,1.098263889,0.701697046,0.942774566
Conduritol epoxide,2.03130713,0.879464286,0.978523357,2.12303969
Creatinine,1.162282679,0.922413793,0.833424141,0.799642161
Creatinine,0.544726302,1.300395257,0.843612335,0.571883289
Cysteine,0.794810713,1.045022624,0.983432422,0.807239752
Cys-Gly,0.901576395,0.881818182,0.888819747,0.768178786
Cystine,1.093722538,0.636585053,0.792364767,0.626272021
CDP,0.92278481,0.810580205,1.290123457,1.490371991
CDP,1.567008197,1.03526971,1.332470893,1.344797458
CDP,1.236627252,0.783678161,0.954054774,0.84585726
3-(3-Hydroxyphenyl)propanoic acid,0.49267637,1.62360515,1.245318134,0.911935141
Dodecanol,1.007399577,0.941514861,0.799602682,0.626418605
Erythritol,0.052630093,1.369409166,0.909182167,0.11081107
Ethanolamine,1.712111185,0.966322853,0.996544826,1.233476035
Fructose,0.288955353,1.144905886,0.296711587,0.926720648
Fucose,0.621363979,1.800726832,1.18068905,1.034259838
Fucose,0.921286031,1.101604278,1.066957435,0.85141844
Fumaric acid,1.10738255,0.694551036,1.05380643,0.758696555
Galactonic acid,0.958664547,0.8992891,0.925664096,0.911821561
Galactose 6-phosphate,0.860406091,1.480769231,0.944240944,0.698387097
gamma-Glutamylvaline,0.942022263,0.812286689,0.958016343,0.853442029
gamma-Tocopherol,0.556296421,2.420717131,1.528074947,0.920329322
Gluconic acid,0.942477876,0.871727749,0.937677786,0.884065934
Glucose,1.049309498,0.379079168,1.024887506,0.78093604
Glucuronic acid,1.341340076,2.266365688,0.751147431,0.813136016
Glutamic acid,1.3294111,0.810219567,1.8568818,1.372142809
Glutamine,1.136939903,1.244703911,0.881053828,0.82260653
Glutaric acid,1.434482759,1.561983471,1.08819813,0.900244499
Glyceric acid,1.621904463,0.81494839,0.68651379,0.867361948
Glycerol,1.388879167,1.141044481,1.42434901,0.984340491
Galactosylglycerol,0.675914634,0.543165468,0.68787366,0.583275434
sn-Glycero-3-phosphate,1.42341119,0.640909091,1.324642242,1.283282937
Glycine,1.058874404,1.136189254,1.080737796,1.036277702
Glycolic acid,0.831459703,1.245810056,1.011540169,0.916681534
Glycolic acid,1.067293233,1.029411765,1.625897938,1.155628559
Guanosine,1.228940217,1.054945055,1.003752985,0.793006993
Guanosine,1.202792553,1.872786885,0.649193362,0.730481779
Hippuric acid,0.924656835,0.424899875,1.10304733,1.522387879
Histidine,1.530257776,0.918299788,0.872604898,0.972866789
Hydroxylamine,1.316150733,1.182975754,0.786141678,1.168235194
Hypoxanthine,1.377833057,0.865235385,1.70876136,1.019077404
Indoleacetic acid,1.294253356,1.247371879,0.743566771,0.89414298
Indolelactic acid,0.722655101,0.703892493,0.958238228,0.869156415
Inosine,1.655626496,1.318965517,0.735859891,0.112439076
IMP,0.987426036,1.410358566,0.999151824,0.856666667
Myo-inositol,0.971111479,0.808844438,0.912878122,1.041069535
Inulobiose,3.095777027,0.685689201,1.008156257,0.660841984
Isocitric acid,0.791518808,0.768187423,0.857829543,0.71407767
Isoleucine,1.117293353,0.915290598,1.01583032,0.962822798
Isoleucine,0.928679818,1.091603053,1.414237288,0.924793388
D-Threonic acid,0.786276224,1.213218391,0.928410709,0.835703043
Kynurenine,2.647759104,2.847856155,0.949822108,3.884441489
Lactamide,0.95478352,1.063169165,1.131490342,0.754250822
Lactic acid,0.965811449,0.903191661,1.354376971,1.210610626
Lactic acid,0.732107356,1.528138528,1.126749905,0.681504065
Lauric acid,0.893430371,0.784569217,1.455351505,1.85570237
Leucine,0.987637,1.057148748,0.983763443,0.943042237
Levanbiose,1.266055046,0.516666667,0.952297593,0.72183908
Glucosan,0.465517241,1.749329759,0.844976526,1.187119857
Lignoceric acid,1.015163934,4.01362862,1.071510297,1.082051282
Linoleic acid,1.285615171,0.694437389,1.916318887,1.254389521
alpha-Linolenic acid,0.954137393,0.586232558,1.840550384,0.924127812
Lysine,1.135240108,1.000058438,0.895959638,0.819271453
Lyxose,0.350949205,1.23556582,0.617349185,0.850902935
Maleimide,0.95559489,0.972630627,1.236795435,0.867107943
Malic acid,2.255454545,0.861333333,1.508045977,1.113880368
Malonic acid,2.207005297,1.111060329,0.765841719,1.108544977
Maltose,1.053739892,1.568011958,2.046213476,1.726136364
Maltotriose,1.211330935,1.14213198,1.731539611,1.134904014
Mannitol,1.090716083,0.601696343,0.489254905,0.756882675
Methanolphosphate,0.968214075,1.912735849,0.989279481,1.033443983
Methionine,1.109100642,1.171701113,0.919923805,0.987839388
Methionine sulfoxide,0.596417826,0.835943941,0.994683921,1.186650209
Methionine sulfoxide,0.760756544,1.063406408,1.026011976,0.94126462
Myristic acid,0.697925226,1.267793305,1.356653683,1.158934221
N-Acetylglutamic acid,1.024364407,0.947528517,1.090548579,0.751712753
N-Acetylglutamic acid,1.51384083,1.463963964,1.14079953,0.825944334
N-Acetyl-mannosamine,1.046273292,0.927272727,0.978632479,0.4492891
N-Methylalanine,1.188809082,0.809137082,0.951980017,0.907026441
Naproxen,56.26495399,142.6158416,0.197818193,0.093356869
Nicotinic acid,0.444578313,1.256857855,0.959136469,0.591607565
Stearyl alcohol,1.197820343,1.290178571,0.737044674,0.994366197
Oleic acid,1.009760705,0.872654438,2.183526938,1.355202347
Ornithine,1.185986951,0.857700073,1.140431776,0.872559823
Oxalic acid,0.168620216,0.675891227,0.676951044,0.822891963
Pyroglutamic acid,1.238206721,1.021987481,0.992749361,1.0916915
P-Cresol,0.612968663,2.310091379,0.791086185,1.2523129
Palmitic acid,0.731939568,1.412963011,1.213750084,1.149834887
Palmitoleic acid,1.523458545,1.061443374,2.221135701,1.321138291
Palmitoleic acid,0.712114439,0.787164907,0.960131076,0.7213221
Acetaminophen,49.6342711,28.468,1.564344692,0.514876033
Pelargonic acid,1.197126661,0.757814169,0.878296569,1.016275455
Phenylalanine,1.328716335,1.022207707,1.119031511,1.273607305
Phenylethylamine,0.955567452,1.265426053,1.102061529,0.836222732
Phosphoethanolamine,0.843141798,0.660824742,0.90122164,0.786592951
Pipecolic acid,1.348963954,1.370890774,1.245633593,0.415031175
Proline,0.893637583,1.248258725,0.970118835,0.753193495
Pseudouridine,0.945667841,1.614349776,1.097316094,0.895001377
Pyrophosphate,1.527857143,1.380118787,1.110812857,0.71372077
Pyruvic acid,0.634051666,0.619256704,0.832645847,0.798834197
Quinic acid,1.147284534,0.568563242,0.640031259,1.976733305
Ribitol,0.881918819,1.366013072,0.586712774,0.59349096
Glucaric acid,0.430900621,1.470588235,0.861438816,0.816455696
2-Hydroxybenzaldehyde,0.471873293,0.522349936,0.844277,1.092091008
Salicylic acid,2.06378892,49.25557207,4.486689028,9.125543006
Serine,1.175834984,0.8207236,1.153689784,1.234251444
Shikimic acid,1.443586172,0.834114496,1.048196141,1.412239722
Sorbitol,1.208397683,0.400073073,1.011467999,1.147370534
Stearic acid,0.740845719,1.305100788,0.970147176,1.030581265
Stigmasterol,0.561290323,1.174050633,0.750863965,0.772362869
Succinic acid,1.186141304,0.870967742,0.972948804,1.093464052
Sucrose,1.083240535,2.027522936,0.636053298,1.919536757
Fructose,0.810033507,1.274599542,0.787928222,0.966009056
Taurine,0.923513925,0.853963171,1.357274154,1.153244626
Threitol,0.681693364,1.075980392,0.782731516,0.896944824
D-Threonic acid,1.848557692,0.592114301,0.723009252,0.619024646
Threonine,0.965464525,0.883356788,0.954299838,0.978373821
Retinal,0.923484362,1.09884622,1.450898634,0.98643486
trans-4-Hydroxyproline,1.07605178,1.349530831,0.878577836,0.620956522
trans-4-Hydroxyproline,0.728221416,1.21719457,1.04275633,0.645379877
