,Cancer vs Benign_M&F,Cancer vs Benign_Male,Cancer vs Benign_Female
compound name,ratio,ratio,ratio
MG 16:0/0:0/0:0,1.6801,1.7086,1.6189
MG 18:0/0:0/0:0,1.5456,1.5764,1.4781
2-Hydroxybutyric acid,1.1546,1.141,1.207
2-Hydroxyglutaric acid,0.8716,0.8976,0.8201
2-Hydroxyvaleric acid,0.9781,1.0102,0.9212
Ketoleucine,0.9897,0.9758,1.0428
Ketoleucine,1.0168,1.0165,1.0241
MG 18:0/0:0/0:0,1.064,1.1099,0.9764
MG 18:0/0:0/0:0,1.1693,1.1546,1.2579
3-Amino-isobutanoic acid,1.3009,1.2269,1.4561
3-Hydroxybutyric acid,0.6315,0.6706,0.5607
"3,6-Anhydro-galactose",0.9038,0.9147,0.8898
beta-Alanine,1.3668,1.355,1.3749
cis-4-Hydroxyproline,0.9981,1.0355,0.9231
5-Methoxytryptamine,1.036,1.1293,0.868
5-Methoxytryptamine,1.1099,1.1789,0.9825
Alanine,1.0836,1.0792,1.0917
(S)-alpha-Terpineol,1.1286,1.1073,1.1526
Oxoglutaric acid,0.978,0.8924,1.3229
Aminomalonic acid,1.3944,1.4402,1.3067
Arabinose,1.0259,1.1661,0.7988
Arabitol,1.076,1.195,0.8787
Arachidic acid,1.1551,1.1305,1.237
Arachidonic acid,1.1834,1.4113,0.8542
Asparagine,1.0957,1.1244,1.0257
Aspartic acid,1.1293,1.2024,0.9945
Benzoic acid,1.0055,1.0569,0.9073
beta-Alanine,1.1136,1.1005,1.1152
beta-Alanine,1.095,1.0611,1.1532
Capric acid,1.0051,1.0469,0.9188
Caprylic acid,0.8653,0.8165,0.9932
Cholesterol,1.3181,1.4654,1.0599
Citric acid,1.1003,1.1535,0.9998
Citrulline,1.039,1.0337,1.0248
Conduritol epoxide,1.1778,1.3323,0.8905
Conduritol epoxide,1.0198,0.9894,1.0659
Creatinine,1.1673,1.2015,1.0986
Cysteine,0.8966,0.8651,0.9898
Cys-Gly,0.9481,0.8714,1.1509
Cystine,0.9398,0.9124,0.9877
Dihydroabietic acid,1.0808,1.0739,1.0895
Erythritol,3.4323,1.5773,5.9833
Ethanolamine,0.4718,0.3918,1.0195
Fructose,0.736,0.8232,0.5774
Fructose,0.6856,0.6339,0.886
Fumaric acid,0.9509,1.1397,0.6685
Galactonic acid,0.9533,0.9413,0.9821
gamma-Tocopherol,1.1078,1.3379,0.745
Gluconic acid,0.9166,0.9436,0.8572
Glucose,0.8605,0.9006,0.7894
Glucuronic acid,1.1314,1.4123,0.7563
Glutamic acid,1.1351,1.1624,1.0656
Glutamine,1.0835,1.0111,1.2518
Glyceric acid,1.1781,1.2711,1.014
Glycerol,0.9758,0.8529,1.2779
Galactosylglycerol,1.4255,1.5167,1.2585
sn-Glycero-3-phosphate,1.132,1.2774,0.9034
Glycine,1.212,1.2722,1.097
Glycolic acid,0.9163,0.9577,0.8375
Glycolic acid,0.9669,1.1279,0.7421
Histidine,1.1315,1.0848,1.2043
Hydroxylamine,1.0098,0.9498,1.1514
Indoleacetic acid,1.3079,1.2496,1.4583
Indolelactic acid,1.0916,1.0289,1.2664
Inosine,1.13,1.2025,0.9959
Inosine,0.9646,1.0305,0.8445
Inulobiose,0.9979,1.3072,0.6813
Isocitric acid,0.9498,0.9384,0.9764
Isoleucine,1.136,1.1745,1.0557
D-Threonic acid,1.0444,1.1187,0.9107
Kynurenine,1.073,1.1397,0.9498
Lactamide,0.9572,1.0237,0.8362
Lactic acid,1.0734,1.11,1.0018
Lactobionic acid,1.1551,1.0386,1.4982
Lauric acid,0.9343,0.8777,1.0464
Leucine,1.1195,1.1461,1.0557
Glucosan,0.9596,0.5835,2.0431
Linoleic acid,1.3398,1.2258,1.5696
Lysine,1.1854,1.2877,1.0085
Maleimide,1.2257,1.3229,1.0507
Malic acid,0.969,0.995,0.9205
Maltose,1.1424,1.1763,1.0923
Mannose,0.8058,0.86,0.7068
Methanolphosphate,1.2782,1.3889,1.0817
Methionine,1.1341,1.134,1.1152
Methionine,1.1318,1.1232,1.1488
MG 18:1,1.1911,1.2083,1.1455
Myristic acid,1.1297,1.0393,1.3021
Myristic acid,1.1194,1.0999,1.1921
N-Acetyl-mannosamine,0.8842,0.8277,1.0201
N-Methylalanine,1.0199,1.0631,0.9403
Stearyl alcohol,0.981,0.9528,1.0235
Oleic acid,1.4375,1.3703,1.52
Ornithine,1.0167,1.0242,0.9869
Oxalic acid,0.9919,1.0659,0.8598
Pyroglutamic acid,1.0345,1.1419,0.8563
Palmitic acid,1.1474,1.067,1.3191
Palmitoleic acid,1.7452,1.5527,2.0012
Pelargonic acid,0.9643,0.9924,0.9065
Phenylalanine,1.1292,1.1674,1.0474
Phenylethylamine,0.8239,0.8422,0.7886
Pipecolic acid,0.9956,1.0107,0.9737
Proline,1.0487,1.0141,1.1257
Pseudouridine,0.9961,1.0229,0.94
Quinic acid,1.1822,1.3822,0.8757
Ribitol,1.009,1.1857,0.7437
Ribose,1.1123,1.4764,0.6803
Salicylic acid,0.7893,4.3988,0.0568
Serine,1.1759,1.1872,1.143
Shikimic acid,0.9006,0.9385,0.8313
Stearic acid,1.1052,1.0338,1.2709
Succinic acid,0.9057,0.8778,0.9924
Sucrose,0.7504,0.5484,1.629
Fructose,0.7882,0.9121,0.5812
Taurine,1.1436,1.2572,0.9513
D-Threonic acid,1.1746,1.1901,1.1534
Threonine,1.1438,1.1897,1.0524
Retinal,1.2628,1.3214,1.1529
trans-4-Hydroxyproline,0.9612,1.0043,0.8822
Tryptophan,1.1033,1.0488,1.2156
Tyrosine,1.1364,1.144,1.103
Urea,0.8684,0.8781,0.8475
Uric acid,0.9823,1.0068,0.9388
Uridine,1.0394,1.079,0.9615
Valine,1.0762,1.1173,0.9959
Xanthine,1.0052,1.0699,0.8868
Xylitol,1.3053,1.4933,0.9746
Xylose,0.8633,0.8454,0.8965
