,cancer_M_Former vs control_M_Former,cancer_F_Former vs control_F_Former,cancer_M_Current vs control_M_Current,cancer_F_Current vs control_F_Current
refmet_name,ratio,ratio,ratio,ratio
MG 18:0/0:0/0:0,20.14965986,1.236481615,5.114690722,1
"1,5-Anhydrosorbitol",0.836597712,1.055581072,1.06362812,1.046414816
2-Deoxyerythritol,1.468340611,0.827774883,0.849068323,2.095238095
"3,4-Dihydroxybutyric acid",1.31897712,1.704301075,1.047103978,1.010067114
2-Hydroxybutyric acid,0.823869978,1.306490268,0.904943467,1.497627672
2-Hydroxyglutaric acid,4.086553323,0.081861771,1.517294389,1.643939394
Salicyluric acid,2.593687375,1.387755102,1.054313099,1.716216216
2-Hydroxyvaleric acid,1.302289166,0.989518748,1.439336955,1.059059059
2-Hydroxyvaleric acid,0.863660477,0.581884058,1.187769784,0.873563218
Ketoleucine,0.793677672,1.008966656,0.970897928,1.142693846
MG 18:0/0:0/0:0,0.988235294,0.925110132,1.207573633,1.153153153
"2,4-Diaminobutyric acid",1.30281844,1.324702589,0.914912281,0.535699546
3-(3-Hydroxyphenyl)propanoic acid,0.703406814,2.130496454,0.456413656,0.670454545
3-Amino-isobutanoic acid,0.937007874,1.212169034,1.147305389,0.670355271
3-Hydroxybutyric acid,0.851560926,1.004502165,0.688027509,1.356575463
3-Hydroxybutyric acid,3.001598907,0.970471968,0.824588989,0.609556208
3-Phosphoglyceric acid,1.934916447,1.184979138,2.186157518,1.588652482
3-Phosphoglyceric acid,0.942430704,0.905800958,0.440857932,0.220930233
5-Methoxytryptamine,3.539541759,1.275696446,4.080103359,3.194029851
Acetoacetic acid,0.91415415,0.969588551,0.955737705,0.99879952
cis-Aconitic acid,0.889971579,0.937198068,1.067981318,1.095057034
AMP,5.407859079,1.724884793,3.880306604,0.975476839
Alanine,0.874942653,1.166137415,0.946596799,0.873665146
Alanine,1.441649485,1.119109948,0.871881607,0.569593148
Oxoglutaric acid,1.318318966,1.648249453,1.190045249,1.038897893
Aminomalonic acid,1.09492969,0.882275464,0.852817351,0.467874396
Arabitol,1.147110078,1.599559956,1.099437876,0.121416526
Arachidic acid,0.887694175,1.055162074,0.958198082,0.81562444
Arachidonic acid,1.126641651,0.584105588,0.886185369,0.485792851
Asparagine,0.776888935,0.883868604,0.745952197,1.043099274
Aspartic acid,1.530500831,1.353450189,1.730438648,0.671977507
Azelaic acid,1.063327032,0.958781362,1.148061105,1.318518519
Behenic acid,1.00602704,0.840717891,0.676811968,0.618681319
Benzoic acid,0.96043025,0.731256437,0.851803944,0.873550525
beta-Alanine,1.098108055,1.398040639,1.580476467,1.794768612
beta-Alanine,1.253569883,1.265783664,1.228279757,1.493087558
beta-Alanine,1.967276977,0.79834462,1.006350757,1.006514658
Capric acid,1.027671541,1.540640394,0.905390539,0.870848708
Caprylic acid,1.0752102,0.834946237,0.754203286,0.809128631
Cellobiose,1.236246858,0.930091185,1.315129151,2.853571429
Cholesterol,0.967637926,0.848438945,0.944003571,0.939607878
Citric acid,0.950567914,0.979788552,0.991922064,0.670785296
Citrulline,0.706373293,0.939914163,0.658719683,0.988919668
Conduritol epoxide,2.669872896,4.981020166,2.051778478,0.986394558
Creatinine,0.809593065,1.016083863,0.908582679,1.437602291
Cysteine,0.643339343,1.244662615,1.607877208,1.024679171
Cys-Gly,0.986101919,1.096340553,1.646605681,0.76635514
Cystine,0.764292425,1.150537634,0.751919171,0.78426148
Dehydroascorbic acid,0.90845627,0.958428061,1.075949367,0.873259053
1-Deoxy-D-ribitol,0.854096521,1.475423729,1.409642733,1.21
