,cancer_F_Current vs control_F_Current,cancer_M_Current vs control_M_Current,cancer_F_Former vs control_M_Former,cancer_M_Former vs control_M_Former
refmet_name,ratio,ratio,ratio,ratio
MG 18:0/0:0/0:0,2.933333333,2.479406308,3.931714719,0.294737447
"1,5-Anhydrosorbitol",1.106029645,1.048369376,1.153857904,0.774142856
2-Deoxyerythritol,1.306976744,0.828591256,0.79934112,1.351189102
"3,4-Dihydroxybutyric acid",1.082621083,1.166936791,1.347297297,1.385994026
2-Hydroxybutyric acid,1.385986072,0.848383303,1.324397292,0.827749604
2-Hydroxyglutaric acid,0.808080808,0.883054893,0.683673469,0.938749194
Salicyluric acid,0.757009346,1.035105316,1.277777778,2.109257266
2-Hydroxyvaleric acid,1.371390195,1.222329659,1.077719382,0.894032054
2-Hydroxyvaleric acid,0.917721519,1.350199734,1.118126273,1.105986261
Ketoleucine,1.888111888,0.919911526,1.308385667,0.717960211
MG 18:0/0:0/0:0,0.692640693,0.995515695,0.948156682,0.774519717
"2,4-Diaminobutyric acid",0.587044534,0.673614191,1.409957627,0.669521214
3-(3-Hydroxyphenyl)propanoic acid,0.700934579,0.411972964,2.102749638,0.583988894
3-Amino-isobutanoic acid,0.791594704,1.058855645,1.093726662,0.947944112
3-Hydroxybutyric acid,1.577114428,0.693208939,0.958845005,0.799890384
3-Hydroxybutyric acid,0.649297753,0.80992603,0.983532981,3.077520426
3-Phosphoglyceric acid,0.923076923,1.066945607,1.023696682,0.945828819
3-Phosphoglyceric acid,0.23255814,0.491565787,0.911810211,0.995411529
5-Methoxytryptamine,4.480769231,1.582249426,2.01773399,0.872723422
Acetoacetic acid,1.094233474,0.760670985,1.186448823,0.841603053
cis-Aconitic acid,1.313609467,1.032755299,0.848,0.912893701
AMP,1,0.545854732,1.410672854,1.684414327
Alanine,0.919371536,0.986669681,1.141303788,0.910071449
Alanine,0.969230769,1.01589404,0.773234201,0.979112272
Oxoglutaric acid,1.64516129,0.997865528,1.811258278,1.241079199
Aminomalonic acid,0.565919578,0.938686438,1.153924451,0.991231314
Arabitol,0.193009709,0.979473684,1.532302814,1.068877932
Arachidic acid,0.832063838,1.113534509,0.40075358,0.731290131
Arachidonic acid,0.344551282,1.019723221,0.640402782,1.613924051
Asparagine,1.147679325,0.944714924,0.871528262,0.970319001
Aspartic acid,1.399125364,2.962243198,1.539800418,3.167925424
Azelaic acid,0.902222222,1.204694323,1.0247557,1.97790315
Behenic acid,1.082212257,0.564404582,0.248671222,0.8503228
Benzoic acid,0.793823277,0.956062405,0.82038835,0.93598782
beta-Alanine,1.913461538,1.505894737,1.794553707,1.218367347
beta-Alanine,1.348888889,1.259699625,1.343618513,0.855278766
beta-Alanine,1.03500761,1.144927536,1.630477436,1.290003801
Capric acid,0.885245902,0.925871667,1.311672684,0.99407302
Caprylic acid,0.802439024,1.123906361,1.077742065,1.114759192
Cellobiose,3.198606272,1.437450515,1.339494163,1.294816102
Cholesterol,1.154222576,0.862042333,0.921392115,0.773163897
Citric acid,0.645390071,0.99041728,0.98535232,0.958070528
Citrulline,1.068396226,1.146638006,0.955060241,1.097538845
Conduritol epoxide,1.195652174,2.168875588,5.7303989,2.753691033
Creatinine,0.947677332,1.001476451,1.087644974,0.933528743
Cysteine,1.043222927,0.883522111,1.085141903,0.712477168
Cys-Gly,0.731261426,1.092463092,0.867588933,0.726937269
Cystine,0.797065222,0.89651317,1.137046941,0.930857034
Dehydroascorbic acid,1.204358068,1.282421875,0.994502315,0.531782276
1-Deoxy-D-ribitol,0.894871795,1.740672783,1.343401182,1.510558069
Diglycerol,0.965517241,1.122822205,0.336049161,1.598460392
Dodecanol,1.152838428,1.143347051,0.929752066,1.127671541
Epsilon-caprolactam,1.021641118,0.817950458,1.039881832,0.80997921
Erythritol,1.084962106,0.435651828,1.012465497,1.916838691
Fructose,17.87352626,0.247175728,0.138823875,1.267368658
Fucose,0.568296796,1.011491611,1.222485769,1.002420775
Fumaric acid,1.374331551,1.138098122,0.89703154,0.88537192
Galactinol,3.379032258,0.935960591,1.01511879,0.813160032
Galactitol,0.2264,1.535881435,1.008468835,0.385369081
Glucoheptulose,0.922141119,0.964058235,0.932114883,0.820917983
Gluconic acid,1.124590164,1.032552083,1.298662704,1.910675381
Glucose,1.076809335,0.967592078,0.976139027,0.877208426
Glutamic acid,1.296623377,1.695272671,1.581231735,1.396171869
Glutamine,0.64576069,0.82139702,1.397810176,0.616189781
Glyceric acid,1.03310962,0.969596062,0.781606464,1.196381794
Glycerol,0.522368087,1.05219411,1.651162957,0.781370852
Galactosylglycerol,1.274647887,0.745012695,0.80108055,0.898892774
sn-Glycero-3-phosphate,2.248120301,1.041237113,0.292493049,1.599595551
Glycine,0.718900612,0.899201006,0.679730492,1.125393432
Glycolic acid,1.413432836,1.058389957,0.821460775,0.903900244
Margaric acid,0.632987439,1.009208937,1.041803049,0.882159233
Sorbitol,1.001855288,0.236514709,0.78975422,0.701592563
Hexuronic acid,0.854447439,0.916564354,1.039385848,1.554260881
Hippuric acid,1.66751269,0.445736434,0.768418406,0.764601222
Histidine,0.845676472,0.970351377,1.497714498,0.999447605
Histidine,0.684803002,1.042704626,1.249472944,1.002940266
Hydroxylamine,0.710783443,1.163769185,0.976379516,1.134188784
Hypoxanthine,1.043938592,1.848945254,1.488239906,1.423041011
Indoleacetic acid,0.924195223,0.762211669,0.656445461,1.143599644
Indolelactic acid,0.715909091,0.75248083,0.983742078,1.133188661
Indoxyl sulfate,0.93495935,1.648021828,1.801291248,1.774644309
Inosine,0.611650485,0.741777778,0.5712,0.474296348
Isocitric acid,1.056206089,1.08984375,1.110946746,0.973323361
Isoleucine,1.3719467,1.178293804,0.882890106,1.003711812
D-Threonic acid,0.963344788,1.364692773,1.090960135,1.265920494
Lactamide,1.344569288,1.956475744,0.655900197,2.669705377
Lactic acid,1.797106421,1.464146184,1.217200962,1.235322297
Lauric acid,0.552606454,1.016951354,1.653492924,0.892368601
Leucine,1.237301743,1.174293309,0.889151362,1.018611549
Glucosan,0.093788666,1.026604069,1.580663294,1.245614035
Linoleic acid,0.140416048,0.83728058,1.218926554,0.981569102
Lysine,0.972134901,1.108033114,0.983055294,0.928260943
L-Arabitol,0.817840767,1.106698402,1.065671247,1.120479013
Malic acid,1.286764706,1.420607267,1.282051282,1.309685134
Maltose,2.231092437,6.447390224,0.39768222,0.982142857
Maltotriose,1.04950495,1.957203994,0.91588785,1.229695431
Mannitol,6.100220264,0.969300869,0.812979442,0.658533685
Mannose,0.721194928,0.948223573,0.968792236,1.143576802
Methanolphosphate,0.818910256,1.184599156,0.680120622,0.915845456
Methionine,1.265811348,0.92303114,1.090920793,0.988077777
Methionine sulfoxide,0.67759901,0.7943379,0.567598253,0.978495294
Myo-inositol,0.848075858,1.062594567,0.909834692,1.104529336
Myristic acid,0.405559444,0.692611368,1.531951252,0.828119715
N-Acetylserotonin,1.418604651,1.241232731,0.829228243,1.04748062
N-Acetylserotonin,0.723756906,0.923019985,0.697452229,0.971089696
N-Acetylornithine,1.025,0.888757396,0.949903661,0.757769653
N-Methylalanine,0.677372263,0.663282519,1.087691561,0.73828194
Naproxen,1.155963303,0.026748916,0.007686395,0.273070206
Nicotinic acid,1.333333333,0.867313916,1.070967742,0.945663532
Nornicotine,0.23255814,0.48453997,0.892367906,1.025589419
Stearyl alcohol,0.684587814,1.074213836,0.884964682,0.69425119
Oleic acid,0.135272727,0.967252053,1.343075649,1.057403828
Ornithine,1.208341524,1.159393674,1.159326678,1.116517659
Oxalic acid,0.386792453,1.137537538,0.850956333,1.720856102
Pyroglutamic acid,0.747115334,1.192837993,0.630536291,1.706157381
P-Cresol,0.892588543,0.98936613,0.935523126,0.86832902
Palmitic acid,0.554299098,1.018820868,1.126428126,0.901461844
Palmitoleic acid,0.230178069,0.987195077,1.721691366,1.084589537
Palmitoleic acid,1.062590975,0.759811353,1.218849116,0.724989819
Pelargonic acid,0.680398522,1.014307912,1.288586327,1.027495735
Phenol,1.56601467,1.354356008,1.225710124,1.36816472
Phenylalanine,1.261660285,1.2656519,0.887057629,1.257020917
Phenylethylamine,0.637614679,0.607959744,0.777828887,0.899406016
Phosphoric acid,0.675986669,1.065744108,0.939856698,0.875532883
Phosphoethanolamine,0.868965517,0.981206726,1.116054159,1.026574803
Pipecolic acid,2.537785589,0.246192078,1.035549525,1.203924989
2-Piperidinone,1.867346939,0.603233256,0.439712058,1.058070416
Proline,1.264740308,0.975245915,0.945219529,0.957801879
Proline,1.024926686,1.159159159,1.030831099,1.062962963
Pseudouridine,0.723404255,1.271361027,0.909402883,1.192423106
Pyrophosphate,0.752597833,0.937129705,1.786118526,1.447432763
Pyrrole-2-carboxylic acid,0.838709677,0.769110764,1.187207488,1.043737575
Pyruvic acid,6.95132128,1.448144382,4.878620241,0.714994972
Quinic acid,0.118678017,0.369667338,0.567437493,1.071310956
Ribose,1.013986014,1.535699714,1.019547954,0.933400605
2-Hydroxybenzaldehyde,0.763754045,0.98047138,1.176193679,1.158128079
Salicylic acid,0.812883436,1.055722349,2.517005196,3.426294091
Serine,0.738827337,1.159380068,0.847541847,1.31584036
Shikimic acid,4.359162304,1.078321351,0.800146413,1.450503135
Stearic acid,0.637557292,1.052118702,1.031129792,0.866049362
Sucrose,2.038043478,0.802158273,2.164750958,1.004707729
Tartaric acid,1.336633663,1.442010309,0.301300578,1.05530303
Taurine,0.861328737,1.596719609,1.307470251,1.674283649
Threitol,1.031539889,1.185174746,0.994235204,1.188472095
D-Threonic acid,0.552079499,0.959874684,0.516266568,1.193682412
Threonine,0.66172353,1.012818562,0.797261513,0.851617931
Retinal,1.302653678,0.918849115,0.724012945,0.731456575
gamma-Tocopherol,0.943915344,1.046927212,0.966047406,0.744349182
trans-4-Hydroxyproline,1.08405054,1.286947716,0.757316175,1.367654298
Tryptophan,0.913446339,0.943097553,0.864214911,0.885310421
Tyrosine,1.326675175,1.006564073,0.762494019,1.041550491
UDP-glucuronic acid,0.077996195,1.019678923,2.281173594,0.74035503
Urea,0.939363313,0.810297679,1.223986017,1.225194005
