,Squamous cell vs control_M&F,Other NSCLC vs control_M&F,Adenocarcinoma vs control_M&F,Squamous cell vs control_M,Other NSCLC vs control_M,Adenocarcinoma vs control_M,Squamous cell vs control_F,Other NSCLC vs control_F,Adenocarcinoma vs control_F
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
"1,2,4-Trihydroxybenzene",1.066832197,1.255910526,0.965979441,1.069422864,1.24332801,0.980609467,0.857769979,1.21879759,0.8858454
"1,5-Anhydrosorbitol",1.020582971,1.135603462,1.155023903,0.956239025,1.115901974,1.236524616,1.288444271,1.024727587,0.916611659
2-Deoxyerythritol,0.442416982,1.440381259,0.918610907,0.4529758,1.176061926,0.886462462,0.374367263,2.060214537,0.933877098
"3,4-Dihydroxybutyric acid",1.13286084,1.085900686,1.005597765,1.139730736,1.073687376,0.994212195,1.021066059,0.986344555,0.973617753
2-Hydroxybutyric acid,1.029456893,1.058781109,0.918268994,0.998419822,1.003677363,0.778627047,1.035141857,0.967830434,1.119233043
Salicyluric acid,0.974606964,0.913455154,1.045245493,0.99232929,0.887574124,1.13137067,0.825549428,0.930147102,0.820257444
2-Hydroxyvaleric acid,1.209810554,0.793832663,1.577522683,1.181462366,0.81662946,1.474639594,1.203933091,0.491838763,1.619236249
Ketoleucine,1.022321908,0.977035668,0.987829396,0.997486059,0.971207216,0.931089816,1.019600895,0.717253911,0.998715186
"1,5-Anhydrosorbitol",1.085176651,1.004934716,0.997798353,1.042629239,0.992719054,0.908011903,1.155753592,0.982554312,1.138014263
3-Amino-isobutanoic acid,1.007048866,0.984517349,0.957864214,1.011262749,0.992814036,1.016121669,0.926539911,0.96563641,0.825591955
3-Hydroxybutyric acid,0.773424727,1.023253638,1.017613274,0.720394439,0.886217452,1.017310183,0.688355554,1.009240708,0.753291332
Hydroxypropionic acid,1.030366684,1.076358378,0.982110869,1.053025803,1.056042877,0.929765302,0.905758112,1.026687973,1.057695629
cis-4-Hydroxyproline,0.944956229,0.9310698,0.945507951,0.895540329,0.86859344,0.976094137,1.052075261,0.925220329,0.77642037
cis-4-Hydroxyproline,0.958745411,1.083227544,1.774244838,0.97496994,1.100785648,2.143345904,0.841752176,0.87798418,0.910573232
5-Methoxytryptamine,0.952388917,1.314335108,0.812618803,0.919792424,1.259802297,0.763189326,0.716851873,1.697037086,0.908373424
5-Methoxytryptamine,0.820679649,1.108819708,0.833408515,0.711888257,1.16971936,0.940004319,1.448539574,0.905977853,0.649116947
Adipic acid,0.94944638,0.903438874,0.838708582,0.922252415,0.836758762,0.853645372,0.91519864,1.041284553,0.744467784
Alanine,1.042609498,1.026904625,0.916516405,1.050621885,1.051350167,0.835346305,1.071371156,0.885388748,1.082228183
Aminomalonic acid,1.399895516,0.749314459,1.163827925,1.348184014,0.925217331,1.247561512,2.139080385,0.165468798,1.082002088
Arachidonic acid,0.960216341,1.020802632,1.157414535,0.932007937,1.041685903,1.120982689,1.055117893,0.974908335,1.23494991
Asparagine,0.998722056,1.04423354,0.983782138,1.015083275,1.058336829,0.912779004,0.90221447,0.921609672,1.109754293
Aspartic acid,1.09959922,1.280266329,1.035747247,1.058311101,1.258153856,0.974681549,1.192943767,1.23393871,1.118935413
Benzoic acid,1.01377075,0.996245053,1.089916721,0.991391628,0.975852288,1.076872862,1.102293496,1.001797644,1.090358179
Benzyl alcohol,1.29508679,1.161081852,0.784560937,1.17695883,1.082971106,0.830196792,1.620373389,1.575038156,0.679618368
beta-Alanine,0.830078986,0.737680781,0.727522998,0.758657479,0.717231328,0.660115114,0.766122574,0.381481187,0.669719135
beta-Alanine,0.950825616,1.190371899,0.98362193,0.896873717,1.168199729,1.06880112,1.148992186,1.076554917,0.744306125
"2,3-Butanediol",0.95280581,1.326120035,1.050347197,0.899692652,1.306333957,1.064702216,1.050574594,0.926097422,0.819235946
Capric acid,0.92566971,1.035449612,0.9389611,0.951684027,1.043964324,1.074318814,0.908154526,1.083129219,0.713022383
Cholesterol,0.939429111,0.861584391,1.002772365,0.913213859,0.842014899,0.967084396,0.878557617,0.865617997,1.007623419
Citramalic acid,0.9553751,1.02842818,0.977262599,0.953231389,1.017343774,0.890214943,0.961912924,1.000165287,1.142042008
Citric acid,1.446262061,0.948826735,1.031508794,1.536914019,0.960454913,1.021245841,1.125089738,1.037734607,1.087284394
Citrulline,1.033348118,0.984369227,1.058250857,0.973861593,1.006259582,1.111232728,1.264260611,0.815861188,0.900798618
Conduritol epoxide,0.856321499,1.082778929,0.791341959,0.884315767,1.079429062,0.71822983,0.772840396,0.980043274,0.933105203
Creatinine,1.106325644,1.064278835,0.895753616,1.167512069,1.08314432,0.726052708,0.617507959,0.702833718,1.161806211
Cysteine,0.976090854,1.175455012,0.928187479,0.920929633,1.272661464,0.907604137,1.357915353,0.699826456,0.963352898
Cys-Gly,0.976883875,0.932677062,0.824327032,0.959341652,0.933780075,0.75227935,0.976017075,0.746067353,0.913807488
Cystine,1.043423118,1.093356521,0.974838612,0.989118379,1.095722738,0.964352081,1.213595487,0.913676638,0.93243272
3-(3-Hydroxyphenyl)propanoic acid,1.000360722,0.982052606,0.862885211,0.954787279,0.994042459,0.845885812,1.13483976,0.735523382,0.827664631
Elaidic acid,1.017200295,0.876067576,1.125980145,0.968004504,1.007383597,1.235144006,1.420309229,0.518992743,0.972074478
Erythritol,0.935495187,1.174162587,0.886090698,0.911751131,1.159941262,0.839011968,1.02367047,1.11024467,0.96007084
Ethanolamine,1.127859502,1.18722562,1.104190447,1.240408339,1.172912604,1.297192361,0.325626866,1.313591103,0.670333837
Fructose,1.206861424,1.077175038,0.839285059,0.913025136,0.95680534,0.834591914,2.618445073,1.272543914,0.785487382
Fumaric acid,0.785154698,1.02427855,0.998389157,0.752015066,1.012741682,1.043218246,0.850678399,1.057094197,0.89117448
Galactonic acid,1.017933325,1.029379836,0.866226759,1.014089741,1.01844036,0.756392469,1.062107182,0.91410864,1.064413846
gamma-Tocopherol,1.290824265,1.113880064,1.065232854,1.262842113,1.112170671,1.07389344,1.28435272,0.816647309,0.929758022
Gluconic acid,1.016261965,1.046391412,1.002518082,0.946597981,1.039621106,0.979182981,1.05981401,0.804743863,0.911132932
Glucose,1.059038372,0.910346306,0.898334638,1.034807022,0.910490284,0.80134177,1.109399425,0.751125893,1.043117164
Glucuronic acid,0.585977731,1.18190675,0.567275574,0.607430139,1.001653865,0.520154588,0.332985386,1.516999702,0.605427975
Glutamine,1.041889271,1.087606608,0.981236102,1.053557395,1.1064236,0.962168536,1.017393657,0.957504885,1.010976041
Glyceric acid,0.855274492,1.129115182,0.898669904,0.876126289,1.071782642,0.817573735,0.747731543,1.305488738,1.070558355
Glycerol,0.893725841,1.025516183,0.993340927,0.878976862,1.009007409,0.939659577,1.119968636,1.24550192,1.193244861
Galactosylglycerol,0.931735353,0.903101482,0.780651165,1.001434295,1.006880072,0.930982617,1.072959765,0.778439951,0.627617878
sn-Glycero-3-phosphate,0.937559077,1.005274942,0.932768414,0.900730496,1.048376474,0.918285963,1.173036297,0.943689109,1.002173107
Glycine,0.935195894,1.05207757,0.980842735,0.88567223,1.032307373,0.913334297,1.105462699,1.118494099,1.11157768
Glycine,0.942786489,1.026290816,0.997656956,0.896367329,1.005699883,1.035688747,0.997257414,0.924654882,0.826130402
Glycolic acid,0.925566288,0.991192859,0.976175956,0.895462565,0.950853335,0.963036719,1.115651723,1.116313503,1.012549706
Hippuric acid,0.967473791,0.909775803,1.235776351,0.921889291,0.832892264,1.242728797,1.068423671,0.995995699,1.105589008
