,Vehicle_48(hrs) vs Vehicle,Vehicle_96(hrs) vs Vehicle,Vehicle_144(hrs) vs Vehicle,Doxycycline_48(hrs) vs Vehicle,Doxycycline_96(hrs) vs Vehicle,Doxycycline_144(hrs) vs Vehicle,Vehicle_96(hrs) vs Vehicle_48(hrs),Vehicle_144(hrs) vs Vehicle_48(hrs),Doxycycline_48(hrs) vs Vehicle_48(hrs),Doxycycline_96(hrs) vs Vehicle_48(hrs),Doxycycline_144(hrs) vs Vehicle_48(hrs),Vehicle_144(hrs) vs Vehicle_96(hrs),Doxycycline_48(hrs) vs Vehicle_96(hrs),Doxycycline_96(hrs) vs Vehicle_96(hrs),Doxycycline_144(hrs) vs Vehicle_96(hrs),Doxycycline_48(hrs) vs Vehicle_144(hrs),Doxycycline_96(hrs) vs Vehicle_144(hrs),Doxycycline_144(hrs) vs Vehicle_144(hrs),Doxycycline_96(hrs) vs Doxycycline_48(hrs),Doxycycline_144(hrs) vs Doxycycline_48(hrs),Doxycycline_144(hrs) vs Doxycycline_96(hrs)
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
Alanine,2.056199508,3.362135581,1.917808219,2.16174921,3.805409203,1.989462592,1.635121285,0.932695593,1.051332422,1.850700376,0.96754356,0.570413707,0.642969076,1.131842875,0.591725867,1.127197802,1.984249084,1.037362637,1.760337964,0.920302218,0.522798597
Arginine,3.25273523,1.585339168,1.489059081,4.050328228,7.077680525,2.504376368,0.487386478,0.457786747,1.245206862,2.175916583,0.769929364,0.939268461,2.554865424,4.464458247,1.579710145,2.72005878,4.753122704,1.68185158,1.74743382,0.618314425,0.353841397
Asparagine,2.201617562,2.478336222,2.023685731,2.136048527,3.403812825,2.573656846,1.125688796,0.919181317,0.970217791,1.546050905,1.168984518,0.816550117,0.861888112,1.373426573,1.038461538,1.055523837,1.681986868,1.271767057,1.593509128,1.204868154,0.75610998
Aspartic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32776618,NA,1.117954071,1.728601253,NA,0.841981132,1.301886792,NA,NA,1.546218487
Citrulline,0.895522388,5.691542289,1.970149254,1.242537313,NA,NA,6.355555556,2.2,1.3875,NA,NA,0.346153846,0.218312937,NA,NA,0.630681818,NA,NA,NA,NA,NA
Glutamic acid,1.874417342,1.280173779,1.26383672,1.756188623,2.01968593,2.002534281,0.682971583,0.674255776,0.936925083,1.077500664,1.068350274,0.987238405,1.371836114,1.577665441,1.564267534,1.389569234,1.598059226,1.58448813,1.150039298,1.140272892,0.991507764
Glutamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744854599,NA,NA,NA
Glycine,2.304920678,4.082817962,1.613874697,2.268755042,5.417316483,2.077440172,1.771348577,0.700186654,0.984309379,2.350326645,0.90130658,0.39528451,0.555683614,1.326857218,0.508825079,1.405781406,3.356714429,1.287237587,2.387792593,0.915674074,0.383481412
Histidine,2.371929825,3.259649123,1.814035088,2.210526316,3.978947368,2.680701754,1.374260355,0.764792899,0.931952663,1.677514793,1.130177515,0.556512379,0.678148547,1.220667384,0.822389666,1.218568665,2.193423598,1.477756286,1.8,1.212698413,0.67372134
Isoleucine,2.521802326,4.013081395,1.969476744,2.980377907,5.098837209,2.963662791,1.591354467,0.780979827,1.18184438,2.021902017,1.175216138,0.490764216,0.742665701,1.270554147,0.738500543,1.513284133,2.588929889,1.504797048,1.710802243,0.994391612,0.581242873
Leucine,2.605755396,3.697841727,1.925179856,2.648201439,4.71942446,2.86618705,1.419105467,0.738818332,1.016289343,1.811154059,1.099944782,0.520622568,0.71614786,1.276264591,0.775097276,1.375560538,2.45142003,1.488789238,1.782124423,1.082314588,0.607317073
Lysine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.209195402,NA,NA,NA,NA,NA,NA,NA
Ornithine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683770883,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenylalanine,2.232758621,3.590517241,1.771551724,2.165948276,4.228448276,2.650862069,1.608108108,0.793436293,0.97007722,1.893822394,1.187258687,0.493397359,0.603241297,1.177671068,0.738295318,1.222627737,2.386861314,1.496350365,1.952238806,1.223880597,0.626911315
Proline,1.779137839,4.501153096,1.615930459,2.001596594,4.15274082,1.409437644,2.529963107,0.908266029,1.125037392,2.33413102,0.792202612,0.359003665,0.444685295,0.922594884,0.313128128,1.238665057,2.569875947,0.872214294,2.074714172,0.704156696,0.339399376
Serine,NA,NA,NA,NA,NA,NA,0.526070764,2.187150838,0.899441341,1.188081937,2.159217877,4.157522124,1.709734513,2.25840708,4.104424779,0.411238825,0.543209877,0.987228608,1.320910973,2.400621118,1.817398119
Threonine,NA,NA,NA,NA,NA,NA,0.945977011,1.034482759,1.010344828,1.190804598,1.186781609,1.093560146,1.068043742,1.258809235,1.254556501,0.976666667,1.151111111,1.147222222,1.178612059,1.174630262,0.996621622
Tryptophan,NA,NA,NA,NA,NA,NA,0.649509804,NA,NA,0.892156863,0.713235294,NA,NA,1.373584906,1.098113208,NA,NA,NA,NA,NA,0.799450549
Tyrosine,NA,NA,NA,NA,NA,NA,1.146953405,0.622119816,0.769585253,1.615975422,0.958525346,0.542410714,0.670982143,1.408928571,0.835714286,1.237037037,2.597530864,1.540740741,2.099800399,1.245508982,0.593155894
Valine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.479090909,NA,NA,NA,NA,NA,NA,NA
