,Englerin (100 nM)_24hr vs Control_24hr,Englerin (100 nM)_48hr vs Control_48hr
refmet_name,ratio,ratio
1-Methyladenosine,0.795511222,0.725035162
1-Methylhistamine,NA,NA
1-Methylhistidine,0.566168559,0.722267206
1-Methyl nicotinamide,NA,NA
1-Pyrroline-5-carboxylic acid,0.605867798,0.758026989
11R-HETE,0.978769084,1.171525528
"11,12-DiHETrE",1.152683296,1.156698742
12-HETE,NA,NA
"13,14-Dihydro-15-keto-PGF2alpha",NA,NA
13S-HODE,0.520706042,0.203062869
"14,15-DiHETrE",NA,NA
15S-HETE,NA,NA
Aminoisobutyric acid,0.643815683,0.315900735
MG 20:4,1.001668985,0.473580663
Aminoisobutyric acid,0.645562914,1.014741641
5-Methylcytosine,NA,NA
Aminoisobutyric acid,NA,NA
2-Hydroxy-3-methylbutyric acid,NA,NA
2-Hydroxyglutaric acid,0.795154778,0.941772152
2-Isopropylmalic acid,0.818424357,0.720645884
2-Keto-n-caproic acid,0.713247173,0.601528777
2-Keto-n-caproic acid,NA,NA
2-Methylcitric acid,0.877941176,0.780639213
CAR 8:1(2),NA,NA
2-Oxo-4-methylthiobutanoic acid,NA,NA
2-Pyrocatechuic acid,NA,NA
20-HETE,NA,NA
"24,25-Dihydrolanosterol",0.613782051,0.494269341
"24,25-Epoxycholesterol",0.646817809,0.570230863
CAR 14:1;OH,1.277016743,0.23172043
3-Hydroxyanthranilic acid,0.849170437,0.854535857
CAR 12:0;OH,0.519457014,1.123076923
CAR(16:0(OH)),0.621212121,0.491442543
CAR(12:1(OH)),2.179104478,0.11410694
CAR 6:0;OH,NA,NA
CAR 4:0;OH,0.489939638,1.54068996
"CAR 4:0;OH,Me",0.509175377,1.153538679
CAR 18:2;OH,0.84756321,0.672563805
CAR(18:1(OH)),2.442671984,0.106119951
3-Methylphenylacetic acid,NA,NA
3-Methyl-thiopropionic acid,NA,NA
3-Phosphoglyceric acid,NA,NA
"CAR 14:2(3,5)",0.837264776,0.537503385
Liothyronine,0.95890411,1.226627794
4-Hydroxybenzoic acid,0.829071332,0.812920592
4-Hydroxynonenal,NA,NA
Hydroxyphenyllactic acid,1.297002725,0.324676617
4-Hydroxyphenylpyruvic acid,0.655713219,0.612929131
4-Pyridoxic acid,0.800988003,0.75919244
5-HETE,0.56015625,2.469887077
5-Hydroxy-tryptophan,NA,NA
