,Treatment Factor:treated-vehicle (ethanol)_24h vsTreatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-100pM_72hvs Treatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-100pM_24h vs Treatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-10nM_72h vs Treatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-10nM_24h vsTreatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-1nM_72hvs Treatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-vehicle (ethanol)_72h,Treatment Factor:treated-100pM_72hvs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-100pM_24h vs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-10nM_72h vs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-10nM_24h vs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-1nM_72h vs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-vehicle (ethanol)_24h,Treatment Factor:treated-100pM_24h vs Treatment Factor:treated-100pM_72h,Treatment Factor:treated-10nM_72hvs Treatment Factor:treated-100pM_72h,Treatment Factor:treated-10nM_24h vs Treatment Factor:treated-100pM_72h,Treatment Factor:treated-1nM_72h vs Treatment Factor:treated-100pM_72h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-100pM_72h,Treatment Factor:treated-10nM_72h vs Treatment Factor:treated-100pM_24h,Treatment Factor:treated-10nM_24h vs Treatment Factor:treated-100pM_24h,Treatment Factor:treated-1nM_72h vs Treatment Factor:treated-100pM_24h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-100pM_24h,Treatment Factor:treated-10nM_24h vs Treatment Factor:treated-10nM_72h,Treatment Factor:treated-1nM_72h vs Treatment Factor:treated-10nM_72h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-10nM_72h,Treatment Factor:treated-1nM_72hvs Treatment Factor:treated-10nM_24h,Treatment Factor:treated-1nM_24hvs Treatment Factor:treated-10nM_24h,Treatment Factor:treated-1nM_24h vs Treatment Factor:treated-1nM_72h
compound name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
1-Methylhistidine,0.373134328,0.656716418,0.529850746,0.492537313,0.902985075,0.417910448,0.164179104,1.76,1.42,1.32,2.42,1.12,0.44,0.806818182,0.75,1.375,0.636363636,0.25,0.929577465,1.704225352,0.788732394,0.309859155,1.833333333,0.848484848,0.333333333,0.462809917,0.181818182,0.392857143
3-Methylhistidine,0.887640449,0.61423221,0.947565543,0.838951311,0.962546816,0.951310861,0.838951311,0.691983122,1.067510549,0.945147679,1.084388186,1.071729958,0.945147679,1.542682927,1.365853659,1.567073171,1.548780488,1.365853659,0.885375494,1.015810277,1.003952569,0.885375494,1.147321429,1.133928571,1,0.988326848,0.871595331,0.881889764
Alanine,0.424290221,0.878774223,0.417079766,0.761379,0.404686796,0.763857594,0.395223073,2.071163038,0.983005842,1.794476899,0.953797132,1.80031864,0.9314923,0.474615385,0.866410256,0.460512821,0.869230769,0.44974359,1.82549973,0.970286332,1.831442464,0.947595894,0.531518201,1.003255401,0.519088488,1.88752784,0.976614699,0.51740413
Alloisoleucine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aminobutyric acid,,1,1,,1,0,0,,,,,,,1,,1,0,0,,1,0,0,,,,0,0,
Aminoadipic acid,0.222222222,0.666666667,0.222222222,1,0.222222222,0.666666667,0.222222222,3,1,4.5,1,3,1,0.333333333,1.5,0.333333333,1,0.333333333,4.5,1,3,1,0.222222222,0.666666667,0.222222222,3,1,0.333333333
Anserine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arginine,1.536713569,0.626880155,1.474607796,0.600921883,1.518356785,0.746886625,1.624292415,0.407935589,0.959585329,0.391043519,0.988054518,0.486028522,1.056991001,2.352296182,0.958591331,2.422084623,1.191434469,2.591073271,0.407513024,1.02966822,0.506498492,1.101508089,2.526712421,1.242901359,2.703000942,0.491904559,1.069769919,2.174750974
Asparagine,1.013714052,0.907583666,1.019445297,0.884146966,0.983317982,0.8957118,0.938491454,0.895305401,1.00565371,0.872185765,0.970015144,0.883594144,0.925795053,1.123252143,0.974176816,1.083446098,0.98691926,1.034055029,0.867282401,0.964561791,0.878626644,0.920590302,1.11216576,1.013080218,1.061465447,0.910907577,0.954412989,1.047760512
Aspartic acid,1.015324165,0.945383104,1.005108055,0.945776031,1.062082515,0.939882122,1.019253438,0.931114551,0.98993808,0.931501548,1.046052632,0.925696594,1.003869969,1.063175395,1.000415628,1.123441397,0.994181214,1.078137988,0.940969507,1.05668491,0.935105551,1.014073495,1.122974657,0.993768176,1.077690071,0.884942656,0.959674436,1.084448161
beta-Alanine,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
beta-Aminoisobutyric-acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnosine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrulline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cystathionine,0.285271318,1.333333333,0.285271318,1.376744186,0.291472868,1.448062016,0.282170543,4.673913043,1,4.826086957,1.02173913,5.076086957,0.989130435,0.213953488,1.03255814,0.218604651,1.086046512,0.211627907,4.826086957,1.02173913,5.076086957,0.989130435,0.211711712,1.051801802,0.204954955,4.968085106,0.968085106,0.194860814
"Cystathionine	",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cystine,1.282357195,0.836948662,1.214027477,0.817064353,1.318510484,0.824295011,1.317425886,0.652664223,0.946715534,0.637158162,1.028192839,0.64279673,1.027347054,1.450539957,0.976241901,1.57537797,0.98488121,1.574082073,0.673019655,1.086063133,0.678975581,1.085169744,1.613716814,1.008849558,1.612389381,0.625171374,0.999177406,1.598245614
Ethanolamine,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
gamma-Aminobutyric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glutamic acid,0.721506442,1.291377602,0.700693756,1.272547076,0.682854311,1.125867195,0.717542121,1.789835165,0.971153846,1.763736264,0.946428571,1.56043956,0.994505495,0.542594014,0.985418266,0.528779739,0.871834229,0.555640829,1.81612447,0.974540311,1.60678925,1.024045262,0.536604361,0.884735202,0.563862928,1.648766328,1.050798258,0.637323944
Glutamine,0.367630058,0.849710983,0.353757225,1.30867052,0.34566474,1.368786127,0.388439306,2.311320755,0.962264151,3.559748428,0.940251572,3.72327044,1.056603774,0.416326531,1.540136054,0.406802721,1.610884354,0.457142857,3.699346405,0.977124183,3.869281046,1.098039216,0.264134276,1.045936396,0.296819788,3.959866221,1.123745819,0.283783784
Glycine,0.509636265,0.953583062,0.517372421,0.939603692,0.523479913,0.878664495,0.519001086,1.871105193,1.01517976,1.8436751,1.027163782,1.724101198,1.018375499,0.54255622,0.985340165,0.548961002,0.921434671,0.544264162,1.81610703,1.011804827,1.698321091,1.003147954,0.557128413,0.935143724,0.552361693,1.678506611,0.991444128,0.590670374
Histidine,1.114427861,0.859038143,0.976782753,0.754560531,0.895522388,0.686567164,1.067993367,0.770833333,0.876488095,0.677083333,0.803571429,0.616071429,0.958333333,1.137065637,0.878378378,1.042471042,0.799227799,1.243243243,0.772495756,0.916808149,0.702886248,1.093378608,1.186813187,0.90989011,1.415384615,0.766666667,1.192592593,1.555555556
Homocystine,1.518518519,1.481481481,1.888888889,1.296296296,1.740740741,1.259259259,1.851851852,0.975609756,1.243902439,0.853658537,1.146341463,0.829268293,1.219512195,1.275,0.875,1.175,0.85,1.25,0.68627451,0.921568627,0.666666667,0.980392157,1.342857143,0.971428571,1.428571429,0.723404255,1.063829787,1.470588235
5-Hydroxylysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Hydroxylysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroxyproline,1.022902796,0.960319574,0.980292943,0.98322237,1.003728362,1.030093209,1.095073236,0.938818016,0.958344181,0.961208019,0.981254882,1.007029419,1.070554543,1.020798669,1.02384914,1.04520244,1.072656683,1.140321686,1.002988318,1.023906547,1.050801413,1.117087748,1.020855905,1.047670639,1.11375948,1.026266914,1.091005572,1.063081696
Isoleucine,1.051320859,0.914419373,1.035085305,0.870665933,1.045266924,0.861034673,1.056411668,0.869781442,0.984556995,0.828163853,0.994241591,0.819002748,1.004842298,1.131959073,0.95215167,1.14309359,0.941619019,1.155281372,0.841153795,1.009836501,0.831848996,1.020603483,1.200537295,0.988938053,1.213337547,0.823746216,1.010662103,1.226909556
Leucine,1.062358789,0.846513029,1.050459407,0.775116734,1.050911282,0.786865492,1.068835668,0.796824047,0.988799093,0.729618602,0.989224443,0.740677726,1.006096696,1.240925267,0.915658363,1.241459075,0.929537367,1.262633452,0.737883568,1.000430169,0.749067967,1.017493547,1.355810338,1.015157404,1.378935095,0.748745879,1.017056041,1.358346095
Lysine,1.069707842,0.777293696,0.98898001,0.738339313,0.968990261,0.776012301,0.944643772,0.726641112,0.924532822,0.690225204,0.905845712,0.72544322,0.883085769,1.27233762,0.949884603,1.246620508,0.998351467,1.215298384,0.746566468,0.97978751,0.784659238,0.955169733,1.312391531,1.05102395,1.279416869,0.800846337,0.974874372,1.217305152
Methionine,1.058655222,0.542203147,1.004291845,0.426323319,0.989985694,0.474964235,1.032904149,0.512162162,0.948648649,0.402702703,0.935135135,0.448648649,0.975675676,1.852242744,0.786279683,1.82585752,0.875989446,1.905013193,0.424501425,0.985754986,0.472934473,1.028490028,2.322147651,1.11409396,2.422818792,0.479768786,1.043352601,2.174698795
Ornithine,0.251062506,1.511454338,0.301026226,1.535917902,0.289934695,1.235409972,0.274904115,6.020231214,1.199009083,6.117671346,1.154830718,4.920726672,1.094962841,0.199163295,1.016185447,0.191824978,0.817365064,0.181880529,5.102272727,0.96315427,4.10399449,0.91322314,0.188769656,0.804346359,0.1789836,4.260993922,0.948158742,0.222520557
Phenylalanine,0.990243902,0.737127371,0.921409214,0.663414634,0.92303523,0.677506775,0.95501355,0.74438971,0.930487137,0.669950739,0.932129174,0.684181719,0.964422551,1.25,0.9,1.252205882,0.919117647,1.295588235,0.72,1.001764706,0.735294118,1.036470588,1.391339869,1.02124183,1.439542484,0.733998826,1.034644745,1.4096
Phosphoethanolamine,0.230769231,0.461538462,,0.230769231,,0.307692308,0.153846154,2,,1,,1.333333333,0.666666667,,0.5,,0.666666667,0.333333333,,,,,,1.333333333,0.666666667,,,0.5
Proline,0.919948187,0.904404145,0.873834197,0.82746114,0.839637306,0.806217617,0.880829016,0.983103351,0.949873275,0.899464939,0.912700648,0.876372853,0.957476767,0.966198797,0.914924091,0.928387282,0.891435119,0.97393297,0.946931515,0.960865698,0.922620812,1.008004744,1.014715091,0.974326863,1.06449593,0.96019747,1.049058932,1.092544987
Sarcosine,,2,,4,,3,0,,,,,,,,2,,1.5,0,,,,,,0.75,0,,,0
Serine,1.356261426,0.507312614,1.337751371,0.371572212,1.322897623,0.452925046,1.344149909,0.374052233,0.986352148,0.273967987,0.975400168,0.333951137,0.991069924,2.636936937,0.732432432,2.607657658,0.892792793,2.64954955,0.277758797,0.988896481,0.338571917,1.004783054,3.560270603,1.218942189,3.617466175,0.342373467,1.016064951,2.967709384
Taurine,1.52,0.44,1.12,0.6,1.12,0.4,1.36,0.289473684,0.736842105,0.394736842,0.736842105,0.263157895,0.894736842,2.545454545,1.363636364,2.545454545,0.909090909,3.090909091,0.535714286,1,0.357142857,1.214285714,1.866666667,0.666666667,2.266666667,0.357142857,1.214285714,3.4
Threonine,0.995335277,0.778134111,0.933527697,0.698833819,0.943440233,0.700291545,0.949271137,0.781780902,0.937902753,0.702108963,0.947861746,0.703573521,0.953719977,1.199700262,0.898089172,1.212439116,0.899962533,1.219932559,0.748594628,1.010618364,0.750156152,1.01686446,1.350020859,1.002085941,1.358364622,0.742274413,1.00618047,1.355537052
Tryptophan,1.11875,0.2,0.91875,,0.90625,0.0375,0.9875,0.17877095,0.82122905,,0.810055866,0.033519553,0.882681564,4.59375,,4.53125,0.1875,4.9375,,0.986394558,0.040816327,1.074829932,,,,0.04137931,1.089655172,26.33333333
