,Treatment_100pM vs Treatment:vehicle (ethanol),Treatment_10nM vs Treatment:vehicle (ethanol),Treatment_1nM vs Treatment:vehicle (ethanol),Treatment_10nM vs Treatment_100pM,Treatment_1nM vs Treatment_100 pM,Treatment_10nM vs Treatment_1nM
compound name,ratio,ratio,ratio,ratio,ratio,ratio
cis-Aconitic acid,0.782519731,0.652440807,0.709733996,0.833769145,0.906985431,0.919275124
Citric acid,1.404502354,1.638629083,1.579866262,1.166697284,1.124858394,1.037194807
Fumaric acid,0.905627198,0.800117233,0.851699883,0.883495146,0.940453074,0.93943565
Glutamic acid,1.192726694,1.174304874,1.112730935,0.984554869,0.932930352,1.055335874
Isocitric acid,0.400166159,0.201883135,0.352256993,0.50449827,0.880276817,0.573113208
Oxoglutaric acid,1.195801452,1.133608005,1.009613498,0.947990156,0.844298605,1.122813836
Lactic acid,1.473706084,1.742851601,1.686966641,1.182631747,1.144710372,1.033127484
Malic acid,1.096515679,1.097735192,1.080836237,1.00111217,0.985700667,1.015635074
Oxaloacetic acid,0.965890275,1.137101225,0.974721272,1.177257143,1.009142857,1.166591166
Succinic acid,1.13256074,1.083257091,1.031005388,0.956467103,0.910331209,1.050680339
