,Cancer_Current Smoker vs Cancer_Former Smoker,Cancer_Current Smoker vs Cancer_Non-Smoker,Cancer_Former Smoker vs Cancer_Non-Smoker
refmet_name,ratio,ratio,ratio
Fluorene,1.866488408,9.324708113,4.995856428
1-Methylhistidine,0.585118748,0.58860123,1.005951753
1-Methylhistidine,0.558740792,2.645937055,4.735535855
1-Naphthylamine,1.081678122,3.323977458,3.072982056
1-Naphthylamine,1.017759655,2.959268724,2.907630214
Paraxanthine,1.191978293,1.013648894,0.850392075
4-Aminobutyraldehyde,1.212044629,1.12628752,0.929245914
2-Aminooctanoic acid,0.948424795,0.859336019,0.906066589
2-Hydroxypyridine,1.025949154,0.950244464,0.926210096
N-Methyl-glutamic acid,1.127137774,1.134064062,1.006145024
CAR 4:0;2Me,1.5317399,4.108069258,2.681962688
N-Methyl-glutamic acid,1.346707312,4.110906538,3.052561236
2-Aminonaphthalene,1.369570523,5.231591541,3.819877438
3-Hydroxymethylglutaric acid,1.279558593,10.52987397,8.229301911
Phosphoserine,1.133702567,1.207853269,1.065405782
4-Hydroxycinnamic acid,1.940342774,1.380461261,0.711452265
4-Hydroxybenzoic acid,0.792872074,4.161405404,5.248520588
4-Hydroxybenzoic acid,0.738632948,5.097579274,6.901370006
4-Hydroxybutyric acid,0.874579204,1.067324569,1.220386402
4-Hydroxybutyric acid,0.88591192,4.473864291,5.050010265
2-Aminonaphthalene,1.844428144,2.995893668,1.624294055
5-Methylcytosine,0.789035726,4.118930389,5.220207722
Pyroglutamic acid,0.966936297,1.096626371,1.134124735
Methylthiouracil,0.527216703,8.412778418,15.95696489
Methylthiouracil,0.814370823,4.847496706,5.952443982
CAR 2:0,0.965545903,1.0135841,1.04975237
Acetylcholine,0.832348617,1.057194932,1.270134785
Adenine,0.968809449,1.331331511,1.37419336
ADP,1.220747083,0.904020313,0.740546773
Allothreonine,1.145845169,1.409041137,1.229695927
Aminoadipic acid,0.732996156,1.455388444,1.985533529
P-Aminobenzoic acid,0.668178586,2.881425789,4.312358773
gamma-Aminobutyric acid,0.926246178,1.054053782,1.137984487
