,Prostate cancer_AA vs Case control_AA,Prostate cancer_EA vs Case control_EA
,ratio,ratio
refmet_name,0.971825288,1.02343542
N-Acetylornithine,0.835206888,0.842963245
Dimethylarginine,1.151690508,0.969111949
Alanine,1.195159167,1.074550164
Arginine,1.253036075,1.140099359
Asparagine,1.241103924,1.040850459
Aspartic acid,0.827720665,1.15961247
Carnitine,1.02110571,1.061188098
CAR 10:0,0.741659084,1.333371008
CAR 10:1,0.815273898,1.209611172
CAR 10:2,0.664556962,1.349342481
CAR 12:0,0.774027332,1.330389852
CAR DC12:0,0.806093937,1.100520818
CAR 12:1,0.943274464,1.180302197
CAR 14:0,0.386279489,1.845454545
Tetradecenoic acid,0.712634823,1.964911427
CAR 14:1;OH,0.371962063,2.788274671
CAR 14:2,0.46567323,1.618980425
CAR 14:2;OH,0.372848031,2.460689122
CAR 16:0,0.826322043,1.416693729
CAR 16:0;OH,0.296563661,2.027004963
Hexadecenoic acid,0.560093522,1.82265459
CAR 16:1;OH,0.215181953,2.118349898
CAR 16:2,0.472261032,2.017114914
CAR 16:2;OH,0.640829444,1.603513124
CAR 18:0,0.540576175,1.289800625
Oleic acid,0.688089372,0.962537278
CAR 18:1;OH,0.20983323,1.933048901
Octadecadienoic acid,0.423476913,1.436084651
CAR 2:0,1.077364275,1.207903199
CAR 3:0,0.992994133,1.207526632
CAR 3:0;OH,0.365568903,1.659508005
CAR 3:1,0.382326007,2.029220779
CAR(4:0),0.970569401,1.064740676
CAR 4:0;OH,0.919167897,1.284112637
CAR 4:1,0.527627532,1.679692856
CAR 5:0,0.867603457,1.440671959
CAR DC5:0,0.598101346,1.699892464
CAR DC5:0;3Me,0.688791484,1.583669459
CAR 5:0;OH,0.773091729,1.515151515
CAR 5:1,0.572903977,1.568181818
CAR DC5:1,0.4952947,2.050722456
CAR 6:0,0.939023416,1.11969195
CAR 6:1,0.783650154,1.219201359
CAR DC7:0,0.749955885,1.952425813
CAR 8:0,0.68866234,1.574347514
CAR 9:0,0.39095794,1.433566434
Carnosine,0.847199979,0.916931638
cis-4-Hydroxyproline,1.295826224,1.276012955
Citric acid,1.103296268,0.971899994
Creatinine,1.164809169,0.965310744
DOPA,1.015367554,0.743944637
Dopamine,0.791169463,1.129085099
Glutamine,1.280975781,1.058395647
Glutamic acid,0.866804031,1.096552329
Glucose,0.887191408,1.387985421
Glycine,1.285702843,0.995266054
Histidine,1.140253074,1.127789506
Histamine,0.794847296,1.079876756
Isoleucine,1.21543437,1.192117213
Kynurenine,1.050608715,1.109895141
Leucine,1.139635691,1.158325301
Lysine,1.214806354,1.000946221
LPC 14:0,0.66971876,1.43801803
LPC 16:0,0.973279626,0.996654361
LPC 16:1,0.992972158,1.060860121
LPC 17:0,0.565246388,1.260327371
LPC 18:0,0.918015642,1.079307168
LPC 18:1,1.006379512,0.988735822
LPC 18:2,0.954384158,1.052834274
LPC 20:3,0.886777202,0.97546771
LPC 20:4,1.085755848,0.906680837
LPC 24:0,0.051258356,2.616578255
LPC 26:0,0.033630752,3.001443625
LPC 26:1,0.448648594,0.8075963
LPC 28:0,0.079666337,2.786108613
LPC 28:1,0.40334522,2.613683102
Methionine,1.214300461,1.093345806
Methionine sulfoxide,1.219637579,1.12593223
Nitrotyrosine,0.736549405,2.641350211
Ornithine,1.118883705,0.883845571
PC 24:0,0.447054275,1.46724469
PC 26:0,0.645583098,1.300645279
PC 28:1,0.772986678,1.214932939
PC 30:0,0.930550365,1.232668399
PC 30:2,0.948700173,1.129479554
PC 32:0,1.020038763,1.116977875
PC 32:1,1.138104603,1.222933889
PC 32:2,0.995883945,1.199810234
PC 32:3,1.012727307,0.993170938
PC 34:1,1.049202401,1.150286212
PC 34:2,0.995043924,1.143384529
PC 34:3,1.071471958,1.1599198
PC(34:4),1.004311189,1.221400688
PC(36:0),0.95028141,1.265699661
PC(36:1),1.042580631,1.16108997
PC(36:2),1.023434439,1.191127586
PC(36:3),1.071798737,1.122379717
PC(36:4),1.099036012,1.003874911
PC(36:5),0.936666453,1.178163269
PC(36:6),0.898219876,1.508675512
