,MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs MGG8_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES vs SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_NO,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO vs SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs SJGBM2_IDH1-R132H EXPRESSION_NO|IDH1-R132H INHIBITOR_YES,SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_YES vs SJGBM2_IDH1-R132H EXPRESSION_YES|IDH1-R132H INHIBITOR_NO
refmet_name,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
6-Phosphogluconic acid,0.765082812,0.317456549,0.27464932,0.838091884,0.233646239,0.189566695,0.750583749,0.414930965,0.358979859,1.095426365,0.305386862,0.247772779,0.981049028,0.865155628,2.640020771,0.735994389,0.597142176,2.364366873,3.05149812,0.850707509,0.690213595,2.732880418,0.27878356,0.226188438,0.895586466,0.811340663,3.212479482,3.959470574
Acetoacetyl-CoA,0.949873633,1.116748511,0.895382828,1.155726168,1.272004995,0.565658972,0.682652868,1.175681134,0.942633627,1.216715705,1.339130754,0.59550971,0.718677563,0.801776604,1.034902806,1.139025468,0.506523149,0.611286124,1.290762042,1.420626971,0.631750972,0.762414519,1.100611053,0.489440308,0.59067008,0.444698703,0.536674676,1.206827615
ADP,1.065807246,0.480282226,0.468396064,0.495107373,0.408123602,0.256047948,0.487784418,0.450627661,0.439475398,0.464537443,0.382924402,0.240238513,0.457666637,0.975251712,1.030867572,0.849757871,0.533119765,1.015620382,1.057027185,0.871321588,0.546648376,1.041393078,0.82431332,0.517156402,0.985209361,0.627378437,1.195187967,1.905051077
AMP,0.832714512,0.251263651,0.237653441,0.960046488,0.450714681,0.093802209,0.164041886,0.30174045,0.28539606,1.15291192,0.541259549,0.112646301,0.19699655,0.945832951,3.820872944,1.793791815,0.373321842,0.652867557,4.039691091,1.896520748,0.394701667,0.690256727,0.469471726,0.097705903,0.170868691,0.208118824,0.363959491,1.748806211
ATP,1.134750838,1.245030357,1.124858945,0.275549578,0.472561905,0.715783565,0.881317823,1.097183906,0.991282763,0.242828266,0.416445522,0.630784787,0.776661972,0.903479132,0.221319566,0.37955854,0.57491254,0.707868542,0.244963672,0.4201077,0.636331842,0.783491856,1.714979598,2.597657998,3.198400192,1.514687405,1.864978566,1.231263005
NAD+,1.304661374,0.694736988,0.669070543,0.43516618,0.296510325,0.434239378,0.565548137,0.532503684,0.512830806,0.333547224,0.22726995,0.332836847,0.433482702,0.963055883,0.62637543,0.426795075,0.625041398,0.81404639,0.650404033,0.443167508,0.649018826,0.845274303,0.681372632,0.997870235,1.299614178,1.464500024,1.907347195,1.302387957
Citric acid,1.072202497,0.713945318,0.817821505,0.833002065,0.308738411,0.74289545,1.564813223,0.665867986,0.762749115,0.77690741,0.287947857,0.692868607,1.459438144,1.145496,1.166758916,0.432439857,1.04054951,2.191783017,1.018562192,0.377513197,0.908383364,1.913392118,0.370633428,0.891829062,1.878522621,2.40622943,5.06841121,2.106370717
NADP+,0.938683284,1.046266316,0.813098547,1.179070257,1.042783091,0.589467382,0.788084088,1.114610577,0.86621181,1.256089543,1.11089982,0.6279726,0.839563357,0.777143003,1.126931297,0.996670804,0.563400898,0.753234694,1.450095147,1.282480575,0.724964255,0.969235638,0.884411328,0.499942543,0.668394512,0.565282835,0.755750736,1.336942657
Erythrose 4-phosphate,0.891317815,0.335227653,0.295560675,0.554822479,0.167762761,0.151138127,0.491208784,0.376103392,0.33159965,0.622474351,0.18821879,0.169567044,0.551103968,0.881671522,1.655061786,0.500444278,0.450852206,1.465299116,1.877186395,0.567608532,0.511360744,1.661955819,0.302371961,0.272408081,0.885344057,0.900903908,2.927996543,3.250065315
"Fructose 1,6-bisphosphate",1.820860655,9.679765255,5.769097614,1.758633471,1.774122494,1.755879722,6.197820811,5.316038451,3.168335588,0.9658254,0.97433183,0.964313067,3.403786442,0.595995612,0.181681417,0.183281562,0.181396932,0.640286272,0.304836837,0.307521663,0.30435951,1.074313736,1.00880742,0.998434154,3.524225436,0.989717299,3.493457094,3.529752483
FAD,1.163358317,0.80134166,0.93736237,2.06452895,0.146083465,0.724009801,1.596867965,0.688817579,0.805738315,1.774628607,0.125570482,0.622344629,1.372636393,1.169741219,2.576340472,0.182298603,0.903497019,1.992742977,2.20248755,0.155845242,0.772390512,1.703575923,0.070758739,0.350690069,0.773478117,4.956137914,10.93120267,2.20558888
3-Phosphoglyceric acid,1.229938316,4.788944433,2.771043286,1.457949346,1.207559007,0.768710427,2.544534585,3.893646023,2.252993707,1.185384118,0.981804527,0.624999171,2.068831056,0.578633418,0.304440648,0.252155569,0.160517717,0.531335166,0.526137341,0.435777749,0.277408307,0.918258693,0.828258547,0.527254551,1.745283259,0.636582083,2.107172048,3.310134082
Malic acid,1.284271199,0.780843554,0.464640669,1.498511923,0.934653904,1.286809284,0.845157745,0.608005189,0.361793264,1.166818912,0.727769886,1.001976284,0.658083546,0.595049631,1.919093672,1.196979727,1.647973243,1.082365015,3.225098499,2.011562842,2.769471918,1.81894914,0.623721366,0.858724755,0.563998011,1.376776236,0.904246739,0.656785551
