,Breast cancer patient vs Control patient
compound name,ratio
3-Hydroxybutyric acid,1.052195526
MG 14:0,0.990030208
MG 16:0/0:0/0:0,1.029108294
2-Hydroxybutyric acid,1.139574921
2-Hydroxyvaleric acid,1.015666667
3-Methyl pyruvic acid,0.911544228
Ketoleucine,0.98136866
Ketoleucine,0.976806423
MG 0:0/18:0/0:0,1.238129713
MG 0:0/16:0/0:0,1.203781261
Indoleacetic acid,0.529789511
Acetoacetic acid,0.986694076
Acetoacetic acid,1.034593052
alpha-Tocopherol,1.21488881
Aminomalonic acid,1.091517375
Arabitol,1.048938135
Arachidonic acid,1.255989049
Aspartic acid,0.979740681
Benzoic acid,1.067469482
MG 18:0,1.072480039
Citric acid,1.080894309
Citric acid,1.039809636
Caprylic acid,1.213973799
Caprylic acid,0.921157402
Cholesterol,1.12906941
Citric acid,1.343245142
Creatinine,0.949941843
Threitol,1.036047391
Glyceraldehyde,1.088079676
Isoleucine,1.042184557
Hydroxyphenyllactic acid,0.762495505
Fumaric acid,1.031264024
Glucoheptonic acid,1.032874506
Gluconolactone,1.159539605
Glyceric acid,1.118221623
Glycerol,1.216791815
Glycine,0.947260834
Glycine,0.936090694
Glycolic acid,1.005127132
Iminodiacetate,0.970277865
Lactic acid,1.104337141
Alanine,0.909180429
Glutamic acid,1.459810555
Leucine,1.003473955
Methionine,1.051860089
Ornithine,1.323330106
Proline,1.073334887
Serine,0.989991637
Threonine,1.026469496
Tryptophan,0.879213699
Valine,1.05068418
Lauric acid,1.158934708
Linoleic acid,1.303411633
Malonic acid,1.965885947
Methylmalonic acid,0.985805909
Myristic acid,1.305353535
N-Acetyl-D-tryptophan,1.200896191
N-Methylalanine,0.971962617
Oleic acid,1.333023223
Oxalic acid,0.963118732
P-Cresol,1.07817999
Palmitic acid,1.240793832
Palmitoleic acid,1.569803516
Phenylalanine,0.986344492
Phosphoric acid,1.182205368
Pipecolic acid,1.329226557
Nebularine,1.488653555
Pyroglutamic acid,0.863123761
Pyruvic acid,0.819036913
Ribose,1.025799794
Sarcosine,1.0392069
Stearic acid,1.17447155
Threose,0.980167015
trans-4-Hydroxyproline,1.148488057
Tyrosine,1.187340124
Urea,1.060338878
Xylitol,1.048938135
