,resistant_PLX4720 vs resistant_DMSO,sensitive_PLX4720 vs sensitive_DMSO,resistant_DMSO vs sensitive_DMSO,resistant_PLX4720 vs sensitive_PLX4720
refmet_name,ratio,ratio,ratio,ratio
Adenosine,1.299906604,0.800625591,1.692933581,2.748670001
ADP,0.717110035,0.584041295,0.825091001,1.013080824
AMP,2.101233086,0.737470343,0.554703822,1.58048664
ATP,0.498560708,0.55915447,1.016630317,0.906461378
GDP,0.422075875,0.440797247,0.959739982,0.918978272
GMP,1.732007414,1.513288557,0.356558027,0.408092128
Glutathione,0.905141488,0.105369896,1.157581141,9.94377668
Oxidized glutathione,1.458962638,1.040868116,0.659205019,0.923993616
GTP,0.247685591,0.46360931,1.441573004,0.770167582
Cysteine,2.714989768,2.76281666,0.314283377,0.308842843
Cystine,NA,NA,NA,0.030016568
Serine,1.306254628,0.491852275,1.645769314,4.370811911
NAD+,0.809203795,0.756365126,3.614017337,3.86648782
NADH,NA,0.207621725,NA,NA
NADP+,0.723971798,0.641219938,1.144274316,1.291947248
UDP,0.325619186,0.27351427,0.832609009,0.991222389
UMP,3.270132707,0.744817226,0.248684145,1.091851968
UTP,0.286628857,0.290319003,0.957102753,0.944937346
