,Treatment vs Control
refmet_name,ratio
gamma-Glutamylglutamine,0.86162579
Xanthine,0.920424635
Xanthine,0.70811501
Oxoglutaric acid,0.609802641
Xanthine,0.723188937
3-Methyleneoxindole,1.175106809
P-Aminobenzoic acid,1.194421108
Dihydrothymine,0.690765235
Pyroglutamic acid,1.278157242
Phosphoribosyl pyrophosphate,0.95382254
Acetylcholine,0.751673661
Adenine,0.738282975
Adenosine,0.536063234
Aspartyl adenylate,2.380319924
ADP,2.851220441
Allantoic acid,1.403311554
Glucosamine 1-phosphate,0.989262126
Ribose 1-phosphate,1.030273081
AMP,2.328768336
Vitamin C,0.965910032
ATP,0.91501881
AMP,1.256439399
Catechin,0.49098743
CDP,0.855500336
Cytidine 5'-diphosphocholine,1.204950432
Choline,1.009220701
Choline,1.212419279
Citric acid,0.782123691
CMP,2.831688515
CMP,1.035570969
Creatine,0.870249955
Creatinine,1.010782431
CTP,0.483874781
Cys-Gly,1.145449438
Cystathionine,1.308991911
Cytidine,1.850635901
Cytosine,1.016508423
Erythrose 4-phosphate,1.09225297
"Fructose 1,6-bisphosphate",0.9171992
Glucose,0.828600252
D-Ribose 5-diphosphate,0.850963156
dAMP,1.047460165
Dehydroascorbic acid,1.338007012
Dimethylglycine,0.696356812
Glucose,1.901283306
dTMP,0.700074963
Phosphoethanolamine,1.450993558
Fumaric acid,0.772425662
Glycine,1.037122361
D-Ribose 5-diphosphate,0.845671028
gamma-L-Glutamyl-D-alanine,1.047650725
gamma-Glutamylcysteine,3.375445876
GDP,1.548857228
Glutathione,1.119150137
Oxidized glutathione,0.81188682
sn-Glycero-3-phosphate,1.204930989
Glycerone sulfate,0.930058203
Glycine,1.346964259
GMP,2.274691197
GTP,0.676454311
Guanine,2.324091989
Guanosine,0.470560802
Hypotaurine,0.605270834
Hypoxanthine,0.675745883
IMP,1.508307976
Inosine,0.560708049
IMP,0.543598781
Epinephrine,1.318552806
Alanine,1.132030132
Arginine,1.327154049
Asparagine,1.055421818
Aspartic acid,0.941771929
Carnitine,0.965392188
Citrulline,1.316265608
Cysteine,1.771559853
Cystine,1.180536173
Glutamic acid,1.102588223
Glutamine,1.583287705
Histidine,1.063669639
Leucine,1.343189579
Lysine,1.380251308
Methionine,1.235010063
Methionine,1.193183785
Phenylalanine,1.21903893
Proline,0.981987898
Serine,1.171262579
Threonine,1.311494664
Tryptophan,1.21782364
Tyrosine,1.211177609
Valine,1.145936139
Lactic acid,0.863620038
Leucocyanidin,0.980998608
Malic acid,0.765939254
Mannitol,0.146953126
Methylenediurea,0.810199317
N-Acetyl-alpha-neuraminic acid,2.605697399
Methylenediurea,0.99317089
Methylenediurea,0.825878751
N-Methylethanolamine phosphate,0.8682433
Pelargonic acid,0.837961674
NAD+,0.886563471
Niacinamide,1.30359292
Pelargonic acid,2.11143557
Caprylic acid,3.582766621
Oxaloacetic acid,0.888366562
Pantothenol,1.097966886
Pentobarbital,1.054695713
Phosphoric acid,1.866630453
Phosphocreatine,0.232059574
Phosphoenolpyruvic acid,0.559986425
Phosphoserine,0.823883193
Phosphoserine,1.13431429
Putrescine,1.073328101
Phosphoenolpyruvic acid,1.086101726
S-Adenosylmethionine,0.994895823
Phosphoenolpyruvic acid,1.229998925
3-Phosphoshikimic acid,1.463572142
Spermidine,0.568258096
Spermine,0.414512395
Succinic acid,1.313620995
Taurine,0.468234706
Taurine,0.452881403
trans-4-Hydroxyproline,0.866160392
Triacanthine,0.802981498
UDP,1.01223029
UDP-glucose,0.898733557
UDP-N-acetylglucosamine,0.930260025
UMP,7.354036996
Uracil,0.907937864
UTP,0.613179757
Xanthine,0.926734665
