,HCC827_ERLO vs HCC827_DMSO,PC9_DMSO vs HCC827_DMSO,PC9_ERLO vs HCC827_DMSO,H1975_DMSO vs HCC827_DMSO,H1975_ERLO vs HCC827_DMSO,PC9_DMSO vs HCC827_ERLO,PC9_ERLO vs HCC827_ERLO,H1975_DMSO vs HCC827_ERLO,H1975_ERLO vs HCC827_ERLO,PC9_ERLO vs PC9_DMSO,H1975_DMSO vs PC9_DMSO,H1975_ERLO vs PC9_DMSO,H1975_DMSO vs PC9_ERLO,H1975_ERLO vs PC9_ERLO,H1975_ERLO vs H1975_DMSO
Compound me,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
NAD+,1.047251057,0.360913764,0.349269144,1.559705582,1.340380762,0.344629648,0.333510424,1.489333022,1.279903947,0.967735727,4.321546416,3.713853271,4.465626611,3.837672999,0.859380627
cAMP,0.965893954,0.669002156,0.626996058,2.766262333,2.330767406,0.69262485,0.649135503,2.863940002,2.413067601,0.937210818,4.134907952,3.483946034,4.411929389,3.717355761,0.842569188
cGMP,1.274119078,0.678758511,0.681227805,1.130274215,0.933151634,0.532727688,0.534665729,0.887102496,0.732389657,1.003637958,1.665208166,1.374791799,1.659172168,1.369808494,0.82559756
Xanthine,1.034786598,0.457562714,0.286803292,1.493339386,1.110529584,0.44218075,0.277161777,1.44313754,1.073196721,0.626806518,3.263682419,2.427054368,5.206841861,3.872094972,0.74365519
NADH,0.69767524,0.442644509,0.341444835,1.197761828,0.951456143,0.634456383,0.489403688,1.716789932,1.363752199,0.771374835,2.705922707,2.149481409,3.507921938,2.786558896,0.794361718
ADP-ribose,1.306828698,0.348593068,0.354245436,1.45508516,1.138622253,0.266747332,0.271072587,1.11344751,0.871286538,1.016214802,4.174165503,3.266336471,4.107562196,3.214218554,0.782512449
Mevalonic acid,,,,,,,,,,,,,,,
UDP-glucose,1.031438183,0.460583589,0.406119643,1.233225926,1.032451294,0.446545025,0.393741137,1.195637262,1.000982232,0.881750137,2.677529019,2.241615461,3.036607431,2.542234321,0.83719558
Uric acid,1.140886147,0.526345818,0.455993321,0.732347657,0.679129101,0.461348242,0.399683459,0.641911254,0.595264569,0.866337881,1.391381164,1.290271676,1.606049088,1.489340018,0.927331568
IMP,0.914220357,1.363413173,1.1841266,1.57915566,1.036123198,1.491339766,1.295231058,1.72732498,1.133340765,0.868501657,1.158237056,0.759948062,1.333603737,0.875010491,0.656124804
NADP+,1.134783567,1.238293492,1.302833678,2.878407914,2.498265789,1.091215565,1.148090011,2.536525904,2.201535042,1.052120266,2.324495714,2.017507001,2.20934411,1.917563101,0.867933199
Sedoheptulose 7-phosphate,,,,,,,,,,,,,,,
Glucose 6-phosphate,0.802388035,1.462842966,0.804495494,3.244621596,2.894081453,1.82311164,1.002626484,4.043706356,3.606835257,0.549953421,2.21802454,1.978395167,4.033113449,3.597386779,0.891962704
Fructose 6-phosphate,0.677119813,1.306221938,0.549092788,0.479135262,0.163037111,1.92908539,0.81092412,0.707607801,0.240780299,0.420367146,0.366809994,0.124815781,0.872594345,0.296920875,0.340273664
Fructose 1-phosphate,,4.706262057,0.206401906,,0.09208414,,,,,0.043856866,,0.019566301,,0.446139967,
Galactose 1-phosphate,1.542595328,1.051550911,0.869989577,1.50589713,1.143662714,0.681676452,0.563977837,0.976210094,0.74138868,0.827339474,1.432072488,1.087596142,1.730936978,1.314570592,0.759456069
Glucose 1-phosphate,,,,,,,,,,,,,,,
Acetoacetyl CoA,,,,,,,,,,,,,,,
Acetyl CoA,1.112135877,0.654111527,0.697134818,0.757701382,0.650312471,0.588157923,0.626843206,0.681302886,0.584741923,1.065773632,1.158367268,0.994192036,1.086879271,0.932836022,0.858270139
Folic acid,1.021754658,0.913662988,0.562695251,1.202767809,0.974173632,0.89420976,0.550714642,1.177159115,0.953432044,0.615867402,1.316423917,1.066228626,2.137511925,1.731263291,0.80994322
Ribose 5-phosphate,0.265201103,0.143991308,0.036667663,0.483440279,0.334592146,0.542951392,0.138263616,1.822919565,1.261654427,0.254651923,3.357426821,2.32369683,13.18437648,9.124992282,0.692106471
CoA,0.781806411,0.4067857,0.357224666,1.12645662,1.256295745,0.520315125,0.45692215,1.4408383,1.6069141,0.878164267,2.769164745,3.088347856,3.15335621,3.516822503,1.115263316
Ribose 1-phosphate,,,,,,,,,,,,,,,
Ribulose 5-phosphate,0.126733138,0.137355948,0.033500088,0.352419169,0.270444074,1.083820303,0.264335667,2.780797308,2.13396495,0.243892522,2.565736499,1.968928747,10.5199474,8.072936118,0.767393202
Xylulose 5-phosphate,,,,,,,,,,,,,,,
Erythrose 4-phosphate,,,,,,,,,,,,,,,
HMG CoA,1.077680806,0.517901683,0.477030299,2.038571839,1.664564276,0.480570574,0.442645258,1.891628604,1.544580053,0.921082735,3.936213968,3.214054579,4.273464064,3.489430924,0.816534519
Glyceraldehyde 3-phosphate,0.11631743,0.505707222,0.153722801,0.548450131,0.474781922,4.347647832,1.321580104,4.715115618,4.081777962,0.303975887,1.084521056,0.938847423,3.567786474,3.088558878,0.865679295
NADPH,1.001749076,0.879022414,0.99695394,1.155290284,1.046298573,0.877487622,0.995213237,1.153273122,1.044471713,1.134162138,1.314289904,1.190297945,1.158820119,1.049495399,0.905658593
Malonyl CoA,0.992039644,0.673034372,0.701704606,0.782094442,0.686601043,0.678434956,0.707335246,0.788370149,0.692110489,1.042598469,1.162042348,1.020157471,1.114563644,0.978475896,0.877900425
Phosphocreatine,1.011202533,0.041628186,0.036884036,0.650746252,0.5812593,0.041167011,0.036475419,0.643537007,0.574819862,0.886035152,15.63234699,13.96311857,17.6430325,15.75910226,0.89321959
XMP,1.102198991,0.77777189,0.727495864,1.836909808,1.578970478,0.705654692,0.660040401,1.666586363,1.432563894,0.935358906,2.361759061,2.030120269,2.52497629,2.170418495,0.859579753
Dihydroxyacetone phosphate,0.359439731,0.955171906,0.277195971,0.589223675,0.46583809,2.657391001,0.771189012,1.639283654,1.29601168,0.290205322,0.6168771,0.487700786,2.125657431,1.680537015,0.790596354
Adenylosuccinic acid,1.110579698,1.068003578,1.099014909,1.028747869,0.869441605,0.961663157,0.989586709,0.926316113,0.78287187,1.02903673,0.963243841,0.814081172,0.936063615,0.791109927,0.845145473
"Fructose 1,6-diphosphate",0.464449285,0.6423929,0.150668552,1.013773964,0.83778252,1.383128194,0.324402593,2.182744161,1.803819164,0.23454268,1.578121371,1.304159059,6.728504052,5.560433864,0.82639972
6-Phosphogluconic acid,0.324070748,0.179989493,0.072695056,8.049809696,6.747894825,0.55540185,0.224318476,24.83966771,20.82228916,0.403885,44.72377564,37.49049302,110.7339357,92.82467287,0.838267621
N-Carbamoylaspartic acid,0.21757811,0.528132723,0.155595978,1.414464301,1.311324021,2.427324713,0.715126986,6.500949488,6.026911544,0.294615295,2.678236436,2.482944087,9.090622521,8.427750117,0.927081737
PRPP,1.24686344,1.324009227,1.751484781,13.37482618,13.33734824,1.061871882,1.404712598,10.72677709,10.69671932,1.322864483,10.10176206,10.07345566,7.636278843,7.614881033,0.997197875
