,DMS114-Gedatolisib vs DMS114-DMSO,H1048-DMSO vs DMS114-DMSO,H1048-Gedatolisib vs DMS114-DMSO,H1694-DMSO vs DMS114-DMSO,H1694-Gedatolisib vs DMS114-DMSO,H187-DMSO vs DMS114-DMSO,H187-Gedatolisib vs DMS114-DMSO,H446-DMSO vs DMS114-DMSO,H446-Gedatolisib vs DMS114-DMSO,H1048-DMSO vs DMS114-Gedatolisib,H1048-Gedatolisib vs DMS114-Gedatolisib,H1694-DMSO vs DMS114-Gedatolisib,H1694-Gedatolisib vs DMS114-Gedatolisib,H187-DMSO vs DMS114-Gedatolisib,H187-Gedatolisib vs DMS114-Gedatolisib,H446-DMSO vs DMS114-Gedatolisib,H446-Gedatolisib vs DMS114-Gedatolisib,H1048-Gedatolisib vs H1048-DMSO,H1694-DMSO vs H1048-DMSO,H1694-Gedatolisib vs H1048-DMSO,H187-DMSO vs H1048-DMSO,H187-Gedatolisib vs H1048-DMSO,H446-DMSO vs H1048-DMSO,H446-Gedatolisib vs H1048-DMSO,H1694-DMSO vs H1048-Gedatolisib,H1694-Gedatolisib vs H1048-Gedatolisib,H187-DMSO vs H1048-Gedatolisib,H187-Gedatolisib vs H1048-Gedatolisib,H446-DMSO vs H1048-Gedatolisib,H446-Gedatolisib vs H1048-Gedatolisib,H1694-Gedatolisib vs H1694-DMSO,H187-DMSO vs H1694-DMSO,H187-Gedatolisib vs H1694-DMSO,H446-DMSO vs H1694-DMSO,H446-Gedatolisib vs H1694-DMSO,H187-DMSO vs H1694-Gedatolisib,H187-Gedatolisib vs H1694-Gedatolisib,H446-DMSO vs H1694-Gedatolisib,H446-Gedatolisib vs H1694-Gedatolisib,H187-Gedatolisib vs H187-DMSO,H446-DMSO vs H187-DMSO,H446-Gedatolisib vs H187-DMSO,H446-DMSO vs H187-Gedatolisib,H446-Gedatolisib vs H187-Gedatolisib,H446-Gedatolisib vs H446-DMSO
Compound me,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,0.889724976
D+,1.013222584,0.283821503,0.229048116,0.671983047,0.631319013,1.547496567,1.583053725,0.800215267,0.711971509,0.280117624,0.226059031,0.663213649,0.623080281,1.527301692,1.562394828,0.789772434,0.70268026,0.807014666,2.367625564,2.224352296,5.452358433,5.577638434,2.81943143,2.508518562,2.933807356,2.756272456,6.756207367,6.911446182,3.493655751,3.10839278,0.939486518,2.302880369,2.355794142,1.19082657,1.059508142,2.451211727,2.50753374,1.267529174,1.127752365,1.022977213,0.517103097,0.46007954,0.505488382,0.449745639,ratio
cAMP,0.968133882,0.399730682,0.32456524,0.784292062,0.570538777,0.722948282,0.685208307,,,0.412887813,0.335248301,0.810107029,0.589318056,0.746744118,0.707761932,,,0.811959788,1.962051197,1.427307943,1.808588419,1.714174913,,,2.416438875,1.757855456,2.227435947,2.111157398,,,0.727457033,0.921784519,0.873664722,,,1.267132596,1.200984638,,,0.94779713,,,,,
cGMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76409682
DH,1.226604178,0.161831609,0.105104201,0.630056212,0.621632046,1.502132899,1.310507132,0.523341127,0.399883291,0.131934663,0.085687138,0.513658948,0.506791072,1.224627248,1.068402633,0.426658523,0.326008421,0.649466455,3.893282757,3.841227629,9.282073576,8.097967654,3.233862229,2.470983845,5.994586371,5.914435767,14.2918445,12.46864653,4.979259831,3.804636602,0.986629502,2.384125211,2.079984465,0.830626089,0.634678753,2.416434139,2.108171771,0.841882477,0.643279723,0.872430884,0.348398685,0.266210327,0.399342448,0.305136295,1.036166838
Xanthine,1.082409133,0.053061163,0.044451495,0.044371978,0.052059479,0.484054113,0.554703041,0.281770374,0.291961118,0.049021356,0.041067184,0.040993721,0.048095935,0.447200692,0.512470769,0.260317809,0.269732681,0.837740687,0.8362421,0.981122083,9.122568839,10.45403094,5.310293962,5.502350502,0.998211157,1.17115248,10.88949001,12.47883875,6.33882781,6.568083167,1.173251242,10.90900451,12.50120144,6.350187298,6.579853492,9.298097553,10.65517852,5.412470125,5.608222053,1.145952541,0.582105113,0.603158014,0.507966161,0.52633769,0.942403173
ADP-ribose,0.959499246,0.37295782,0.341887877,0.615759339,1.01958608,1.388280575,1.294207235,0.678437671,0.639361814,0.388700482,0.356319068,0.641750728,1.062623117,1.446880319,1.348836116,0.707074731,0.66634947,0.916693145,1.651016032,2.733783892,3.722352775,3.470116907,1.819073459,1.7143006,1.801056374,2.982223557,4.060631188,3.785472735,1.984386453,1.87009209,1.655819107,2.254583059,2.101806912,1.101790306,1.038330681,1.361611935,1.269345729,0.665404996,0.627079779,0.932237517,0.488689162,0.460542217,0.524211001,0.494018111,1.02870482
UDP-glucose,1.132611844,0.379795036,0.389638676,0.426123566,0.505287403,1.538028515,1.640623352,0.828402301,0.85218144,0.335326739,0.344017837,0.376230894,0.446125834,1.357948466,1.448530987,0.731408828,0.752403787,1.025918296,1.121982979,1.330421293,4.049627741,4.319759857,2.181182538,2.243792989,1.093637752,1.296810183,3.947319936,4.210627566,2.126078214,2.187106905,1.185776717,3.609348643,3.850111756,1.944042449,1.999845837,3.043868707,3.246911244,1.63946755,1.68652817,1.066705419,0.538613097,0.554073888,0.504931434,0.519425399,0.970967686
Uric acid,,,,,,,,,,,,,,,,,,0.576091642,,,,,1.897473168,1.842385132,,,,,3.293700222,3.198076484,,,,,,,,,,,,,,,0.77316421
DP+,0.861315301,0.113734443,0.092150136,0.584979146,0.54415903,0.784695346,0.885708146,0.520063165,0.402094226,0.132047396,0.106987692,0.679169575,0.631776807,0.911043082,1.02832046,0.603801145,0.466837436,0.810221899,5.143377262,4.784470014,6.899364238,7.787510321,4.572609252,3.535377821,6.348109409,5.905135393,8.515400836,9.611577183,5.643650531,4.363468606,0.930219537,1.341407384,1.514084992,0.889028554,0.68736506,1.442033123,1.62766415,0.955719074,0.738927783,1.128728684,0.662758059,0.512420811,0.58717216,0.453980499,1.315891601
