,H1048-Gedatolisib_6hrs vs H1048-Vehicle,SBC5-Gedatolisib_6hrs vs SBC5-Vehicle
Compound name,ratio,ratio
NAD+,0.705092,0.119094
cAMP,1.184365,0.177914
cGMP,,0.50244
NADH,0.846777,0.839481
Xanthine,1.824484,3.485937
ADP-ribose,2.162926,0.455514
Mevalonic acid,,0.301705
UDP-glucose,0.959229,1.192949
Uric acid,2.149953,1.529721
NADP+,0.887639,0.172567
IMP,1.08651,1.293504
Sedoheptulose 7-phosphate,3.942283,1
Glucose 6-phosphate,1.470874,0.870371
Fructose 6-phosphate,1.414018,0.477471
Fructose 1-phosphate,2.091981,1.220753
Galactose 1-phosphate,1.142778,1.344392
Glucose 1-phosphate,1.695432,3.394442
Acetoacetyl CoA,,
Acetyl CoA,1.295149,0.318346
Folic acid,1,1.026585
Ribose 5-phosphate,1.214709,0.39721
CoA,1.167365,1.034196
Ribose 1-phosphate,1.285416,1.895425
Ribulose 5-phosphate,1.048019,1
Xylulose 5-phosphate,0.943988,1
Erythrose 4-phosphate,1,
HMG CoA,1.060626,0.57642
Glyceraldehyde 3-phosphate,1,0.897417
NADPH,0.943759,1.135856
Malonyl CoA,0.674516,1
Phosphocreatine,0.709716,1.919632
XMP,0.650709,0.804425
Dihydroxyacetone phosphate,1.347554,0.35181
Adenylosuccinic acid,0.729219,0.686601
"Fructose 1,6-diphosphate",1.311675,0.947673
6-Phosphogluconic acid,0.577492,2.494612
N-Carbamoylaspartic acid,0.919005,1.078173
PRPP,0.523231,1.038075
2-Phosphoglyceric acid,0.920059,5.425404
"2,3-Diphosphoglyceric acid",1.173814,0.39124
3-Phosphoglyceric acid,0.815427,5.24811
Phosphoenolpyruvic acid,1.127338,0.555022
GMP,1.0348,1.497693
AMP,1.040859,1.70694
2-Oxoisovaleric acid,1.390784,2.241169
GDP,0.942413,1.309908
Lactic acid,0.791736,0.749719
ADP,1.029875,0.763868
GTP,0.946767,0.640053
Glyoxylate,,
ATP,1.016871,0.359917
Glycerol 3-phosphate,1.263313,1.168584
Glycolic acid,0.883466,0.775243
Pyruvic acid,1.807769,0.719761
N-Acetylglutamic acid,1.117516,0.789701
2-Hydroxyglutaric acid,1.009935,0.152708
Carbamoylphosphate,,1
Succinic acid,0.629809,0.593421
Malic acid,0.773164,1.365386
2-Oxoglutaric acid,,0.32394
Fumaric acid,0.766722,1.140445
Citric acid,1.206416,1.131651
cis-Aconitic acid,1.435744,0.87394
Isocitric acid,1.838149,2.381361
Urea,1.428898,0.971313
Gly,0.965042,1.184624
Putrescine,0.306112,0.517526
É¿-Ala,0.934678,1.432948
Ala,1.03075,1.273088
Sarcosine,0.44188,0.455811
É¡-Aminobutyric acid,0.999021,0.08606
"N,N-Dimethylglycine",1.13,0.669228
Ser,1.070984,1.726086
Creatinine,1.235959,0.919184
Val,1.499715,1.097355
Homoserine,0.557809,0.852879
Thr,0.854628,0.961838
Cys,0.763337,
Hydroxyproline,0.496001,0.729662
Creatine,0.873548,0.90375
Ile,1.605219,1.106827
Leu,1.550184,1.169641
Asn,1.382009,1.374833
Ornithine,0.909728,2.134936
Asp,1.042262,1.333244
Homocysteine,,
Adenine,0.953013,0.762911
Hypoxanthine,1.151093,3.98632
Spermidine,1.074549,1.297204
Gln,1.305468,2.126454
Lys,2.088361,1.447601
Glu,1.10178,1.035901
Met,0.832777,0.709136
Guanine,1.521278,1.057761
His,1.579424,1.315485
Carnitine,0.962711,0.985497
Phe,1.72858,1.262538
Arg,2.139015,4.171232
Citrulline,0.995457,0.832687
Tyr,1.695748,1.256572
Trp,1.407453,1.206666
Cystathionine,0.932169,0.890099
Carnosine,1.112949,0.941594
Adenosine,1.078633,0.94792
Inosine,1.25841,2.449932
Guanosine,1.405395,2.36716
Argininosuccinic acid,1.11377,1.140867
Glutathione (GSSG),0.993689,1.025103
Glutathione (GSH),3.274937,1.142363
S-Adenosylhomocysteine,0.733058,0.938067
S-Adenosylmethionine,1.007668,0.869052
Choline,1.29318,0.412562
Pro,1.523677,1.018714
Betaine,0.983259,0.478027
Betaine aldehyde,,15.235911
Spermine,1.275815,3.268543
