,tumor tissue (Colon) vs normal tissue (Colon),tumor tissue (Stomach) vs normal tissue (Stomach)
metabolite??????,Ratio,Ratio
glycine,1.850785009,1.860880048
putrescine,3.764819588,2.252317614
Beta-alanine,3.999116217,2.2
alanine,1.710161296,1.592148825
2-Aminobutyric acid,1.660944206,1.679775281
GABA,2.344736842,2.354868914
serine,1.593926416,1.678267595
hypotaurine,3.69005848,1.190729483
cytosine,NA,0.829545455
proline,3.15285522,2.12611742
valine,2.174413553,1.748605084
homoserine,NA,NA
threonine,2.237714032,2.063295494
cysteine,7.830907055,5.867358708
taurine,2.095767196,1.051843837
hydroxyproline,2.280172414,1.896969697
creatine,0.984025559,0.912930271
isoleucine,2.62816092,2.138486312
leucine,2.49532294,1.833834838
asparagine,2.135025381,2.13137558
ornithine,1.822410148,1.447174447
aspartate,1.642625608,2.103416678
homocysteine,NA,NA
adenine,1.704816956,1.111060329
hypoxanthine,4.327364865,1.887183423
anthranilate,NA,NA
tyramine,NA,NA
spermidine,2.981927711,1.575418994
glutamine,1.04522585,0.982017481
lysine,1.969675599,1.473231871
glutamate,1.834321855,1.276349164
methionine,2.647277228,1.811594203
guanine,1.282352941,0.776470588
histidine,1.927469136,1.905956113
phenylalanine,2.622651934,1.862876254
arginine,1.898161245,1.683971774
citruline,2.602941176,2.787974684
tyrosine,2.622901679,2.106269113
"3,4-dihydroxyphenylalanine",NA,2.145833333
spermine,1.395833333,NA
tryptophan,1.818181818,1.434316354
cystathionine,NA,NA
carnosine,2.18537415,0.59375
gamma-Glutamyl-2-aminobutyrate,NA,NA
cytidine,NA,0.961764706
uridine,1.231135282,0.914893617
gamma-Glutamylcysteine,1.503952569,2.11904
adenosine,1.119937206,1.56372093
inosine,1.293669681,1.492465016
guanosine,1.156066757,1.165907019
opthalmate,0.542435424,0.902811245
glutathione disulfide,1.067451558,1.196476965
glutathione,1.377334397,0.452510874
S-adenosylhomocysteine,2.26446281,0.467078189
S-adenosylmethionine,2.528697934,0.332360381
glyoxylate,NA,NA
glycolate,NA,NA
pyruvate,0.66579974,0.903133903
lactate,1.957805576,1.534296991
fumarate,1.844106464,1.684813754
2-oxoisopentanoate,0.77027027,NA
succinate,2.281088918,1.150721801
malate,2.099288678,1.819240887
2-oxoglutarate,NA,0.81517094
cysteinesulfinate,NA,NA
phosphoenolpyruvate,1.843530239,1.064956012
dihydroxyacetonephosphate,1.275704494,1.416949153
glycerol-3P,1.52479003,1.247024673
cis-aconitate,0.470588235,0.819613457
3-phosphoglycerate,1.112417219,1.038520801
gluconate,2.09271327,2.49919571
erythrose-4P,NA,NA
ribulose-5P,0.862133036,1.14800759
ribose-5P,1.255172414,1.352459016
glucose-1P,2.035142349,2.331026393
fructose -6P,2.4672346,1.08733234
glucose-6P,2.547979798,1.527373995
"2,3-diphosphoglycerate",1.739130435,0.213815789
6-phosphogluconate,1.638541667,1.499065421
sedoheptulose-7P,1.928604015,1.804707934
"fructose-1,6DP",2.697751089,1.295269168
citrate,0.637647479,0.792905272
iso-citrate,NA,1.081871345
dTMP,NA,NA
CMP,1.024867725,1.019175627
cAMP,1.25483871,NA
cGMP,1.371735791,NA
AMP,1.327143191,1.326673155
IMP,0.904197373,0.968436874
GMP,1.613413304,1.622853926
NADPH,0.496592593,0.59833887
CoA,1.62962963,1.356852103
PRPP ,NA,NA
dTDP,NA,NA
CDP,0.823529412,0.753669889
Acetyl-CoA,0.933333333,1.451086957
ADP,1.178229748,0.883934129
Malonyl-CoA,0.63908419,0.768197088
Succinyl-CoA,NA,NA
GDP,1.414035088,1.001764187
dCTP,NA,NA
dTTP ,NA,NA
CTP,0.558684211,0.712222222
UTP,0.454681445,0.744663874
dATP,0.864427861,0.987432675
ATP,0.615034859,0.772184937
GTP,0.861111111,0.868595329
NAD+,1.045513654,0.865135895
NADH,0.988473951,0.609509202
NADP+,0.942280619,0.667621777
FAD,1.046035806,0.478723404
