,Tumor (lung) vs Normal (lung ),Tumor (Prostate) vs Normal (Prostate)
Metabolite,Ratio,Ratio
"1,4-Butanediamine",NA,NA
1-Methyl-2-pyrrolidone,NA,1.002135839
1-Methyladenosine,1.808027523,NA
1-Methylnicotinamide,2.459534884,1.248390122
1-Metylhistamine,NA,1.5156203
2-Aminobutyrate,1.47440273,1.128733265
2-Hydroxybutyrate,1.310760668,1.205228982
2-Hydroxypentanoate,NA,NA
2-Hydroxypentanoate,NA,NA
3-Hydroxybutyrate,1.120814061,0.812310184
3-Methylhistidine,1.717686133,1.160671463
3-Phosphoglycerate,0.511522566,NA
3-Phenylpropionic acid,NA,1.004195804
5-Methyltetrahydrofolate,NA,NA
5-Methylthioadenosine,NA,NA
5-Oxoproline,1.228407789,1.321289063
"6,8-Thioctic acid",NA,NA
alpha-Aminoadipate,2.510784065,0.988777555
Adenine,NA,2.909639452
Adenosine,1.630712267,12.07426304
Adenylosuccinate,NA,NA
ADP,2.386705965,0.76051667
Ala,1.624159855,1.39337848
Ala-Ala,6.324990618,NA
AMP,7.89767487,1.612961952
Anthranilate,0.71760132,NA
Arg,1.209652076,1.251958225
Argininosuccinate,2.166727538,2.001733102
Ascorbic acid,NA,NA
Asn,2.149015933,1.318467129
Asp,1.06228793,0.872883498
ATP,3.832804777,1.140577041
Azelaic acid,NA,NA
beta-Ala,2.225675894,0.75494926
b-Ala-Lys,NA,NA
Benzoic acid,NA,NA
Betaine,0.847048337,1.993968545
Betaine aldehyde,1.134330613,NA
Carnitine,1.016781083,1.267857143
CDP-choline,12.91183446,2.057104011
Choline,1.317366533,1.529974614
cis-Aconitate,#DIV/0!,1.669019054
Citramalic acid,NA,NA
Citrate,0.963945134,1.637216504
Citrulline,1.284820684,NA
CMP,NA,NA
Creatine,4.997759104,0.938547486
Creatinine,1.02039749,0.973066667
Cystathionine,NA,NA
Diethanolamine,0.918918919,1.282139547
Dihydroxyacetone phosphate,0.552913049,NA
Ethanolamine phosphate,2.413237565,0.785933735
"Fructose 1,6-diphosphate",8.913692425,NA
Fructose 6-phosphate,0.3125291,NA
Fumarate,2.537296037,1.520423375
GABA,2.44036444,2.851017747
g-Butyrobetaine,1.065748988,1.388679542
GDP,1.928428012,1.301278898
Gln,1.879405722,1.138932608
Glu,1.619435777,1.058823529
Gluconate,3.731892569,NA
Glucose and other monosaccharides,0.284753242,0.934998594
Glucose 1-phosphate,2.758791802,NA
Glucose 6-phosphate,0.446852524,1.001373941
Glutathione(ox),NA,0.824963616
