,FH1KO mice vs Control mice (WT)
Compound name,ratio
fumaric acid,46.81827906
aspartyl adenylate,7.770459964
cis-aconitic acid,6.773962499
N-(L-arginino)succinic acid,6.444194328
citric acid,5.187358219
phenylacetylglycine,4.469148552
malonic acid,4.340917488
creatinine,3.450965378
isocitric acid,3.347304971
"fructose-1,6-diphosphate",3.249009585
histamine,3.186560385
malic acid,3.046177479
citrulline,3.010493495
"2,3-diphospho-D-glycerate",2.950582914
D-glucuronic acid,2.768299432
trigonelline,2.68328445
tele-methylhistamine,2.659214216
S-pipecolic acid,2.602683711
hippuric acid,2.470837274
GTP,2.401606855
(R)-3-hydroxybutyric acid,2.190104942
N(1)-methylnicotinamide,2.165950091
spermine,2.080600533
D-gluconic acid,1.998614186
acetyl-L-carnitine,1.919858522
phosphorylcholine,1.885569072
CTP,1.876442393
allantoin,1.850608856
"N6,N6,N6-trimethyl-L-lysine",1.796264746
6-aminocaproic acid,1.790050142
4-guanidinobutanoic acid,1.778917987
hypotaurine,1.755643595
biotin,1.753211443
UTP,1.735077374
glutaric acid,1.705269784
ATP,1.702907415
N-acetylneuraminic acid,1.664397469
N-acetyl-L-glutamate,1.550786413
D-pantothenic acid,1.494849249
5-methoxytryptamine,1.484523571
glutathione,1.477338064
indole-3-acetaldehyde,1.464085696
dimethylglycine,1.459020344
"3',5'-ADP",1.439931319
gluconic acid-6-phosphate,1.436940177
N-carbamoyl-beta-alanine,1.414213562
2-hydroxybutyric acid,1.411275843
acetylcholine,1.4063932
spermidine,1.401527449
5-aminovaleric acid,1.399585866
succinic acid,1.362258035
sarcosine,1.346300069
NADPH,1.345367209
CDP,1.341642225
glucose-1-phosphate,1.337927555
glutathione disulfide,1.322254605
delta-aminolevulinic acid,1.280759861
fructose-6-phosphate,1.280759861
UDP,1.267512522
ADP-D-glucose,1.198309021
UDP-N-acetylglucosamine,1.190856849
imidazole-4-acetic acid,1.181811547
meglutol,1.173648178
L-ornithine,1.151887642
3-phospho-D-glycerate,1.120389214
GABA,1.062159186
niacinamide,1.044635763
NADH,1.009751298
thiamine,0.96727633
ADP,0.937571096
L-histidine,0.891310496
S-adenosylmethionine,0.856188285
L-methionine,0.849684999
gamma-glutamylcysteine,0.849096246
L-lysine,0.832775771
NADP,0.831045862
D-ribulose 5-phosphate,0.828170661
GMP,0.817902059
L-glutamine,0.817335328
cis-4-hydroxy-L-proline,0.804966138
coenzyme A,0.802737389
NAD+,0.799960128
thymidine,0.792784137
N-acetylglucosamine,0.784040454
pyrrolidonecarboxylic acid,0.777546036
L-arginine,0.773782497
guanine,0.773246337
XMP,0.771640088
glycolic acid,0.765248385
glycine,0.756283999
thiamin monophosphate,0.752623374
guanosine,0.752101876
sorbitol 6-phosphate,0.750539549
azelaic acid,0.747424624
3-methylhistidine,0.734584317
sn-glycero-3-phosphocholine,0.733566672
isobutyryl-coenzyme A,0.724973416
3-sulfino-L-alanine,0.720464874
N-epsilon-acetyllysine,0.715984371
AMP,0.706127202
FAD,0.70027816
L-carnitine,0.696888619
uridine,0.691116103
choline,0.683493726
lipoamide,0.673150035
urea,0.666649339
trans-cinnamic acid,0.66158572
glycocyamine,0.65747138
2-amino-3-phosphonopropionic acid,0.647072827
uracil,0.644387315
L-glutamic acid,0.641268301
ADP-D-ribose,0.6341957
inosine,0.617281303
xanthine,0.599569957
IMP,0.587230986
S-sulphocysteine,0.578344092
beta-alanine,0.571569168
carnosine,0.571569168
L-cysteine,0.562139462
S-adenosylhomocysteine,0.557096825
trans-aconitic acid,0.555169417
cysteinylglycine,0.539240216
adenine,0.524131238
adenosine,0.521955964
hypoxanthine,0.515484159
acetyl-coenzyme A,0.504875649
UDP-glucuronic acid,0.489031737
anserine,0.404440674
itaconic acid,0.322193658
L-aspartic acid,0.284204243
L-cystine,0.137929218
