,FH mutant renal cancers vs  normal tissue
Compound name,ratio
L-cysteine,3.953142606
guanine,3.020945171
glutathione,2.122846418
sn-glycero-3-phosphocholine,2.099433367
fumaric acid,2.082043195
histamine,2.07915887
gluconic acid-6-phosphate,2.0265138
gamma-glutamylcysteine,2.009727641
N-(L-arginino)succinic acid,1.943961976
guanosine,1.841651394
aspartyl adenylate,1.813780658
L-kynurenine,1.62788637
S-lactoylglutathione,1.613283518
UDP-D-glucose,1.606587994
uracil,1.596596773
D-gluconic acid,1.575707772
niacinamide,1.572434584
S-adenosylhomocysteine,1.56265576
S-adenosylmethionine,1.545421099
CDP-choline,1.501079098
hypotaurine,1.501079098
ADP-D-ribose,1.478362431
glucose-1-phosphate,1.433955248
acetyl-L-carnitine,1.397646972
cysteinylglycine,1.38991822
beta-alanine,1.341642225
L-proline,1.337927555
L-asparagine,1.333298677
glucose-6-phosphate,1.328685814
5'-methylthioadenosine,1.316766922
L-leucine,1.295940965
phosphorylcholine,1.292352831
L-isoleucine,1.286989247
N(1)-methylnicotinamide,1.277213759
L-lactic acid,1.258757174
inosine,1.249196126
L-methionine,1.245737416
UDP-glucuronic acid,1.244011653
L-phenylalanine,1.243149669
putrescine,1.240567298
pyridoxamine phosphate,1.230291345
L-carnitine,1.220946513
spermidine,1.216722359
L-valine,1.209994089
UDP-N-acetylglucosamine,1.209994089
N2-acetyl-L-ornithine,1.203303026
L-alanine,1.193335743
L-tryptophan,1.183451022
gamma-butyrobetaine,1.178539408
hypoxanthine,1.176906737
glutathione disulfide,1.167967395
L-tyrosine,1.162314108
cis-4-hydroxy-L-proline,1.137605228
L-glutamine,1.137605228
L-arginine,1.136816973
phthalic acid,1.129747215
tele-methylhistamine,1.126619228
taurine,1.124278924
dihydroxyacetone phosphate,1.123499903
acetohydroxamic acid,1.118061851
2-hydroxybutyric acid,1.116512962
citrulline,1.110338834
dihydrouracil,1.107264584
UDP,1.107264584
creatine,1.101905116
N-acetyl-D-glucosamine 6-phosphate,1.098854218
L-threonine,1.083725967
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",1.077733145
choline,1.071030823
"fructose-1,6-diphosphate",1.069547088
disulfiram,1.068805991
(R)-3-hydroxybutyric acid,1.057750964
atropine,1.057018041
L-lysine,1.049716684
ADP-D-glucose,1.048989328
urea,1.041021598
succinic acid,1.030253954
GDP-D-mannose,1.02313747
dopamine,1.021720083
allantoin,1.0181852
N1-acetylspermine,1.016070143
glycine,1.015366101
D-ribulose 5-phosphate,1.008352455
L-histidine,1.008352455
L-ornithine,1.004167543
benzimidazole,0.995159722
fructose-6-phosphate,0.993092495
phosphoenolpyruvate,0.990342872
GMP,0.989656656
NAD+,0.987600861
malonic acid,0.986916546
trehalose-6-phosphate,0.986916546
L-serine,0.985549337
GABA,0.984866443
spermine,0.983502074
3-iodo-L-tyrosine,0.982139595
L-glutamic acid,0.979420298
NADH,0.978063473
L-aspartic acid,0.966606097
UMP,0.959929261
thymine,0.953298545
malic acid,0.952637998
indoleacetic acid,0.940826108
D-pantothenic acid,0.940174203
sedoheptulose 7-phosphate,0.925946023
IMP,0.922742493
pyrrolidonecarboxylic acid,0.922103118
phosphorylethanolamine,0.918276162
uridine,0.906261938
ADP,0.904379378
agmatine,0.902500727
S-pipecolic acid,0.897510051
homocarnosine,0.893165852
triethanolamine,0.883927531
pyridoxine,0.865736566
scopolamine,0.865736566
dimethylglycine,0.859160755
cycloleucine,0.856188285
1-aminopropan-2-ol,0.848507902
cytidine,0.840896415
betaine,0.840313752
5-aminovaleric acid,0.839149637
3-phospho-D-glycerate,0.838568184
6-aminocaproic acid,0.812252396
ATP,0.811689581
L-homoserine,0.808320869
AMP,0.803293997
uric acid,0.79774524
4-guanidinobutanoic acid,0.787853886
AICAR,0.786762445
NADP,0.774855931
thymidine,0.773246337
carnosine,0.759435845
adenosine,0.750539549
xanthosine,0.750019495
sn-glycerol-3-phosphate,0.744322628
N-acetylglucosamine,0.742261785
sarcosine,0.736623843
anserine,0.73153561
trigonelline,0.724973416
lipoamide,0.722465199
terephthalic acid,0.720464874
adenine,0.712025098
azelaic acid,0.706616822
CMP-sialic acid,0.70514898
acetylcholine,0.679243142
cytosine,0.679243142
glucosamine,0.67689314
N-acetyl-L-glutamate,0.672683604
5'-CMP,0.670821112
S-2-amino-hexanedioic acid,0.668037039
"N6,N6,N6-trimethyl-L-lysine",0.667111585
guanidinosuccinic acid,0.659753955
tyramine,0.635515845
saccharic acid,0.632878297
vanilmandelic acid,0.631563631
octanoic acid,0.618566239
L-cystine,0.609205132
L-tartaric acid,0.594191553
creatinine,0.584388624
cis-aconitic acid,0.562529242
pelargonic acid,0.55171687
N-acetylneuraminic acid,0.526680518
N-acetylputrescine,0.526315577
FAD,0.519789718
citric acid,0.50278029
N-acetyl-L-aspartic acid,0.485317235
isocitric acid,0.462973011
trans-aconitic acid,0.458502022
hippuric acid,0.447822835
glycocyamine,0.383420665
2-oxoglutaric acid,0.364502345
5-methoxyindoleacetic acid,0.271872098
