,Day 15 vs Day 5
Metabolite Name,Ratio
NAD+,0.868987214
cAMP,0.452673037
Xanthine,0.750345368
NADH,0.488009179
ADP-ribose,0.825793587
Mevalonic acid,NA
UDP-glucose,0.455997281
Uric acid,3.248116616
NADP+,0.392712447
IMP,1.347669766
Sedoheptulose 7-phosphate,1.91510296
Glucose 6-phosphate,1.545536954
Fructose 6-phosphate,1.421377653
Fructose 1-phosphate,1.393260184
Galactose 1-phosphate,1.231619285
Glucose 1-phosphate,1.572058019
Acetoacetyl CoA,NA
Acetyl CoA,1.335597346
Folic acid,0.338102562
Ribose 5-phosphate,0.833835781
CoA,0.474255066
Ribose 1-phosphate,0.842674806
Ribulose 5-phosphate,1.246333971
Xylulose 5-phosphate,1.906197048
Erythrose 4-phosphate,NA
HMG CoA,0.23032093
Glyceraldehyde 3-phosphate,3.25451134
NADPH,0.427548895
Glycerol 3-phosphate,0.374684256
Malonyl CoA,0.603614507
Phosphocreatine,0.752448168
XMP,0.356204026
Dihydroxyacetone phosphate,2.006039892
N-Acetylglutamic acid,NA
Adenylosuccinic acid,0.096118209
"Fructose 1,6-diphosphate",1.68459319
6-Phosphogluconic acid,1.05268896
N-Carbamoylaspartic acid,0.024619112
PRPP,0.259188091
2-Phosphoglyceric acid,0.491492094
"2,3-Diphosphoglyceric acid",0.267765476
3-Phosphoglyceric acid,0.504764259
Phosphoenolpyruvic acid,0.64683728
GMP,0.462679786
AMP,0.21675348
2-Oxoisovaleric acid,0.357808167
GDP,0.442825481
Lactic acid,0.614362316
ADP,0.338664188
GTP,0.605397936
Glyoxylic acid,NA
ATP,0.523643644
Pyruvic acid,0.383691042
2-Hydroxyglutaric acid,0.414930973
Succinic acid,0.14472277
Malic acid,0.074356813
2-Oxoglutaric acid,0.136898807
Fumaric acid,NA
Citric acid,0.408706566
Isocitric acid,0.403442037
cis-Aconitic acid,0.29840881
Gly,0.53533269
Putrescine,0.465429894
É¿-Ala,0.841740451
Ala,0.64967057
É¡-Aminobutyric acid,3.635689082
Choline,0.980570885
Ser,0.107588134
Creatinine,0.350493942
Pro,0.302203435
Val,0.502319082
Thr,0.566229704
Cys,0.246850385
Hydroxyproline,1.251961783
Creatine,0.467545393
Ile,0.443383701
Leu,0.477582898
Asn,0.444869103
Ornithine,2.540818851
Asp,0.172800751
Hypoxanthine,1.12518273
Spermidine,0.674428685
Gln,0.639921719
Lys,0.961501251
Glu,0.527347514
Met,0.584048768
His,0.564381767
Phe,0.541027292
Arg,0.357410892
Citrulline,8.86480945
Tyr,0.527852489
Trp,0.572670664
Adenosine,1.284877571
Inosine,NA
Guanosine,NA
Argininosuccinic acid,0.552217141
GSSG,0.603791486
GSH,0.304141142
S-Adenosylhomocysteine,0.870383957
S-Adenosylmethionine,0.742072242
