,SB203580 vs Vehicle 
,Ratio
Glucose 1-phosphate,0.289912629
Glucose 6-phosphate,0.096885316
Fructose 6-phosphate,0.07245841
"Fructose 1,6-bisphosphate",1.231075697
Dihydroxyacetonephosphate,0.222972973
"2,3-Bisphosphoglycerate",3.434782609
3-Phosphoglycerate,0.459958932
Phosphoenolpyruvate,0.097510373
Pyruvate,1.628846154
Lactate,0.142239368
Glycerol phosphate shuttle,NA
Glycerol 3-phosphate,0.439408867
Acetyl CoA,0.679582712
Citrate,0.694921447
cis-Aconitate,0.607438017
Isocitrate,1.127659574
2-Oxoglutarate,0.32119403
Succinate,0.466543892
Fumarate,0.623567921
Malate,0.409513961
Gluconate,0.098578199
6-Phosphogluconate,0.519685039
Ribulose 5-phosphate,1.034090909
Ribose 5-phosphate,0.799392097
D-Sedoheptulose 7-phosphate,0.39107069
Erythrose 4-phosphate,1.423868313
PRPP,0.555555556
Met,0.61208117
SAM,0.666242363
Spermidine,0.863247863
Spermine,1.056603774
SAH,0.67961165
Cystathionine,0.63204005
Hypotaurine,0.757630162
Taurine,0.759892253
Thiotaurine,1.516949153
GSH,0.247754043
GSSG,1.7824
N-Methyl-Arg,1.161958569
ADMA,0.951234959
SDMA,0.790829146
Ornithine,1.837801609
Citrulline,0.871443625
Creatine,1.685110081
Creatine phosphate,0.536526946
Creatinine,1.491956242
Hydroxyproline,0.680957485
L-Carnitine,1.704809725
CoA,0.056768559
Malonyl CoA,0.586194996
Gly,1.800829876
Ala,0.722976643
Ser,0.979624665
Thr,0.501188038
Val,1.239866935
Ile,1.11881762
Leu,1.114452503
Lys,0.991969569
Arg,1.192683481
His,1.069678824
Tyr,3.770955686
Phe,0.924901186
Trp,2.26121372
Pro,1.038181548
Gln,0.894294447
Glu,0.498229044
Asn,0.619019405
Asp,0.480910001
Adenine,0.468838527
Guanine,0.666666667
Cytosine,1.010946052
Uracil,0.363302752
Adenosine,0.746438746
Guanosine,0.723707665
Cytidine,0.269402319
Thymidine,0.707964249
Uridine,0.112869198
Inosine,0.2
AMP,0.514469907
GMP,0.430678466
CMP,0.383989994
TMP,0.887159533
UMP,0.35004614
IMP,0.598712446
cAMP,0.274368231
cGMP,0.310416667
cCMP,1.831325301
cTMP,0.665322581
dUMP,1.966887417
ADP,0.446571107
GDP,0.435944944
CDP,0.09318555
TDP,0.535294118
UDP,0.325350318
ATP,0.492045121
GTP,0.559602332
CTP,0.034684685
TTP,2.956834532
UTP,0.402466368
dATP,0.450184502
dGTP,2.873631841
dCTP,0.204460967
Hypoxanthine,0.721649485
Xanthine,0.362566215
NAD,0.765834692
NADH,0.355850422
NADP,0.564174894
NADPH,0.403930131
FAD,1.778688525
