,SKLMS1 WT +ADI vs SKLMS1 WT NT,SKLMS1 LTAT +ADI vs SKLMS1 LTAT NT,SKLMS1 LTAT NT vs SKLMS1 WT NT,SKLMS1 LTAT +ADI vs SKLMS1 WT +ADI
Compound name,Ratio,Ratio,Ratio,Ratio
NAD+,0.481918881,1.159124528,2.725556053,6.555582269
cAMP,0.478904428,0.966482743,1.999297682,4.034806517
cGMP,1.310437649,0.341154101,7.063638859,1.838919516
Xanthine,0.526968135,1.502673925,1.663509108,4.743572895
NADH,0.221953688,0.652763096,1.670270374,4.912244847
ADP-ribose,0.403248444,1.340817973,3.549883782,11.80351232
UDP-glucose,0.413070471,1.442501647,0.810572105,2.830634671
Uric acid,0.387918831,1.053485069,3.534811342,9.599613814
NADP+,0.6365295,1.105560362,5.527406273,9.600311183
IMP,0.243184119,1.139734125,0.56305243,2.638865034
Sedoheptulose 7-phosphate,1.200682326,NA,NA,NA
Glucose 6-phosphate,0.859801898,0.881477686,0.465941066,0.477687539
Fructose 6-phosphate,0.794953423,0.845638709,0.434277569,0.461966591
Fructose 1-phosphate,0.212068121,NA,NA,NA
Galactose 1-phosphate,0.511962112,1.470326676,0.716683194,2.058274222
Glucose 1-phosphate,0.510050617,0.246067831,0.748557478,0.361132619
Acetyl CoA,0.695761245,1.079903969,2.875687869,4.463408623
Folic acid,0.63701738,2.065583244,2.20872346,7.1619744
Ribose 5-phosphate,0.393355304,NA,NA,0.307057156
CoA,0.240479134,1.085932337,2.272493335,10.26190488
Ribose 1-phosphate,0.332603952,1.24521487,0.706733636,2.645895303
Ribulose 5-phosphate,0.547342449,1.694456639,0.115175074,0.356557709
Xylulose 5-phosphate,0.470101878,NA,NA,NA
Erythrose 4-phosphate,NA,NA,NA,NA
HMG CoA,0.236139135,1.674429545,4.214099365,29.88158864
Glyceraldehyde 3-phosphate,0.518547257,NA,NA,NA
NADPH,0.184468658,0.944676491,0.784649402,4.018242728
Malonyl CoA,0.212123742,1.497600184,2.862255773,20.20761431
Phosphocreatine,0.654255535,1.102500034,4.429230553,7.463791398
XMP,0.247762935,0.950891225,1.734446496,6.656645213
Dihydroxyacetone phosphate,0.371650477,0.669417997,0.051935637,0.093546631
Adenylosuccinic acid,0.090601966,1.234053994,0.24794421,3.37715123
"Fructose 1,6-diphosphate",0.612994718,0.917863555,0.024555003,0.03676727
6-Phosphogluconic acid,0.816246831,0.792037193,0.065229574,0.063294884
N-Carbamoylaspartic acid,0.269091629,1.13382668,0.577685888,2.434099027
PRPP,0.112552091,1.387038588,0.747119019,9.20714046
2-Phosphoglyceric acid,0.318491081,0.844402941,1.409855426,3.737894531
"2,3-Diphosphoglyceric acid",0.358119297,1.144704479,0.076123716,0.243324389
