,     TP-UP DKO mice vs WT mice        
Compound name   ,ratio
1-Methyladenosine,0.657657658
1-Methylhistamine,0.839393939
1-Methylnicotinamide,1.070127505
"2,3-Diaminopropionate",#DIV/0!
"2,3-Pyridinedicarboxylate",0.766666667
"2,4-Diaminobutyrate",1.064356436
2AB,1.395705521
2-Deoxyribose 1-phosphate,0.721955128
2-Hydroxybutyrate,1.059139785
2-Hydroxyglutarate,0.950292398
2-Hydroxyisobutyrate,1.042826552
2PG,0.825268817
3-Aminoisobutyrate,0.664814815
3-Hydroxy-3-methylglutarate,1.297169811
3-Hydroxybutyrate,0.939404594
3-Indoxyl sulfate,1.323345818
3-Methylhistidine,1.085858586
3PG,0.625
3-Ureidopropionate,0.961538462
4-Amino-3-hydroxybutyrate,1.386666667
4-Oxopentanoate,0.777777778
4-Pyridoxate,2.825607064
5'-Deoxyadenosine,1.603448276
5-Hydroxylysine,0.756321839
5-Methylthioadenosine,0.701086957
5-Oxoproline,1.205357143
6-Hydroxyhexanoate,0.883116883
6-Phosphogluconate,1.221509972
"7,8-Dihydrobiopterin",1.11423221
Acetyl CoA,0.615671642
Adenine,0.927419355
Adenosine,0.603582555
"Adenosine 3',5'-diphosphate",0.474358974
Adenylosuccinate,1.086374696
Adipate,1.29740519
ADMA,1.003584229
ADP,0.827416454
ADP-glucose,0.825520833
ADP-ribose,0.988955823
AICAR,0.937884379
Ala,1.137833812
Ala-Ala,0.811403509
Allantoate,0.882575758
Allantoin,0.774655137
alpha-Aminoadipate,1.47039897
AMP,0.891751595
Anserine,1.169811321
Anthranilate,1.509186352
Arg,0.856697819
Argininosuccinate,0.759493671
Asn,0.982758621
Asp,0.962082104
ATP,0.569175219
Azelate,0.737463127
beta-Ala,0.78229585
Betaine,0.695334174
Betonicine,1.211340206
Carnitine,0.990271022
Carnosine,0.884123401
CDP,0.791187739
CDP-choline,1.110264228
Cholate,0.579268293
Choline,0.880952381
cis-Aconitate,1.214285714
Citrate,1.009259259
Citrulline,0.468304843
CMP,0.728310502
CMP-N-acetylneuraminate,0.896799117
CoA,0.641931684
Creatine,0.764356214
Creatinine,1.028963415
CTP,#DIV/0!
Cys,1.333333333
Cystathionine,1.007383966
Cysteate,1.475694444
