,Apc+/Ģ716 (Normal) vs C57BL/6N (Normal),Apc+/Ģ716 (Adenoma) vs C57BL/6N (Normal),Apc+/Ģ716 (Adenoma) vs Apc+/Ģ716 (Normal)
Compound name,ratio,ratio,ratio
Urea,1.380430364,1.694743454,1.227692101
Gly,0.940110573,2.847278198,3.028663095
Ala,1.198736238,2.146100411,1.790302439
beta-Ala,0.895455535,2.78786058,3.113343401
Sarcosine,1.020645981,2.962005601,2.902089123
Cyclohexylamine,1.195961471,1.565395758,1.308901495
2AB,1.134027251,2.513928336,2.216814749
GABA,1.201303974,0.990267487,0.824327155
"N,N-Dimethylglycine",1.973496582,2.21175148,1.120727292
3-Aminoisobutyrate,1.207489032,0.294573573,0.243955485
Choline,1.070056759,1.361296254,1.272172006
Ser,0.996662523,1.835045759,1.84119069
Hypotaurine,0.954460556,8.831909287,9.253299399
Creatinine,1.095692074,0.867899688,0.792101822
Pro,1.20227695,2.889339617,2.403222998
Guanidinoacetate,0.994414202,0.870078041,0.874965422
Betaine,1.202590118,5.31922171,4.423137718
Val,1.108669659,1.578567437,1.423839306
Thr,1.161784365,2.335921465,2.010632555
Nicotinamide,1.171740889,1.064385491,0.908379575
Taurine,0.99544607,1.612224747,1.619600294
Pipecolate,1.037919453,1.440747983,1.388111552
Hydroxyproline,1.141928325,3.071325313,2.689595526
Leu,1.121323187,1.65653353,1.477302485
Ile,1.150977462,1.486191757,1.291243144
Asn,1.081858119,1.942519738,1.795540194
Ornithine,1.438251137,4.042288015,2.810557843
Asp,0.778942254,1.316457641,1.690058067
Hypoxanthine,1.003942832,1.07632924,1.072102122
1-Methylnicotinamide,0.763385215,1.095530407,1.435095133
Proline betaine,1.237486635,2.05971187,1.664431609
gamma-Butyrobetaine,1.030978838,0.579454162,0.562042732
Acetylcholine,0.780931177,0.185371875,0.237372871
Spermidine,1.311426097,0.527143876,0.40196232
Gln,0.842853199,1.08383408,1.285910857
Lys,1.425985861,2.036768025,1.428322735
Glu,0.838546201,1.625824005,1.938860379
Met,1.12781264,1.393942116,1.235969581
Xanthine,1.208513518,1.488049376,1.231305528
His,0.982577599,1.472162836,1.498266231
alpha-Aminoadipate,0.904433896,2.574209288,2.846210542
Carnitine,0.930641418,1.41273757,1.518025677
Phe,1.210567813,1.846495372,1.525313454
3-Methylhistidine,1.01866475,1.429968326,1.403767359
Arg,1.339870019,1.335139599,0.996469493
Citrulline,1.397912628,2.710984133,1.939308707
Serotonin,0.907272607,0.424353437,0.467724291
Tyr,1.152409205,1.615489788,1.401836935
Phosphorylcholine,1.012532747,1.231165995,1.215927088
"N6,N6,N6-Trimethyllysine",0.90178529,1.542237438,1.710204697
SAH,0.802122243,1.716462153,2.139900954
SAM+,0.972924655,1.444591132,1.484792398
o-Acetylcarnitine,0.970877685,1.12485137,1.158592259
Trp,0.968082679,1.088242221,1.124121157
N-Acetylglucosamine,1.195001646,1.508995413,1.262755929
Cystathionine,1.106728694,8.790164683,7.942474726
Thymidine,0.946716708,0.98094424,1.036153932
Cytidine,0.915054723,1.054129146,1.151984815
Uridine,1.067909927,1.214849105,1.137595104
Glycerophosphorylcholine,0.740777818,0.635039422,0.857260311
Adenosine,1.126924618,0.584593371,0.518751087
Inosine,0.90372657,0.438765043,0.485506411
Guanosine,0.852155242,0.412012673,0.483494852
Ophthalmate,0.616198763,0.643031443,1.043545495
Glutathione(ox),0.939247774,1.164597076,1.239925297
Glutathione(red),0.974278883,1.015066978,1.041864907
G1P,0.538988989,1.425384895,2.644552902
G6P,0.322125196,0.910324417,2.825995699
F6P,0.335480835,0.990693871,2.95305653
DHAP,0.616479467,0.955378383,1.549732691
Glycerophosphate,0.864524402,1.188042777,1.374215435
3PG,0.698769513,0.798767196,1.143105389
Lactate,1.305061637,1.57627095,1.207813413
Citrate,0.917968571,0.62105415,0.676552738
cis-Aconitate,0.886784373,0.50854731,0.573473468
2-Hydroxyglutarate,1.062759929,1.656058355,1.558261946
Succinate,0.934469874,1.879360882,2.01115192
Fumarate,1.157095842,1.462661274,1.264079622
Malate,1.151590626,1.362538277,1.183179375
Ru5P,0.719160259,0.796733333,1.107866186
S7P,0.603559364,1.134615284,1.879873548
Malonate,1.004511195,1.093757796,1.088845801
3-Hydroxybutyrate,1.367602969,1.002739636,0.733209608
2-Hydroxybutyrate,1.914750622,2.377187494,1.241512846
2-Hydroxypentanoate,1.353855052,1.453013172,1.073241312
5-Oxoproline,1.015309372,2.159536138,2.126973508
4-Acetylbutyrate,1.097566123,1.776909035,1.618953973
Glutarate,1.775948504,0.604035324,0.340119842
Threonate,0.947692942,1.364832424,1.44016312
Ethanolamine phosphate,0.888436535,1.555246844,1.750543548
Adipate,1.048557392,1.32065282,1.259495026
3-Phenylpropionate,0.991021027,1.842508745,1.859202473
Urate,1.470372515,1.943936219,1.322070563
N-Acetylaspartate,0.878897689,0.68900358,0.783940598
Azelate,1.256312769,1.271795424,1.012323886
Sebacate,1.188040752,1.427638483,1.201674674
Pantothenate,1.042909524,0.940900111,0.902187667
Dodecanedioate,0.957481062,1.147685395,1.198650753
N-Acetylglucosamine 1-phosphate,0.990519032,1.10828286,1.11889103
N-Acetylneuraminate,0.991602428,0.875581278,0.882996304
CMP,0.882379505,1.654879987,1.87547419
UMP,0.839049445,1.326442406,1.580887054
AMP,0.960159678,1.372491005,1.42944037
IMP,1.20315494,0.857132783,0.712404325
GMP,1.028262222,1.283312596,1.248040207
UDP,0.500478052,2.146948791,4.289796094
ADP,0.640275963,1.054892763,1.647559529
ATP,0.262656913,1.345638986,5.1231813
UDP-glucose,0.640727312,1.412761984,2.204934857
UDP-glucuronate,0.909810125,0.951664595,1.046003522
UDP-N-acetylglucosamine,0.664687255,2.286991456,3.440703035
Uracil,1.356655458,2.36915926,1.746323465
Cysteine-glutathione disulphide -Divalent,2.254750486,3.775758678,1.674579383
N-Acetylglucosamine 6-phosphate,0.962183414,1.487574345,1.546040311
Trimethylamine N-oxide,1.079504187,0.604300685,0.559794666
Gly-Gly,1.122070826,2.094187653,1.866359596
Glucose,0.490929832,0.64478089,1.313387064
CMP-N-acetylneuraminate,0.896843784,2.825311917,3.150283213
"F1,6P",0.373107429,1.645781452,4.411012283
CDP-choline,0.981948518,1.562458904,1.591182098
Pelargonate,1.408955386,1.988258796,1.411158094
Heptanoate,1.331625395,2.053978644,1.542459803
Octanoate,1.258322094,1.749560114,1.390391318
ADMA,0.999807037,1.884865775,1.885229554
5-Aminovalerate,4.245233877,0.403140919,0.094963182
6-Hydroxyhexanoate,1.507767311,0.485556331,0.322036648
Biotin,0.988206334,1.290708802,1.306112659
Creatine,0.897343393,0.792801433,0.883498379
Isocitrate,1.012861615,0.701837247,0.692925111
Pimelate,1.092721317,1.418396912,1.298040854
ADP-ribose,1.678559372,0.815862512,0.486049243
4-Oxopentanoate,1.046337501,1.35802787,1.297887029
Glucuronate,0.906805414,0.831066135,0.916476812
PEP,0.795226403,0.719469007,0.904734808
2-Deoxyglucose 6-phosphate,0.928042019,0.852918675,0.919051786
NAD+,0.527336407,0.473785443,0.89845009
Phthalate,1.366716997,1.907269543,1.395511688
Methionine sulfoxide,1.221465694,1.433886,1.173906076
6-Phosphogluconate,0.783477728,1.615418631,2.061856481
Trehalose 6-phosphate,1.181121476,1.879136846,1.590976783
ADP-glucose,0.819992324,1.363140865,1.66238247
Hexanoate,1.022044557,1.345603233,1.316579814
Adenylosuccinate,1.598174216,2.801826379,1.753142024
gamma-Guanidinobutyrate,1.126922644,0.576552676,0.511616906
R5P,0.713975163,0.762830875,1.068427748
Isethionate,0.950752904,0.170406752,0.17923348
"Putrescine(1,4-Butanediamine)",1.085599289,2.740324192,2.524250172
CoA,1.270566788,1.501827091,1.182013496
Glycerate,0.997338216,1.602472268,1.606749086
Propionate,1.299889139,0.536495521,0.412724058
GDP,0.881024988,2.952998217,3.351775783
Itaconate,1.191434114,6.674788458,5.602314368
Dodecanoate,1.100516345,2.045714868,1.858868227
Glycolate,0.819232772,1.386769885,1.692766613
Gluconate,0.915002204,2.046233327,2.23631519
2PG,0.880775844,1.241546517,1.409605549
NADP+,0.599515202,0.784138278,1.307953952
3-Hydroxy-3-methylglutarate,1.084973065,1.464209489,1.349535335
Carnosine,0.804987847,0.270385585,0.335887785
Acetyl CoA,0.640120883,0.498449318,0.778679982
"Ribulose 1,5-diphosphate",0.681034844,3.256074559,4.781068964
5-Aminolevulinate,0.897002875,0.477142498,0.531929732
Nicotine,1.265494019,1.22193592,0.965580162
Homoserine,2.016559122,4.641729413,2.301806757
5-Methylthioadenosine,0.658093757,2.175559169,3.305849885
FAD,1.138265264,0.337933536,0.296884695
Decanoate,0.991324033,2.418778342,2.439947243
CDP,0,2.476477917,NA
Ectoine,1.080248485,0.188174918,0.174195957
Allantoin,1.384354706,1.463908721,1.057466497
Argininosuccinate,1.867878024,2.092062019,1.120020683
Anserine,0.961883167,0,0
N-Acetylglutamate,0.918395215,1.481638123,1.613290334
Pyruvate,1.220570044,0,0
3-Methylbutanoate,2.372269377,3.004837829,1.26665119
Glucosamine 6-phosphate,1.706172678,1.481279235,0.868188346
Guanine,0.1913928,0,0
3-Indoxyl sulfate,0.660108133,0.767579065,1.162808071
Histamine,1.351942128,5.98645819,4.428043233
GDP-mannose,0.652104973,0,0
Trigonelline,1.448205405,1.892748205,1.306961152
Adenine,0.495015192,1.074320531,2.170277898
6-Aminohexanoate,3.555120342,0,0
N1-Acetylspermidine,1.342738928,8.289086676,6.173267569
NADH,0.20812716,0,0
UTP,0,2.366976142,NA
GTP,0,2.131283933,NA
2-Hydroxy-4-methylpentanoate,1.026918793,0.724612834,0.705618438
dTMP,0.317239143,1.552088512,4.892487413
Thiamine monophosphate,1.622255883,0.812217729,0.500671773
N-Acetylmethionine,1.419257294,9.278657672,6.537685386
G3P,0.672053826,0.795465231,1.183633214
3-Hydroxypropionate,1.595899505,0,0
Cys,7.771567158,7.171361873,0.92276908
N-Methylalanine,0.755607411,0,0
O-Phosphoserine,0.290962182,1.132652703,3.892783233
4-Methyl-2-oxopentanoate,0.303027739,0,0
Cholate,0,3.131519952,NA
Taurocholate,0.178315572,0,0
Butanoate,0.256237808,0,0
5-Hydroxylysine,4.129829782,8.647864393,2.094000201
Terephthalate,0.85872408,2.646535836,3.081939701
Mucate,0,1.546587634,NA
Diethanolamine,0,1.331957429,NA
Mannosamine,1.189668787,0,0
2-Hydroxyisobutyrate,6.393924915,2.901643247,0.453812531
3-(4-Hydroxyphenyl)propionate,0.621188978,0,0
Thiamine,0,4.926128039,NA
Spermine,1.928905738,0,0
1-Methylhistamine,0,21.21934507,NA
Alpha-Methylserine,0.79571322,0,0
1-Amino-1-cyclopentanecarboxylate,1.519955171,3.289879503,2.164458245
N-Acetyl-beta-alanine,2.517337638,17.50728728,6.954683797
"2',3'-cCMP",1.23124049,13.70781053,11.13333312
Pyridoxamine 5'-phosphate,1.385514299,0,0
N8-Acetylspermidine,1.448077797,0,0
Kynurenine,0,131.3183002,NA
CTP,0,6.391258211,NA
S-Lactoylglutathione,0,0,9999
Imidazole-4-acetate,0,0,9999
Cysteine sulfinate,9999,NA,NA
Hippurate,0,0,9999
Undecanoate,2.935426858,7.046785376,2.400599884
XMP,NA,NA,7.90636443
Glyoxylate,0,0,9999
2'-Deoxycytidine,5.167426417,0,0
Urocanate,0,8.155315879,NA
Isopropanolamine,0,0,9999
2-Furoate,2.401060255,0,0
Carbamoylaspartate,9999,NA,NA
Phenaceturate,0,0,9999
Saccharate,0,0,9999
NADPH,0,0,9999
Isobutyryl CoA,0,0,9999
Betaine aldehyde,0,0,9999
N-Acetylputrescine,9999,NA,NA
N-Acetylvaline,NA,9999,0
SDMA,0,0,9999
2-Oxoisopentanoate,0,0,9999
3-Ureidopropionate,0,0,9999
alpha-Lipoamide+5-Methoxyindoleacetate,0.896044427,0.773686032,0.863446062
Dihydrouracil,9999,9999,9999
Indole-3-acetaldehyde,9999,9999,9999
