,BEZ235 1 day( PkmM1/M1 vs PkmM2/M2 MEF)
compound name,ratio
Adenosine,14.72300241
Guanosine,8.75434961
IMP,8.397733469
5-Methylthioadenosine (MTA),4.856779538
"F1,6P",4.377174805
Pantothenate,3.784230587
CMP,3.784230587
GMP,3.732131966
Hypoxanthine,3.60500185
N-Acetylglucosamine,3.294364069
CDP,3.271608234
GDP,3.20427951
2AB,2.948538435
Thiamine,2.907945035
Pelargonate,0.343885455
UDP-glucuronate,0.332171454
N-Acetylneuraminate,0.329876978
Carnitine,0.327598351
Cysteine-glutathione disulphide -Divalent,0.312082637
Creatinine,0.285190929
Octanoate,0.281264621
3PG,0.251738888
Hexanoate,0.23981603
G6P,0.236514412
F6P,0.236514412
Diethanolamine,0.231647015
Heptanoate,0.225312616
4-Acetylbutyrate,0.225312616
Terephthalate,0.207329886
Dodecanedioate,0.207329886
Thymidine,0.197510328
O-Phosphoserine,0.178006274
PEP,0.157126672
Pimelate,0.152830035
Sebacate,0.144586023
Azelate,0.142595464
