,"BEZ235, 2 days(PkmM1/M1 vs PkmM2/M2 MEF)"
compound name,ratio
UTP,1351.176101
Glutathione (red),588.1335578
GDP,105.4196502
ATP,98.3600116
CDP,35.26096371
GABA,24.42014734
CMP-N-acetylneuraminate,10.77786861
Guanosine,10.056107
Thiamine,9.579829637
ADP,8.224910613
Hypoxanthine,7.781239579
Thr,7.310651602
Hydroxyproline,7.012845771
Creatine,6.773962499
Ornithine,5.979396995
Glu,5.815890069
Glutathione (ox),5.775716782
Citrulline,5.696200782
2AB,5.656854249
His,5.351710219
beta-Ala,5.13370359
Val,5.063026376
5-Methylthioadenosine,5.028053498
Met,4.924577653
Ile,4.924577653
alpha-Aminoadipate,4.890561111
Hypotaurine,4.856779538
Phosphorylcholine,4.59479342
threo-beta-methylaspartate+ Glu,4.469148552
N-Acetylglucosamine,4.469148552
o-Acetylcarnitine,4.377174805
Gly,4.316912946
Pro,4.28709385
Lys,4.169863043
Pantothenate,4.141059695
Leu,4.084048503
IMP,3.863745316
Asn,3.837056477
UDP,3.758090997
GMP,3.706352248
Glycerophosphorylcholine,3.630076621
Betaine,3.60500185
Arg,3.506422885
Ala,3.482202253
AMP,3.363585661
NAD+,3.317278183
Cysteine-glutathione disulphide -Divalent,3.294364069
5-Oxoproline,3.294364069
Ru5P,3.226567037
S7P,3.20427951
UMP,3.138336392
Phe,3.073750363
Creatinine,3.052518418
SAH,3.031433133
CMP,3.031433133
SAM+,3.010493495
Tyr,2.989698497
Asp,2.928171392
Succinate,2.828427125
Thymidine,0.329876978
3PG,0.318640157
4-Acetylbutyrate,0.307786103
G6P,0.257028457
F6P,0.233258248
Ophthalmate,0.217637641
UDP-glucose,0.180491149
