,CRC vs HC
Compound name,ratio
"1,2-Benzenedicarboxylic acid",0.969983
"1,3-Dioxolane, 2-pentadecyl-",1.065079
"1,3-Dipentyl-heptabarbital",0.807175
"1,3-DI-TERT-BUTYLBENZENE",0.955961
"1,4-Butanediamine",1.230784
"1-Hexanamine, 2-ethyl-N-2-ethylhexyl-N-methyl-",0.969160
1-O-HEXADECYLGLYCEROL,0.897313
"2,2-Diethylacetamide",1.042691
"2,3,4-Trihydroxybutyric acid",0.978046
"2-Aminocaprylic acid, N-propargyloxycarbonyl-, hexyl ester",0.736932
2-Butenedioic acid,0.981378
2'-Deoxyinosine,0.787044
2-Desoxy-pentos-3-ulose,0.836675
2-HYDROXYPYRIDINE,0.762070
2-Isopropyl-5-methyl-1-heptanol,1.081860
2-Methoxyethanol,1.029283
2-Piperidinecarboxylic acid,0.787911
2-Propenoic acid,0.950631
2-Pyrrolidone-5-carboxylic acid,0.975488
3-2-AMINOETHYL-1H-INDOL-5-OL,0.987030
3-Hydroxybutyric acid,1.161577
3-Pyridinecarboxylic acid,0.817344
5-AMINOVALERIC ACID,0.986166
7H-purine,0.844237
"9,12-Octadecadienoic acid Z,Z-",0.634606
9H-Purine,0.875973
9-Octadecenoic acid,0.819442
"Acetamide, N,N-diethyl-",0.980808
Acetic acid,0.722735
Adenosine,0.944550
Adonitol,0.993696
"Alanine, N-methyl-N-methoxycarbonyl-",0.957577
alpha-D-Galactopyranoside,1.032026
alpha-D-Lyxofuranoside,0.877478
alpha-Hydroxypyruvic acid,1.035591
alpha-Linolenic acid,0.742185
Aminomalonic acid,1.081476
Arabinofuranose,0.810361
Arachidonic acid,1.003739
Atenolol,0.884116
Azelaic acid,0.824462
"Azetidine, 1-acetyl-2-methyl-",0.977696
Benzeneacetic acid1,1.077483
Benzeneacetic acid2,0.951683
Benzenepropanoic acid1,1.186774
Benzenepropanoic acid2,0.625799
Benzenepropanoic acid3,1.032887
"Benzimidazo2,1-aisoquinoline",0.896600
Benzoic acid,1.021917
Bisphenol A monomthyl ether,1.069969
Butanedioic acid1,0.819712
Butanedioic acid2,0.944474
"Butanedioic acid, methyl-",0.849694
Butanoic acid1,1.074591
Butanoic acid2,0.955214
Butanoic acid3,0.939120
Butanoic acid4,0.992144
Cadaverine,1.389066
Cholan-24-oic acid1,0.886075
Cholan-24-oic acid2,0.910188
Cholesterol,0.961257
cis-9-Hexadecenoic acid,1.111865
Cyclohexanecarboxylic acid,0.865078
Cyclooctene,0.658644
Deoxycholic acid,0.714061
D-Erythro-Pentopyranose,0.852890
D-Fructose1,0.585926
D-Fructose2,0.853227
d-Galactose,0.828010
D-Galacturonic acid,0.968997
d-Glucose1,0.868288
d-Glucose2,0.783247
Difenoxin,0.986729
Dihydrouracil,1.149043
D-Lyxofuranose,0.702172
"Dodecane, 4,6-dimethyl-",0.990836
Dodecanoic acid,0.851766
Dodecyl acrylate,1.010015
D-Ribofuranose1,0.795007
D-Ribofuranose2,0.707760
D-Ribose,0.903601
D-Xylulose,0.862914
Eicosanoic acid,0.928045
Ethanedioic acid1,1.017088
Ethanimidic acid2,1.073068
Ethylamine,1.027664
Ethyl-D-glucopyranoside,0.857736
Galactosamine,0.727733
Glutamic acid,0.842229
Glycerol1,0.588373
GLYCEROL2,0.715518
Glycine,0.972938
Guanosine,1.238984
Heptadecanoic acid,1.093082
"Hexadecane-1,2-diol",0.894654
Hexadecanoic acid1,0.907174
Hexadecanoic acid2,0.863674
Hexane,1.009509
Hexanedioic acid,0.789638
Hexanoic acid,1.014362
Hydroxylamine,0.922903
"Isoquinolinium, 2-methyl-1-phenyl-, iodide",0.764873
l-Alanine1,1.155970
L-Alanine2,0.861576
L-ASCORBIC ACID,0.873318
l-Aspartic acid1,0.934074
L-Aspartic acid2,1.087274
L-Aspartic acid3,0.717003
L-Glutamic acid1,0.965859
L-Glutamic acid2,1.213754
L-Iditol,0.652830
L-Isoleucine1,1.068748
l-Isoleucine2,0.807466
Lithocholic acid,0.805318
l-Leucine1,0.955291
L-Leucine2,1.059727
L-Lysine,1.138979
l-Methionine,0.883448
l-Norleucine,0.936499
l-Norvaline,1.115196
L-Ornithine,1.056989
L-Phenylalanine1,0.978678
L-phenylalanine2,1.064325
L-PROLINE1,1.064812
L-Proline2,1.260807
