,Upregulated metabolites (1.5-fold) under hypoxia
Compound name,ratio
L-Arginine,1.5
D-Fructose 6-phosphate,1.5
D-Glucose 6-phosphate,1.5
D-Glucose 1-phosphate,1.5
Glycerone phosphate,1.5
D-Ribose 5-phosphate,1.5
D-Glyceraldehyde 3-phosphate,1.5
L-Leucine,1.5
D-Ribulose 5-phosphate,1.5
"D-Fructose 1,6-bisphosphate",1.5
L-Isoleucine,1.5
DL-Glyceraldehyde 3-phosphate,1.5
alpha-D-Glucose 6-phosphate,1.5
D-Arginine,1.5
L-Ribulose 5-phosphate,1.5
beta-D-Glucose 6-phosphate,1.5
D-Leucine,1.5
(E)-Glutaconate,1.5
(S)-1-Pyrroline-5-carboxylate,1.5
beta-D-Fructose 6-phosphate,1.5
Sedoheptulose 7-phosphate,1.5
D-Isoleucine,1.5
Isoleucine,1.5
Leucine,1.5
