,Upregulated metabolites (1.5-fold) under nutrient starvation and combination of hypoxia and nutrient starvation
Compoud name,ratio
ATP,1.5
NADP+,1.5
CoA,1.5
FAD,1.5
S-Adenosyl-L-methionine,1.5
GDP,1.5
UDP-N-acetyl-D-glucosamine,1.5
GTP,1.5
Phosphoenolpyruvate,1.5
Biotin,1.5
GMP,1.5
L-Asparagine,1.5
Benzoate,1.5
Butanoic acid,1.5
L-Homoserine,1.5
N-Acetylneuraminate,1.5
CDP-choline,1.5
Spermidine,1.5
Ethanolamine phosphate,1.5
Choline phosphate,1.5
Spermine,1.5
N8-Acetylspermidine,1.5
N-Acetyl-L-aspartate,1.5
Hexanoic acid,1.5
Nonanoic acid,1.5
D-Asparagine,1.5
5-Oxohexanoic acid,1.5
Dodecanoic acid,1.5
3-Hydroxy-3-methylglutarate,1.5
Octanoic acid,1.5
m-Methylbenzoate,1.5
Tiglic acid,1.5
Myristoleic acid,1.5
Asparagine,1.5
