,DCIS vs Benign,IDC vs Benign,IDC vs DCIS
Compound name,ratio,ratio,ratio
NAD,2.2923613,11.60502214,5.06247516
Cyclic AMP,3.568228106,33.22199593,9.310502283
Cyclic GMP,9999,9999,9999
NADH,NA,NA,0.78746594
Xanthine,1.921376714,2.530895402,1.317230184
Adenosine diphosphate ribose,2.219974716,2.776151577,1.250532971
Mevalonic acid,9999,9999,9999
Uridine diphosphate glucose,3.353900697,10.02735687,2.989759618
Uric acid,0.713156248,0.971241681,1.361891849
NADP,2.009081879,7.339506173,3.653164289
Inosinic acid,2.59235474,10.40749235,4.0146868
D-Sedoheptulose 7-phosphate,NA,NA,2263.333333
Glucose 6-phosphate,10.47498912,7.930779277,0.757115753
Fructose 6-phosphate,9.531106567,7.748693479,0.812989911
Fructose 1-phosphate,9999,9999,9999
Galactose 1-phosphate,1.406137937,2.403802852,1.709507147
Glucose 1-phosphate,NA,NA,0.053857809
Acetoacetyl-CoA,9999,9999,9999
Acetyl-CoA,1.161564626,1.302721088,1.121522694
Folic acid,9999,9999,9999
D-Ribose 5-phosphate,10.99002186,4.907108239,0.446505776
Coenzyme A,1.916984733,1.804389313,0.941264311
Ribose 1-phosphate,7.329359067,1.455174231,0.198540448
D-Ribulose 5-phosphate,2.544074419,5.436899225,2.137083406
Xylulose 5-phosphate,NA,9999,NA
D-Erythrose 4-phosphate,9999,9999,9999
3-Hydroxy-3-methylglutaryl-CoA,9999,NA,NA
D-Glyceraldehyde 3-phosphate,NA,9999,NA
NADPH,9999,9999,9999
Malonyl-CoA,9999,9999,9999
Phosphocreatine,2.809916628,2.449756924,0.871825484
Xanthylic acid,NA,NA,2.484380484
Dihydroxyacetone phosphate,2.354815369,3.925920167,1.667188103
Adenylsuccinic acid,2.547912713,11.88614801,4.665053063
"Fructose 1,6-bisphosphate",8.73687789,21.55065271,2.46663087
6-Phosphogluconic acid,23.88909657,90.97923157,3.80839984
Ureidosuccinic acid,0.911057692,18.48076923,20.28496042
Phosphoribosyl pyrophosphate,NA,NA,5.899009268
2-Phospho-D-glyceric acid,1.310082719,1.160384529,0.885733788
"2,3-Diphosphoglyceric acid",1.969248926,7.212954614,3.662794743
3-Phosphoglyceric acid,1.863963196,1.303848307,0.699503246
Phosphoenolpyruvic acid,9999,9999,9999
Guanosine monophosphate,4.214923963,21.31123075,5.056136467
Adenosine monophosphate,4.787207604,19.94688002,4.166704615
Alpha-ketoisovaleric acid,0.698597332,1.27027027,1.818315377
Guanosine diphosphate,0.709390531,2.708291917,3.817772861
L-Lactic acid,0.88713256,3.538636291,3.988847272
ADP,2.299606665,20.32360724,8.837862381
Guanosine triphosphate,0.994885177,2.147834029,2.158876298
Glyoxylic acid,9999,9999,9999
Adenosine triphosphate,1.270144667,8.999287909,7.085246385
Glycerol 3-phosphate,1.980933295,1.836931005,0.927305836
Glycolic acid,9999,9999,9999
Pyruvic acid,0.581651032,0.740966229,1.273901684
N-Acetylglutamic acid,9999,9999,9999
D-2-Hydroxyglutaric acid,2.15709407,7.865549001,3.646363462
Carbamoyl phosphate,9999,9999,9999
Succinic acid,3.080143001,15.86259423,5.149953825
L-Malic acid,NA,NA,3.242917607
Oxoglutaric acid,9999,9999,9999
Fumaric acid,9999,NA,NA
Citric acid,1.685451207,3.161805132,1.875939878
cis-Aconitic acid,0.619909502,2.176659125,3.511253041
Isocitric acid,9999,9999,9999
Urea,0.676340336,1.618330551,2.392775448
Glycine,4.900758675,6.364191677,1.298613562
Putrescine,NA,NA,7.631240382
L-Alanine,1.564219756,4.669586007,2.985249349
Sarcosine,NA,NA,0.531387926
Beta-Alanine,4.421175472,16.26518141,3.678926909
Dimethylglycine,9999,9999,9999
Gamma-Aminobutyric acid,NA,NA,7.68332428
Choline,3.177060501,6.81738084,2.145813981
L-Serine,1.745135064,4.09904712,2.348842335
Carnosine,9999,NA,NA
Creatinine,0.617066298,1.658341019,2.687460042
L-Proline,2.284309059,13.16845594,5.76474356
L-Valine,0.933578659,3.159908359,3.384726427
Betaine,9999,NA,NA
L-Threonine,1.94943846,4.765413706,2.444505843
L-Homoserine,9999,9999,9999
Betaine aldehyde,9999,9999,9999
L-Cysteine,1.221422142,1.411926193,1.155969049
4-Hydroxy-L-proline,2.02012159,3.984871147,1.972589752
Creatine,2.803919156,8.020848479,2.860584786
L-Isoleucine,0.736934689,3.069777306,4.165602939
L-Leucine,1.052547512,3.290283719,3.126019188
L-Asparagine,1.20661101,5.104773789,4.230670654
Ornithine,0.419595583,1.349957138,3.217281577
L-Aspartic acid,4.672196454,9.852317674,2.108712202
Homocysteine,9999,9999,9999
Adenine,9999,NA,NA
Hypoxanthine,5.642465687,5.594354721,0.991473415
Spermidine,3.003639847,3.236925287,1.077667581
L-Glutamine,1.406726301,5.628779171,4.001332149
L-Lysine,1.042551429,3.451817007,3.310932113
L-Glutamic acid,3.555341134,10.97811882,3.087782129
L-Methionine,0.848332513,2.747779418,3.239035845
Guanine,3.552967033,10.05494505,2.830013609
L-Histidine,1.012358429,3.289399931,3.249244375
L-Carnitine,3.784752422,7.245028942,1.914267602
L-Phenylalanine,1.112332407,3.019809156,2.714844174
L-Arginine,1.154985241,2.972713522,2.573810831
Citrulline,0.604562616,2.517787822,4.164643586
L-Tyrosine,0.901624399,2.739743909,3.03867543
S-Adenosylhomocysteine,1.529641081,2.779755343,1.817259865
Spermine,NA,NA,0.457889264
L-Tryptophan,0.670732444,2.438620456,3.635757412
L-Cystathionine,NA,NA,4.556892577
Adenosine,2.137587822,3.154283448,1.475627535
Inosine,3.16335387,2.237907156,0.707447617
Guanosine,1.561643622,2.756725207,1.765271645
Argininosuccinic acid,NA,NA,3.175427047
Oxidized glutathione,0.88415106,10.05039391,11.36728141
Glutathione,4.673207985,18.4295036,3.943651483
?S-Adenosylmethionine???????????????????,NA,NA,2.235701052
,,,
