,Gln- vs Gln+ (under glutamine starvation in A2780 cells),,,
,ratio,,,
Val,102.13,,,
Lys,91.96,,,
"F1,6P",46.24,,,
Phe,45.25,,,
Met,38.60,,,
DHAP,24.45,,,
Ru5P,13.78,,,
IMP,11.29,,,
Thr,10.81,,,
GTP,9.81,,,
S7P,8.29,,,
G1P,6.68,,,
G6P,6.34,,,
Ser,5.14,,,
Leu,4.66,,,
GDP,4.35,,,
Carnosine,4.13,,,
2PG,3.51,,,
Tyr,3.31,,,
3PG,3.13,,,
PEP,2.89,,,
Gly,2.89,,,
dTTP,2.70,,,
SAM+,2.28,,,
ADP,2.27,,,
AMP,2.23,,,
Asn,2.21,,,
Cystathionine,0.58,,,
Taurine,0.56,,,
Ala,0.44,,,
Hypotaurine,0.33,,,
beta-Ala,0.28,,,
