,TGF-É¿-treated vs Unstimulated(H358 cells)
Compound name,ratio
10-Hydroxydecanoate,0.993002021
2-Deoxyglucose 6-phosphate,0.861849893
2-Deoxyribose 1-phosphate,1.376900143
2-Furoate,NA
2-Hydroxybutyrate,1.164901377
2-Hydroxyglutarate,0.655796276
2-Hydroxyisobutyrate,1.412539739
2-Hydroxyoctanoate,1.509996046
2-Hydroxypentanoate,1.26923858
2-Isopropylmalate,1.108219407
2-Oxoglutarate,3.607534031
2-Oxoisopentanoate,1.618338761
2-Oxooctanoate,1.190161859
2-Quinolinecarboxylate,1.434114869
"2,3-DPG",2.043757121
2'-Deoxyguanosine,1.080608757
2AB,1.026566998
2PG,1.528056841
3-Aminoisobutyrate,0.919018125
"3-Aminopropane-1,2-diol",0.962882427
3-Hydroxy-3-methylglutarate,0.487055217
3-Hydroxybutyrate,1.247271032
3-Hydroxypropionate,1.805891208
3-Iodotyrosine,0.999802813
3-Methylbutanoate,1.25271181
3-Methylhistidine,1.039647629
3-Phenyllactate,1.088823286
3-Phenylpropionate,1.110846215
3PG,1.776789192
4-Acetylbutyrate,1.242429322
4-Hydroxy-3-methoxybenzoate+Urate;Urate,1.220849989
4-Methyl-2-oxo1pentanoate,1.726452171
4-Oxohexanoate,1.255871234
4-Oxopentanoate,1.191220809
5-Aminolevulinate,0.75230074
5-Aminovalerate,0.884524214
5-Hydroxylysine,1.335543219
5-Methylthioadenosine,1.254026529
5-Oxoproline,1.267393499
6-Phosphogluconate,1.600918989
Acetyl CoA,2.057120153
Adenine,1.577392985
Adenosine,1.221944958
"Adenosine 3',5'-diphosphate",NA
Adenosine 5'-phosphosulfate,1.092628189
Adipate,1.111602145
ADP,1.362567572
ADP-glucose,0.963827442
ADP-ribose,1.326409295
Ala,1.101234872
Allantoate,NA
Allantoin,1.083616406
alpha-Aminoadipate,1.414727557
alpha-Lipoamide,1.03543146
AMP,1.48898125
Arg,1.193500771
Argininosuccinate,0.772211352
Asn,1.017549123
Asp,0.912999469
ATP,1.285808412
Azelate,1.202671803
Benzoate,1.448790149
beta-Ala,0.456414129
Betaine,1.137971864
Biotin,0.842566869
Butanoate,1.130924769
cAMP,1.242940824
Carbamoylaspartate,0.813294251
Carnitine,0.569416196
Carnosine,1.316594888
CDP,1.842654863
CDP-choline,1.185191939
Choline,0.89419441
cis-Aconitate,1.661294002
Citraconate,0.652418553
Citramalate,1.29867802
Citrate,1.397133272
Citrulline,1.012510189
CMP,1.465616294
CMP-N-acetylneuraminate,1.101278627
CoA,1.636314697
Creatine,2.219902456
Creatinine,1.172193562
CTP,1.426951147
Cyclohexylamine,1.279328446
Cys,NA
Cystathionine,0.847599229
Cysteine sulfinate,0.833547231
Cysteine-glutathione disulphide -Divalent,NA
Cytidine,1.632807663
dADP,1.703262759
dATP,2.07173713
dCTP,1.552985023
Deamido-NAD+,0.860652211
Decanoate,1.141209853
DHAP,1.488727307
Diethanolamine,1.144094623
Dihydroorotate,0.838801582
Dodecanedioate,1.285462571
Dodecanoate,1.304692384
dTDP,1.28264719
dTMP,1.357683435
dTTP,1.827341005
dUMP,1.216899156
Ethanolamine phosphate,1.098780477
"F1,6P",1.404912836
F6P,0.929492053
FAD,1.67140109
Folate,4.753636296
Fumarate,0.976106541
G1P,0.786104826
G3P,2.081842586
G6P,1.234796786
GABA,0.457934848
Galacturonate 1-phosphate,2.050133666
gamma-Butyrobetaine,0.61035276
gamma-Guanidinobutyrate,1.000791871
GDP,1.480492719
GDP-mannose,1.323680076
Gln,0.943503916
Glu,1.7073345
Glu-Glu,1.111544162
Gluconate,0.958420735
Glucuronate,1.251547339
Glutarate,0.777026725
Glutathione(ox),0.971625647
Glutathione(red),0.723733972
Gly,0.691836558
Gly-Gly,1.511308909
Glycerophosphate,0.674029671
Glycerophosphorylcholine,3.824854588
Glycolate,1.341500504
Glyoxylate,0.878130533
GMP,1.880155284
GTP,1.415999099
Guanidinoacetate,0.607924419
Heptanoate,1.175600318
Hexanoate,1.150307549
His,1.135130227
Homoserine,1.267871503
Hydroxyproline,1.073329209
Hydroxyurea,1.184953307
Hypotaurine,0.407690434
Ile,0.925530724
IMP,1.948219993
Indole-3-acetaldehyde,1.106256196
Indole-3-acetamide,1.333311812
Indole-3-acetate,1.149770697
Isethionate,1.201546712
Isobutyryl CoA,0.980119007
Isocitrate,1.648806671
Itaconate,1.535307532
ITP,1.301125361
Kynurenine,0.628479185
Lactate,1.38510355
Leu,0.955822549
Lys,1.186374989
m-Hydroxybenzoate,1.222336221
Malate,0.951510603
Malonate,1.334204254
Malonyl CoA,NA
Melamine,1.245764594
Met,1.11771296
Methionine sulfoxide,1.131918707
Methyl sulfate,1.1293988
N-Acetyl-beta-alanine,0.994809865
N-Acetylaspartate,0.321710461
N-Acetylglucosamine,1.244764128
N-Acetylglucosamine 1-phosphate,1.262402842
N-Acetylglucosamine 6-phosphate,1.474377748
N-Acetylglutamate,1.531598704
N-Acetylleucine,1.004279807
N-Acetylmethionine,1.587613779
N-Acetylneuraminate,1.041571566
N-Acetylputrescine,0.668016878
N-Formylmethionine,1.593992903
N-gamma-Ethylglutamine,1.116498217
N-Methylaniline,NA
"N,N-Dimethylglycine",1.195943762
N1-Acetylspermidine,0.729275798
"N6,N6,N6-Trimethyllysine",1.119643293
NAD+,1.250443763
NADH,0.752355597
NADP+,1.031507538
NADPH,0.579584433
Nicotinamide,1.282949581
o-Acetylcarnitine,1.200393827
o-Hydroxybenzoate,1.32602031
O-Phosphoserine,2.226958386
Octanoate,1.117209345
Ophthalmate,1.363533542
Ornithine,1.281937137
p-Aminobenzoate,1.855671091
p-Hydroxybenzoate,0.788840477
Pantothenate,0.979787317
Pelargonate,1.167830335
Pentanoate,0.928135144
PEP,1.9894357
Phe,1.046449874
Phenaceturate,1.218655521
Phenylpyruvate,0.988672279
Phosphonoacetate,1.145976611
Phosphorylcholine,0.760826913
Phthalate,0.761847715
Pimelate,1.050853423
Pro,1.167042245
Propionate,1.250187827
PRPP,0.461703706
"Putrescine(1,4-Butanediamine)",0.494310896
Pyridoxal,1.099005802
Pyridoxamine 5'-phosphate,1.157652106
Pyridoxine,1.267831848
Pyruvate,2.758617947
R5P,1.34399809
"Ribulose 1,5-diphosphate",0.997275909
Ru5P,1.421123901
S-Lactoylglutathione,1.226406124
S7P,1.115632917
Saccharate,0.93745562
SAH,1.255524403
