,TGF-É¿-treated vs Unstimulated(A549 cells_24h),TGF-É¿ vs Unstimulated(A549 cells_48h),TGF-É¿ vs Unstimulated(A549 cells_72h)
Compound name,ratio,ratio,ratio
1-Methylnicotinamide,1.567375088,1.733379365,2.72746512
10-Hydroxydecanoate,1.514565793,1.143186498,1.271614376
2-Deoxyribose 1-phosphate,1.461370929,1.371536151,1.725991116
2-Deoxyribose 5-phosphate,1.028307799,0.897015322,1.013378933
2-Hydroxybutyrate,1.906032897,1.264888223,0.617885333
2-Hydroxyglutarate,1.432873872,1.34012688,1.478172522
2-Hydroxyisobutyrate,NA,NA,NA
2-Oxoglutarate,1.168498617,0.957258927,1.074900561
2-Oxoisopentanoate,1.013244878,0.577720431,0.543504163
"2,3-DPG",1.649684216,1.394944994,0.858562762
2AB,0.828759137,0.840422673,0.56030578
2PG,0.90426602,1.472030313,0.949327006
3-Aminoisobutyrate,NA,NA,0.810084291
3-Hydroxy-3-methylglutarate,1.392960195,0.869070463,0.795984351
3-Hydroxybutyrate,1.256496376,1.14149246,0.856268774
3-Methylbutanoate,1.166417085,0.947695004,0.775722054
3-Methylhistidine,1.008630354,0.68685806,0.564183978
3-Phenylpropionate,NA,NA,NA
3PG,1.2255347,1.24561433,1.016433287
4-Acetylbutyrate,1.14020195,1.119401622,1.13056364
4-Methyl-2-oxopentanoate,0.885396899,0.675495088,0.534185033
4-Oxopentanoate,1.161561204,1.088926663,1.117316699
5-Aminolevulinate,0.87555226,0.691871849,0.407454666
5-Aminovalerate,1.087586413,0.998622316,1.043011775
5-Methylthioadenosine,1.077947169,0.932756791,0.657421215
5-Oxoproline,1.252082692,0.9376021,0.817882832
6-Phosphogluconate,1.428996778,1.966254143,1.670834107
Adenine,0.984187937,0.849246387,0.639084216
"Adenosine 3',5'-diphosphate",NA,1.276683665,0.763727638
Adenosine 5'-phosphosulfate,1.16135285,1.150026144,0.899245053
Adipate,1.093601715,0.935422082,1.095750829
ADMA,NA,NA,0.802705988
ADP,1.20968512,0.944527352,0.609465198
ADP-glucose,1.235068044,1.115078565,0.827927365
ADP-ribose,1.292028747,0.968288624,0.734923998
Ala,0.849904936,0.744080131,0.768570698
alpha-Aminoadipate,1.423727163,1.097644194,1.25319806
AMP,1.338270532,1.039851564,0.694520759
Arg,1.262676259,1.398261006,0.965932354
Argininosuccinate,1.19750915,1.07357804,1.134442778
Asn,0.789520377,0.635627386,0.477068449
Asp,1.271560745,1.428790347,1.866697015
ATP,0.943440422,1.120389564,0.662545933
Azelate,1.459637805,1.0472197,1.300986658
Benzoate,NA,NA,NA
beta-Ala,0.773318919,0.524705831,0.466625039
Betaine,1.131888045,0.878525812,0.756891908
Butanoate,1.334575703,1.282311421,1.071526561
Carbamoylaspartate,1.214149249,1.068351669,0.863644853
Carnitine,1.084590183,1.08778376,1.115920377
Carnosine,1.409581534,1.098807783,0.941920419
CDP,1.546254555,0.830139991,0.466264206
Choline,1.43056277,2.156994235,1.806773769
cis-Aconitate,1.161634243,1.080070297,1.051534247
Citrate,1.082121458,0.944330316,0.9101942
Citrulline,0.847203334,0.862684875,0.574890098
CMP,1.088052078,1.035471379,1.578947071
CMP-N-acetylneuraminate,0.91697181,0.896923323,0.623046389
CoA,0.902608288,1.066562903,0.839802187
Creatine,1.135491145,0.794581594,0.469234274
Creatinine,1.229810844,1.150602859,1.120587021
CTP,1.031338882,1.201529029,0.865965215
Cyclohexylamine,1.117674972,1.328440286,1.567618831
Cys,NA,NA,NA
Cystathionine,1.413140315,0.894635787,1.100548583
Cysteine-glutathione disulphide -Divalent,1.51863267,1.231896395,0.671022696
dATP,1.232861187,1.142811403,0.614820633
dCMP,1.09838926,0.696730801,1.072890907
dCTP,1.053107747,1.354577335,0.782161427
Decanoate,1.410139614,1.281393189,1.024323036
DHAP,1.290318943,1.87156295,2.36648957
Diethanolamine,1.940465468,1.175401199,1.283528009
Dodecanedioate,1.029549728,1.091451866,1.078128536
Dodecanoate,NA,0.571730217,NA
dTDP,NA,1.001068681,NA
dTTP,1.137448642,1.228296778,0.835617424
Ethanolamine phosphate,1.244311928,1.116980844,1.270079155
"F1,6P",1.304778764,2.128888922,2.238538275
F6P,1.342372793,1.515097144,1.365172575
FAD,0.917319009,0.882531202,0.594890347
Fumarate,1.027106053,1.007400166,1.144578563
G1P,0.837556121,0.659429992,0.878796359
G3P,1.535478134,2.019883586,1.772288872
G6P,1.293675937,2.382044216,2.224440616
GABA,0.984193979,0.487234445,0.288585948
gamma-Butyrobetaine,0.956896889,0.955016295,0.927418466
gamma-Glu-cys,NA,NA,NA
GDP,1.072340309,1.051459744,0.513774561
GDP-mannose,1.122307468,0.837238769,0.630002796
Gln,0.833715891,0.803889006,0.731044241
Glu,1.345628527,1.341207814,1.691441956
Glu-Glu,1.356010137,0.854911244,0.98631651
Gluconate,1.416861804,1.641032398,2.225516096
Glucuronate,NA,1.606145274,1.575899645
Glutarate,1.056681097,0.688774446,0.728555523
Glutathione(ox),0.717853599,0.565977525,0.385566405
Glutathione(red),0.980440819,0.675682186,0.764541504
Gly,0.961120867,0.774762774,0.851891335
Gly-Gly,1.129350778,0.934344329,0.790582303
Glycerate,NA,NA,NA
Glycerophosphate,1.180461504,1.08671382,1.002095786
Glycerophosphorylcholine,2.592504882,4.576705563,9.44604962
GMP,1.389551012,1.118847572,0.766378852
GTP,0.742625385,1.096358565,0.567443308
Heptanoate,1.250945355,1.095286567,0.847926311
Hexanoate,1.202236442,1.171726629,0.945995483
His,0.891030825,0.752760694,0.672121212
Homoserine,1.196997991,0.860461938,0.662506419
Hydroxyproline,0.753502138,0.577407993,0.451017711
Hypotaurine,1.041216736,0.884846329,0.879659269
Ile,0.959067445,0.824234334,0.734839486
IMP,1.06123873,0.894090553,0.870514164
Isethionate,1.855782916,1.009008841,0.796769252
Isobutyryl CoA,NA,NA,NA
Isocitrate,0.868352162,0.777884186,0.782496676
Lactate,1.288048305,0.928786245,0.671453388
Leu,0.96503921,0.837009477,0.77369124
Lys,1.428281655,1.491672154,1.592218581
Malate,1.106607547,0.992929546,1.164099204
Malonyl CoA,NA,1.86400519,NA
Met,0.974581312,0.886793971,0.928510245
Methionine sulfoxide,0.852828745,0.946421965,0.775624808
Methyl sulfate,NA,NA,NA
N-Acetyl-beta-alanine,1.349800523,1.139803823,1.130501916
N-Acetylaspartate,1.105252834,0.808827797,0.732982117
N-Acetylglucosamine 1-phosphate,1.646532049,0.947581623,1.016860294
